,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
313455,LeftFoot,OpenPlay,MissedShots,0.07227642834186554,42,1,0,Nikolas Spalek,7959,a,Brescia,Cagliari,,2019-08-25 19:45:00,13097,2019,"(0.8590000152587891, 0.5629999923706055)"
313459,RightFoot,OpenPlay,BlockedShot,0.07332092523574829,58,1,0,Alfredo Donnarumma,7961,a,Brescia,Cagliari,Nikolas Spalek,2019-08-25 19:45:00,13097,2019,"(0.914000015258789, 0.6969999694824218)"
313458,RightFoot,Penalty,Goal,0.7612988352775574,53,1,0,Alfredo Donnarumma,7961,a,Brescia,Cagliari,,2019-08-25 19:45:00,13097,2019,"(0.885, 0.5)"
313453,LeftFoot,FromCorner,MissedShots,0.017500048503279686,28,1,0,Alfredo Donnarumma,7961,a,Brescia,Cagliari,,2019-08-25 19:45:00,13097,2019,"(0.7619999694824219, 0.40400001525878904)"
313464,LeftFoot,OpenPlay,MissedShots,0.07460295408964157,79,1,0,Bruno Martella,1355,a,Brescia,Cagliari,Jaromir Zmrhal,2019-08-25 19:45:00,13097,2019,"(0.9680000305175781, 0.6840000152587891)"
313450,RightFoot,OpenPlay,SavedShot,0.08883917331695557,19,1,0,Nikolas Spalek,7959,a,Brescia,Cagliari,Dimitri Bisoli,2019-08-25 19:45:00,13097,2019,"(0.8530000305175781, 0.44599998474121094)"
313451,Head,FromCorner,MissedShots,0.03018845245242119,20,1,0,Jhon Chancellor,6578,a,Brescia,Cagliari,Sandro Tonali,2019-08-25 19:45:00,13097,2019,"(0.914000015258789, 0.54)"
313456,RightFoot,OpenPlay,MissedShots,0.11871492862701416,42,1,0,Florian Aye,7960,a,Brescia,Cagliari,Nikolas Spalek,2019-08-25 19:45:00,13097,2019,"(0.9580000305175781, 0.4)"
313452,Head,FromCorner,MissedShots,0.02918289788067341,27,1,0,Jhon Chancellor,6578,a,Brescia,Cagliari,Sandro Tonali,2019-08-25 19:45:00,13097,2019,"(0.9159999847412109, 0.4520000076293945)"
313460,RightFoot,FromCorner,MissedShots,0.06953249126672745,59,1,0,Alfredo Donnarumma,7961,a,Brescia,Cagliari,,2019-08-25 19:45:00,13097,2019,"(0.8640000152587891, 0.46)"
315950,LeftFoot,OpenPlay,BlockedShot,0.08495158702135086,7,0,1,Ernesto Torregrossa,7993,a,Brescia,AC Milan,Alfredo Donnarumma,2019-08-31 17:00:00,13100,2019,"(0.8590000152587891, 0.34599998474121096)"
315953,RightFoot,FromCorner,MissedShots,0.036234986037015915,19,0,1,Stefano Sabelli,1898,a,Brescia,AC Milan,,2019-08-31 17:00:00,13100,2019,"(0.8209999847412109, 0.4179999923706055)"
315960,RightFoot,DirectFreekick,MissedShots,0.042912568897008896,71,0,1,Sandro Tonali,7958,a,Brescia,AC Milan,,2019-08-31 17:00:00,13100,2019,"(0.774000015258789, 0.24600000381469728)"
315957,RightFoot,OpenPlay,SavedShot,0.01664072461426258,34,0,1,Stefano Sabelli,1898,a,Brescia,AC Milan,Sandro Tonali,2019-08-31 17:00:00,13100,2019,"(0.775, 0.24399999618530274)"
315961,RightFoot,OpenPlay,BlockedShot,0.06522050499916077,80,0,1,Daniele Dessena,1412,a,Brescia,AC Milan,,2019-08-31 17:00:00,13100,2019,"(0.92, 0.5720000076293945)"
315954,LeftFoot,FromCorner,MissedShots,0.6377953290939331,19,0,1,Dimitri Bisoli,7957,a,Brescia,AC Milan,Stefano Sabelli,2019-08-31 17:00:00,13100,2019,"(0.9590000152587891, 0.525)"
317948,RightFoot,OpenPlay,SavedShot,0.1368943154811859,20,3,4,Rômulo,1849,h,Brescia,Bologna,Andrea Cistana,2019-09-15 13:00:00,13109,2019,"(0.9359999847412109, 0.3340000152587891)"
317953,LeftFoot,OpenPlay,MissedShots,0.01279326993972063,38,3,4,Florian Aye,7960,h,Brescia,Bologna,Ales Mateju,2019-09-15 13:00:00,13109,2019,"(0.8690000152587891, 0.9630000305175781)"
317947,RightFoot,SetPiece,Goal,0.03132503852248192,18,3,4,Alfredo Donnarumma,7961,h,Brescia,Bologna,Ales Mateju,2019-09-15 13:00:00,13109,2019,"(0.8909999847412109, 0.7030000305175781)"
317971,RightFoot,OpenPlay,MissedShots,0.01171064656227827,91,3,4,Alessandro Matri,1472,h,Brescia,Bologna,,2019-09-15 13:00:00,13109,2019,"(0.7090000152587891, 0.41)"
317945,Head,OpenPlay,Goal,0.7899541258811951,9,3,4,Alfredo Donnarumma,7961,h,Brescia,Bologna,Rômulo,2019-09-15 13:00:00,13109,2019,"(0.975999984741211, 0.4779999923706055)"
317957,RightFoot,OpenPlay,SavedShot,0.015500370413064957,48,3,4,Sandro Tonali,7958,h,Brescia,Bologna,Rômulo,2019-09-15 13:00:00,13109,2019,"(0.6990000152587891, 0.4829999923706055)"
317968,RightFoot,FromCorner,SavedShot,0.0210393276065588,84,3,4,Ales Mateju,7994,h,Brescia,Bologna,,2019-09-15 13:00:00,13109,2019,"(0.7769999694824219, 0.57)"
317954,Head,FromCorner,Goal,0.09985949099063873,41,3,4,Andrea Cistana,7956,h,Brescia,Bologna,Sandro Tonali,2019-09-15 13:00:00,13109,2019,"(0.925, 0.46)"
317950,RightFoot,OpenPlay,MissedShots,0.024035705253481865,21,3,4,Dimitri Bisoli,7957,h,Brescia,Bologna,Florian Aye,2019-09-15 13:00:00,13109,2019,"(0.7290000152587891, 0.4209999847412109)"
320233,RightFoot,OpenPlay,MissedShots,0.04098428413271904,43,1,0,Nikolas Spalek,7959,a,Brescia,Udinese,Dimitri Bisoli,2019-09-21 13:00:00,13128,2019,"(0.7969999694824219, 0.5870000076293945)"
320229,RightFoot,OpenPlay,BlockedShot,0.014614703133702278,26,1,0,Nikolas Spalek,7959,a,Brescia,Udinese,Alfredo Donnarumma,2019-09-21 13:00:00,13128,2019,"(0.735999984741211, 0.6809999847412109)"
320226,RightFoot,OpenPlay,SavedShot,0.4865981340408325,6,1,0,Alfredo Donnarumma,7961,a,Brescia,Udinese,,2019-09-21 13:00:00,13128,2019,"(0.919000015258789, 0.4879999923706055)"
320231,RightFoot,OpenPlay,MissedShots,0.019912097603082657,32,1,0,Florian Aye,7960,a,Brescia,Udinese,Sandro Tonali,2019-09-21 13:00:00,13128,2019,"(0.73, 0.4809999847412109)"
320237,LeftFoot,OpenPlay,SavedShot,0.048893943428993225,52,1,0,Dimitri Bisoli,7957,a,Brescia,Udinese,,2019-09-21 13:00:00,13128,2019,"(0.904000015258789, 0.3039999961853027)"
320239,RightFoot,OpenPlay,Goal,0.018633391708135605,56,1,0,Rômulo,1849,a,Brescia,Udinese,,2019-09-21 13:00:00,13128,2019,"(0.7609999847412109, 0.6120000076293945)"
320243,RightFoot,OpenPlay,BlockedShot,0.15007206797599792,90,1,0,Alessandro Matri,1472,a,Brescia,Udinese,Sandro Tonali,2019-09-21 13:00:00,13128,2019,"(0.9, 0.6780000305175782)"
320230,RightFoot,FromCorner,MissedShots,0.013629281893372536,32,1,0,Rômulo,1849,a,Brescia,Udinese,Sandro Tonali,2019-09-21 13:00:00,13128,2019,"(0.8209999847412109, 0.8780000305175781)"
320242,RightFoot,FromCorner,SavedShot,0.01751071959733963,72,1,0,Stefano Sabelli,1898,a,Brescia,Udinese,,2019-09-21 13:00:00,13128,2019,"(0.755, 0.44799999237060545)"
321667,LeftFoot,OpenPlay,MissedShots,0.1175805851817131,19,1,2,Rômulo,1849,h,Brescia,Juventus,Dimitri Bisoli,2019-09-24 19:00:00,13129,2019,"(0.8619999694824219, 0.495)"
321674,RightFoot,OpenPlay,BlockedShot,0.021871143952012062,44,1,2,Mario Balotelli,1817,h,Brescia,Juventus,Alfredo Donnarumma,2019-09-24 19:00:00,13129,2019,"(0.7759999847412109, 0.67)"
321673,RightFoot,DirectFreekick,MissedShots,0.02962438389658928,41,1,2,Mario Balotelli,1817,h,Brescia,Juventus,,2019-09-24 19:00:00,13129,2019,"(0.7030000305175781, 0.715)"
321670,RightFoot,DirectFreekick,SavedShot,0.0350443497300148,29,1,2,Mario Balotelli,1817,h,Brescia,Juventus,,2019-09-24 19:00:00,13129,2019,"(0.6909999847412109, 0.5279999923706055)"
321691,RightFoot,OpenPlay,BlockedShot,0.027076469734311104,88,1,2,Mario Balotelli,1817,h,Brescia,Juventus,Dimitri Bisoli,2019-09-24 19:00:00,13129,2019,"(0.7859999847412109, 0.34900001525878904)"
321694,Head,OpenPlay,MissedShots,0.0465611070394516,90,1,2,Mario Balotelli,1817,h,Brescia,Juventus,Dimitri Bisoli,2019-09-24 19:00:00,13129,2019,"(0.919000015258789, 0.4929999923706055)"
321693,LeftFoot,OpenPlay,MissedShots,0.06030548736453056,90,1,2,Mario Balotelli,1817,h,Brescia,Juventus,Bruno Martella,2019-09-24 19:00:00,13129,2019,"(0.855, 0.53)"
321696,Head,OpenPlay,MissedShots,0.017683524638414383,93,1,2,Alessandro Matri,1472,h,Brescia,Juventus,Dimitri Bisoli,2019-09-24 19:00:00,13129,2019,"(0.8780000305175781, 0.4420000076293945)"
321686,RightFoot,OpenPlay,MissedShots,0.04912317171692848,77,1,2,Rômulo,1849,h,Brescia,Juventus,,2019-09-24 19:00:00,13129,2019,"(0.975, 0.33099998474121095)"
321675,Head,FromCorner,MissedShots,0.015376091934740543,46,1,2,Mario Balotelli,1817,h,Brescia,Juventus,Sandro Tonali,2019-09-24 19:00:00,13129,2019,"(0.884000015258789, 0.524000015258789)"
321682,RightFoot,OpenPlay,MissedShots,0.016829654574394226,68,1,2,Mario Balotelli,1817,h,Brescia,Juventus,Rômulo,2019-09-24 19:00:00,13129,2019,"(0.7190000152587891, 0.4640000152587891)"
321685,LeftFoot,OpenPlay,SavedShot,0.07064693421125412,77,1,2,Bruno Martella,1355,h,Brescia,Juventus,Alessandro Matri,2019-09-24 19:00:00,13129,2019,"(0.9340000152587891, 0.654000015258789)"
321684,RightFoot,OpenPlay,MissedShots,0.06144055351614952,75,1,2,Dimitri Bisoli,7957,h,Brescia,Juventus,Bruno Martella,2019-09-24 19:00:00,13129,2019,"(0.9719999694824218, 0.3920000076293945)"
321672,OtherBodyPart,FromCorner,OwnGoal,0.0,39,1,2,Jhon Chancellor,6578,h,Brescia,Juventus,,2019-09-24 19:00:00,13129,2019,"(0.022999999523162843, 0.500999984741211)"
321681,RightFoot,FromCorner,MissedShots,0.033353932201862335,64,1,2,Daniele Dessena,1412,h,Brescia,Juventus,Sandro Tonali,2019-09-24 19:00:00,13129,2019,"(0.875, 0.6940000152587891)"
321669,RightFoot,OpenPlay,BlockedShot,0.028551768511533737,28,1,2,Sandro Tonali,7958,h,Brescia,Juventus,,2019-09-24 19:00:00,13129,2019,"(0.745999984741211, 0.46799999237060547)"
321660,RightFoot,OpenPlay,Goal,0.058554232120513916,3,1,2,Alfredo Donnarumma,7961,h,Brescia,Juventus,Rômulo,2019-09-24 19:00:00,13129,2019,"(0.850999984741211, 0.34799999237060547)"
323187,Head,FromCorner,Goal,0.3153313100337982,66,1,2,Mario Balotelli,1817,a,Brescia,Napoli,Sandro Tonali,2019-09-29 10:30:00,13144,2019,"(0.935, 0.555)"
323166,RightFoot,OpenPlay,SavedShot,0.02286691591143608,9,1,2,Mario Balotelli,1817,a,Brescia,Napoli,Sandro Tonali,2019-09-29 10:30:00,13144,2019,"(0.7930000305175782, 0.7030000305175781)"
323165,LeftFoot,OpenPlay,MissedShots,0.03619462624192238,6,1,2,Mario Balotelli,1817,a,Brescia,Napoli,Nikolas Spalek,2019-09-29 10:30:00,13144,2019,"(0.8880000305175781, 0.73)"
323189,Head,OpenPlay,MissedShots,0.04940200224518776,73,1,2,Mario Balotelli,1817,a,Brescia,Napoli,Stefano Sabelli,2019-09-29 10:30:00,13144,2019,"(0.919000015258789, 0.5979999923706054)"
323164,RightFoot,OpenPlay,BlockedShot,0.013119403272867203,0,1,2,Mario Balotelli,1817,a,Brescia,Napoli,,2019-09-29 10:30:00,13144,2019,"(0.735, 0.6320000076293946)"
323190,RightFoot,SetPiece,MissedShots,0.023939691483974457,80,1,2,Mario Balotelli,1817,a,Brescia,Napoli,Sandro Tonali,2019-09-29 10:30:00,13144,2019,"(0.9259999847412109, 0.665)"
323180,RightFoot,DirectFreekick,SavedShot,0.042140111327171326,48,1,2,Mario Balotelli,1817,a,Brescia,Napoli,,2019-09-29 10:30:00,13144,2019,"(0.7169999694824218, 0.59)"
323183,Head,OpenPlay,MissedShots,0.027692824602127075,58,1,2,Daniele Dessena,1412,a,Brescia,Napoli,Dimitri Bisoli,2019-09-29 10:30:00,13144,2019,"(0.9130000305175782, 0.629000015258789)"
323195,RightFoot,FromCorner,BlockedShot,0.03126264736056328,88,1,2,Alessandro Matri,1472,a,Brescia,Napoli,,2019-09-29 10:30:00,13144,2019,"(0.8519999694824218, 0.6719999694824219)"
323192,Head,OpenPlay,MissedShots,0.027303624898195267,85,1,2,Alessandro Matri,1472,a,Brescia,Napoli,Stefano Sabelli,2019-09-29 10:30:00,13144,2019,"(0.919000015258789, 0.5990000152587891)"
323182,Head,SetPiece,MissedShots,0.39185693860054016,57,1,2,Dimitri Bisoli,7957,a,Brescia,Napoli,Sandro Tonali,2019-09-29 10:30:00,13144,2019,"(0.9590000152587891, 0.4209999847412109)"
323194,RightFoot,OpenPlay,BlockedShot,0.059733375906944275,87,1,2,Alfredo Donnarumma,7961,a,Brescia,Napoli,Mario Balotelli,2019-09-29 10:30:00,13144,2019,"(0.9119999694824219, 0.34299999237060547)"
323173,Head,FromCorner,BlockedShot,0.03444276377558708,34,1,2,Andrea Cistana,7956,a,Brescia,Napoli,Sandro Tonali,2019-09-29 10:30:00,13144,2019,"(0.91, 0.54)"
