,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
313449,RightFoot,FromCorner,MissedShots,0.015434319153428078,10,0,1,Radja Nainggolan,1251,h,Cagliari,Brescia,,2019-08-25 19:45:00,13097,2019,"(0.735999984741211, 0.46599998474121096)"
313466,Head,OpenPlay,SavedShot,0.023588748648762703,85,0,1,João Pedro,1592,h,Cagliari,Brescia,Simone Pinna,2019-08-25 19:45:00,13097,2019,"(0.8569999694824219, 0.5020000076293946)"
313467,RightFoot,OpenPlay,BlockedShot,0.1272369921207428,85,0,1,João Pedro,1592,h,Cagliari,Brescia,Daniele Ragatzu,2019-08-25 19:45:00,13097,2019,"(0.9640000152587891, 0.41900001525878905)"
313448,RightFoot,OpenPlay,MissedShots,0.28827813267707825,8,0,1,João Pedro,1592,h,Cagliari,Brescia,Nahitan Nández,2019-08-25 19:45:00,13097,2019,"(0.8380000305175781, 0.3629999923706055)"
313462,RightFoot,OpenPlay,BlockedShot,0.04613422602415085,66,0,1,Artur Ionita,1604,h,Cagliari,Brescia,,2019-08-25 19:45:00,13097,2019,"(0.8130000305175781, 0.49900001525878906)"
313468,RightFoot,FromCorner,SavedShot,0.017902923747897148,86,0,1,Radja Nainggolan,1251,h,Cagliari,Brescia,,2019-08-25 19:45:00,13097,2019,"(0.774000015258789, 0.6309999847412109)"
313447,LeftFoot,OpenPlay,BlockedShot,0.038012102246284485,4,0,1,Valter Birsa,1336,h,Cagliari,Brescia,,2019-08-25 19:45:00,13097,2019,"(0.7809999847412109, 0.3679999923706055)"
313446,LeftFoot,OpenPlay,MissedShots,0.06943103671073914,1,0,1,Valter Birsa,1336,h,Cagliari,Brescia,Nahitan Nández,2019-08-25 19:45:00,13097,2019,"(0.855, 0.385)"
313465,RightFoot,OpenPlay,BlockedShot,0.11220631003379822,84,0,1,Lucas Castro,1333,h,Cagliari,Brescia,Radja Nainggolan,2019-08-25 19:45:00,13097,2019,"(0.92, 0.4859999847412109)"
313463,LeftFoot,FromCorner,SavedShot,0.1285059154033661,75,0,1,Artur Ionita,1604,h,Cagliari,Brescia,Ragnar Klavan,2019-08-25 19:45:00,13097,2019,"(0.9769999694824218, 0.5429999923706055)"
313457,RightFoot,OpenPlay,MissedShots,0.04189123213291168,48,0,1,Alberto Cerri,4906,h,Cagliari,Brescia,Simone Pinna,2019-08-25 19:45:00,13097,2019,"(0.8680000305175781, 0.3029999923706055)"
313461,RightFoot,OpenPlay,SavedShot,0.019108375534415245,61,0,1,Alberto Cerri,4906,h,Cagliari,Brescia,Lucas Castro,2019-08-25 19:45:00,13097,2019,"(0.769000015258789, 0.3679999923706055)"
313454,LeftFoot,OpenPlay,BlockedShot,0.046975668519735336,34,0,1,Leonardo Pavoletti,1104,h,Cagliari,Brescia,Radja Nainggolan,2019-08-25 19:45:00,13097,2019,"(0.8, 0.4829999923706055)"
313445,RightFoot,OpenPlay,BlockedShot,0.02420133352279663,0,0,1,Leonardo Pavoletti,1104,h,Cagliari,Brescia,Artur Ionita,2019-08-25 19:45:00,13097,2019,"(0.784000015258789, 0.655)"
316771,Head,OpenPlay,Goal,0.27940717339515686,49,1,2,João Pedro,1592,h,Cagliari,Inter,Nahitan Nández,2019-09-01 19:45:00,13105,2019,"(0.914000015258789, 0.519000015258789)"
316767,Head,OpenPlay,MissedShots,0.021894918754696846,32,1,2,João Pedro,1592,h,Cagliari,Inter,Luca Pellegrini,2019-09-01 19:45:00,13105,2019,"(0.8630000305175781, 0.4329999923706055)"
316769,RightFoot,OpenPlay,MissedShots,0.10187695175409317,40,1,2,Alberto Cerri,4906,h,Cagliari,Inter,João Pedro,2019-09-01 19:45:00,13105,2019,"(0.889000015258789, 0.5479999923706055)"
316772,RightFoot,OpenPlay,SavedShot,0.013385261408984661,51,1,2,Marko Rog,1390,h,Cagliari,Inter,Radja Nainggolan,2019-09-01 19:45:00,13105,2019,"(0.700999984741211, 0.6329999923706054)"
316762,RightFoot,OpenPlay,MissedShots,0.013190540485084057,0,1,2,Radja Nainggolan,1251,h,Cagliari,Inter,Marko Rog,2019-09-01 19:45:00,13105,2019,"(0.6980000305175781, 0.39)"
316768,RightFoot,OpenPlay,BlockedShot,0.01173589937388897,39,1,2,Radja Nainggolan,1251,h,Cagliari,Inter,,2019-09-01 19:45:00,13105,2019,"(0.6980000305175781, 0.47400001525878904)"
316770,RightFoot,OpenPlay,BlockedShot,0.02415231615304947,45,1,2,Radja Nainggolan,1251,h,Cagliari,Inter,João Pedro,2019-09-01 19:45:00,13105,2019,"(0.7930000305175782, 0.33299999237060546)"
316764,RightFoot,OpenPlay,BlockedShot,0.014252442866563797,18,1,2,Nahitan Nández,7953,h,Cagliari,Inter,Alberto Cerri,2019-09-01 19:45:00,13105,2019,"(0.8590000152587891, 0.215)"
317911,Head,SetPiece,Goal,0.26627641916275024,38,3,1,Luca Ceppitelli,1550,a,Cagliari,Parma Calcio 1913,Luca Cigarini,2019-09-15 13:00:00,13115,2019,"(0.8930000305175781, 0.485)"
317923,RightFoot,SetPiece,BlockedShot,0.04437291994690895,85,3,1,Giovanni Simeone,1102,a,Cagliari,Parma Calcio 1913,Luca Cigarini,2019-09-15 13:00:00,13115,2019,"(0.9359999847412109, 0.3320000076293945)"
317900,RightFoot,OpenPlay,MissedShots,0.041836537420749664,5,3,1,Nahitan Nández,7953,a,Cagliari,Parma Calcio 1913,,2019-09-15 13:00:00,13115,2019,"(0.9480000305175781, 0.27700000762939453)"
317916,RightFoot,OpenPlay,MissedShots,0.08275607973337173,54,3,1,Giovanni Simeone,1102,a,Cagliari,Parma Calcio 1913,Nahitan Nández,2019-09-15 13:00:00,13115,2019,"(0.914000015258789, 0.325)"
317907,RightFoot,FromCorner,Goal,0.06909842044115067,22,3,1,Luca Ceppitelli,1550,a,Cagliari,Parma Calcio 1913,,2019-09-15 13:00:00,13115,2019,"(0.86, 0.4879999923706055)"
317906,RightFoot,DirectFreekick,BlockedShot,0.05552372336387634,21,3,1,Luca Cigarini,1238,a,Cagliari,Parma Calcio 1913,,2019-09-15 13:00:00,13115,2019,"(0.740999984741211, 0.42700000762939455)"
