,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
13090,Fiorentina,Napoli,1.94205,1.94511,3,4,h,2019-08-24 19:45:00
13106,Fiorentina,Genoa,1.80442,2.41153,1,2,a,2019-09-01 19:45:00
13110,Fiorentina,Juventus,1.47787,0.324648,0,0,h,2019-09-14 13:00:00
13119,Fiorentina,Atalanta,1.40952,1.44964,2,2,a,2019-09-22 16:00:00
13130,Fiorentina,Sampdoria,1.94827,0.642879,2,1,h,2019-09-25 19:00:00
13143,Fiorentina,AC Milan,3.00943,0.593975,3,1,a,2019-09-29 18:45:00
13152,Fiorentina,Udinese,1.15966,0.77254,1,0,h,2019-10-06 11:30:00
13159,Fiorentina,Brescia,0.82628,0.543738,0,0,a,2019-10-21 20:00:00
13171,Fiorentina,Lazio,0.563956,2.00858,1,2,h,2019-10-27 19:45:00
13187,Fiorentina,Sassuolo,1.15444,0.958797,2,1,a,2019-10-30 20:00:00
13191,Fiorentina,Parma Calcio 1913,1.36867,0.703957,1,1,h,2019-11-03 17:00:00
13200,Fiorentina,Cagliari,0.869022,3.21493,2,5,a,2019-11-10 11:30:00
13211,Fiorentina,Verona,0.844664,1.51813,0,1,a,2019-11-24 14:00:00
13221,Fiorentina,Lecce,1.43717,1.11878,0,1,h,2019-11-30 19:45:00
13237,Fiorentina,Torino,1.92326,0.953465,1,2,a,2019-12-08 14:00:00
13242,Fiorentina,Inter,0.570393,1.02941,1,1,h,2019-12-15 19:45:00
13250,Fiorentina,Roma,1.40532,1.726,1,4,h,2019-12-20 19:45:00
13260,Fiorentina,Bologna,0.389787,0.869633,1,1,a,2020-01-06 11:30:00
13270,Fiorentina,SPAL 2013,2.0568,1.29075,1,0,h,2020-01-12 14:00:00
13287,Fiorentina,Napoli,0.78573,0.580972,2,0,a,2020-01-18 19:45:00
13290,Fiorentina,Genoa,1.1429,1.57939,0,0,h,2020-01-25 17:00:00
13302,Fiorentina,Juventus,0.913393,2.91178,0,3,a,2020-02-02 11:30:00
13310,Fiorentina,Atalanta,0.427977,1.76133,1,2,h,2020-02-08 14:00:00
13326,Fiorentina,Sampdoria,3.03573,2.02602,5,1,a,2020-02-16 14:00:00
13332,Fiorentina,AC Milan,2.00153,0.763896,1,1,h,2020-02-22 19:45:00
13348,Fiorentina,Udinese,0.330345,0.930884,0,0,a,2020-03-08 17:00:00
13351,Fiorentina,Brescia,2.16709,1.24254,1,1,h,2020-06-22 17:30:00
13362,Fiorentina,Lazio,0.51901,1.64791,1,2,a,2020-06-27 19:45:00
13371,Fiorentina,Sassuolo,1.30578,1.5301,1,3,h,2020-07-01 19:45:00
13381,Fiorentina,Parma Calcio 1913,2.7301,1.30598,2,1,a,2020-07-05 17:30:00
13391,Fiorentina,Cagliari,0.505289,0.969869,0,0,h,2020-07-08 17:30:00
13406,Fiorentina,Verona,1.60925,0.592972,1,1,h,2020-07-12 17:30:00
13417,Fiorentina,Lecce,2.58765,0.448154,3,1,a,2020-07-15 19:45:00
13421,Fiorentina,Torino,1.29061,0.236748,2,0,h,2020-07-19 17:30:00
13430,Fiorentina,Inter,0.632994,2.59401,0,0,a,2020-07-22 19:45:00
13444,Fiorentina,Roma,0.706479,2.9313,1,2,a,2020-07-26 17:30:00
13451,Fiorentina,Bologna,2.38995,1.30437,4,0,h,2020-07-29 19:45:00
13460,Fiorentina,SPAL 2013,2.24878,0.861493,3,1,a,2020-08-02 16:00:00
