,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
313625,RightFoot,FromCorner,MissedShots,0.03941480815410614,62,4,0,Marcelo Brozovic,1511,h,Inter,Lecce,Stefano Sensi,2019-08-26 19:45:00,13098,2019,"(0.8690000152587891, 0.7030000305175781)"
313632,RightFoot,OpenPlay,Goal,0.010265130549669266,83,4,0,Antonio Candreva,1517,h,Inter,Lecce,Nicolò Barella,2019-08-26 19:45:00,13098,2019,"(0.6819999694824219, 0.24899999618530275)"
313606,RightFoot,OpenPlay,SavedShot,0.017275217920541763,26,4,0,Marcelo Brozovic,1511,h,Inter,Lecce,Kwadwo Asamoah,2019-08-26 19:45:00,13098,2019,"(0.710999984741211, 0.605999984741211)"
313605,RightFoot,OpenPlay,MissedShots,0.08907458186149597,25,4,0,Marcelo Brozovic,1511,h,Inter,Lecce,Lautaro Martínez,2019-08-26 19:45:00,13098,2019,"(0.8980000305175782, 0.6419999694824219)"
313602,RightFoot,OpenPlay,Goal,0.018693547695875168,20,4,0,Marcelo Brozovic,1511,h,Inter,Lecce,Kwadwo Asamoah,2019-08-26 19:45:00,13098,2019,"(0.755, 0.575)"
313613,Head,OpenPlay,MissedShots,0.08011167496442795,38,4,0,Matías Vecino,1423,h,Inter,Lecce,Romelu Lukaku,2019-08-26 19:45:00,13098,2019,"(0.899000015258789, 0.5420000076293945)"
313607,RightFoot,OpenPlay,MissedShots,0.01408750843256712,29,4,0,Andrea Ranocchia,1522,h,Inter,Lecce,Stefano Sensi,2019-08-26 19:45:00,13098,2019,"(0.6840000152587891, 0.4929999923706055)"
313608,LeftFoot,OpenPlay,SavedShot,0.07095614820718765,31,4,0,Kwadwo Asamoah,1587,h,Inter,Lecce,Milan Skriniar,2019-08-26 19:45:00,13098,2019,"(0.904000015258789, 0.6959999847412109)"
313621,LeftFoot,FromCorner,MissedShots,0.01776442863047123,56,4,0,Kwadwo Asamoah,1587,h,Inter,Lecce,,2019-08-26 19:45:00,13098,2019,"(0.8119999694824219, 0.5990000152587891)"
313631,RightFoot,OpenPlay,MissedShots,0.08784276247024536,82,4,0,Roberto Gagliardini,1496,h,Inter,Lecce,,2019-08-26 19:45:00,13098,2019,"(0.8159999847412109, 0.39)"
313594,RightFoot,FromCorner,MissedShots,0.06809849292039871,3,4,0,Lautaro Martínez,7006,h,Inter,Lecce,Stefano Sensi,2019-08-26 19:45:00,13098,2019,"(0.9469999694824218, 0.40400001525878904)"
313593,RightFoot,OpenPlay,BlockedShot,0.06283040344715118,3,4,0,Stefano Sensi,1465,h,Inter,Lecce,Lautaro Martínez,2019-08-26 19:45:00,13098,2019,"(0.8569999694824219, 0.654000015258789)"
313623,RightFoot,OpenPlay,Goal,0.5216223001480103,59,4,0,Romelu Lukaku,594,h,Inter,Lecce,,2019-08-26 19:45:00,13098,2019,"(0.9290000152587891, 0.43099998474121093)"
313597,RightFoot,OpenPlay,BlockedShot,0.03290577605366707,10,4,0,Stefano Sensi,1465,h,Inter,Lecce,,2019-08-26 19:45:00,13098,2019,"(0.7440000152587891, 0.625999984741211)"
313603,LeftFoot,OpenPlay,BlockedShot,0.03222367540001869,23,4,0,Stefano Sensi,1465,h,Inter,Lecce,,2019-08-26 19:45:00,13098,2019,"(0.764000015258789, 0.6020000076293945)"
313619,RightFoot,OpenPlay,MissedShots,0.052773669362068176,51,4,0,Stefano Sensi,1465,h,Inter,Lecce,Marcelo Brozovic,2019-08-26 19:45:00,13098,2019,"(0.7869999694824219, 0.5670000076293945)"
313599,Head,OpenPlay,MissedShots,0.3564959168434143,16,4,0,Lautaro Martínez,7006,h,Inter,Lecce,Antonio Candreva,2019-08-26 19:45:00,13098,2019,"(0.9519999694824218, 0.5729999923706055)"
313620,RightFoot,OpenPlay,BlockedShot,0.11816275864839554,55,4,0,Lautaro Martínez,7006,h,Inter,Lecce,Antonio Candreva,2019-08-26 19:45:00,13098,2019,"(0.9230000305175782, 0.38299999237060545)"
313622,RightFoot,OpenPlay,SavedShot,0.018390150740742683,59,4,0,Lautaro Martínez,7006,h,Inter,Lecce,Romelu Lukaku,2019-08-26 19:45:00,13098,2019,"(0.740999984741211, 0.42400001525878905)"
313624,LeftFoot,OpenPlay,BlockedShot,0.10243163257837296,62,4,0,Lautaro Martínez,7006,h,Inter,Lecce,Marcelo Brozovic,2019-08-26 19:45:00,13098,2019,"(0.9459999847412109, 0.6680000305175782)"
313626,Head,OpenPlay,BlockedShot,0.050516534596681595,63,4,0,Lautaro Martínez,7006,h,Inter,Lecce,Antonio Candreva,2019-08-26 19:45:00,13098,2019,"(0.9330000305175781, 0.5629999923706055)"
313627,RightFoot,OpenPlay,MissedShots,0.04115938022732735,66,4,0,Lautaro Martínez,7006,h,Inter,Lecce,Romelu Lukaku,2019-08-26 19:45:00,13098,2019,"(0.759000015258789, 0.5120000076293946)"
313628,LeftFoot,OpenPlay,SavedShot,0.11649469286203384,67,4,0,Lautaro Martínez,7006,h,Inter,Lecce,Romelu Lukaku,2019-08-26 19:45:00,13098,2019,"(0.8769999694824219, 0.580999984741211)"
313604,RightFoot,OpenPlay,Goal,0.133659228682518,23,4,0,Stefano Sensi,1465,h,Inter,Lecce,Matías Vecino,2019-08-26 19:45:00,13098,2019,"(0.855999984741211, 0.40700000762939453)"
316777,RightFoot,OpenPlay,BlockedShot,0.05890404060482979,86,2,1,Kwadwo Asamoah,1587,a,Inter,Cagliari,Stefano Sensi,2019-09-01 19:45:00,13105,2019,"(0.8419999694824218, 0.655)"
316763,RightFoot,OpenPlay,SavedShot,0.03418268263339996,15,2,1,Lautaro Martínez,7006,a,Inter,Cagliari,Romelu Lukaku,2019-09-01 19:45:00,13105,2019,"(0.784000015258789, 0.575)"
316765,Head,FromCorner,Goal,0.06267070025205612,26,2,1,Lautaro Martínez,7006,a,Inter,Cagliari,,2019-09-01 19:45:00,13105,2019,"(0.93, 0.4929999923706055)"
316766,RightFoot,OpenPlay,BlockedShot,0.022979291155934334,29,2,1,Lautaro Martínez,7006,a,Inter,Cagliari,Kwadwo Asamoah,2019-09-01 19:45:00,13105,2019,"(0.7290000152587891, 0.565)"
316776,RightFoot,OpenPlay,MissedShots,0.5861928462982178,82,2,1,Romelu Lukaku,594,a,Inter,Cagliari,Matteo Politano,2019-09-01 19:45:00,13105,2019,"(0.9330000305175781, 0.47299999237060547)"
316778,LeftFoot,OpenPlay,SavedShot,0.07176820188760757,90,2,1,Matteo Politano,1473,a,Inter,Cagliari,Romelu Lukaku,2019-09-01 19:45:00,13105,2019,"(0.865, 0.6759999847412109)"
316774,RightFoot,DirectFreekick,ShotOnPost,0.10678184777498245,59,2,1,Stefano Sensi,1465,a,Inter,Cagliari,,2019-09-01 19:45:00,13105,2019,"(0.8030000305175782, 0.6079999923706054)"
316773,RightFoot,OpenPlay,SavedShot,0.07439489662647247,55,2,1,Stefano Sensi,1465,a,Inter,Cagliari,Marcelo Brozovic,2019-09-01 19:45:00,13105,2019,"(0.8619999694824219, 0.5270000076293946)"
316775,LeftFoot,Penalty,Goal,0.7612988352775574,71,2,1,Romelu Lukaku,594,a,Inter,Cagliari,,2019-09-01 19:45:00,13105,2019,"(0.885, 0.5)"
317679,LeftFoot,OpenPlay,BlockedShot,0.020346391946077347,7,1,0,Marcelo Brozovic,1511,h,Inter,Udinese,Matteo Politano,2019-09-14 18:45:00,13113,2019,"(0.740999984741211, 0.4909999847412109)"
317684,LeftFoot,DirectFreekick,MissedShots,0.05351582169532776,38,1,0,Matteo Politano,1473,h,Inter,Udinese,,2019-09-14 18:45:00,13113,2019,"(0.755, 0.34900001525878904)"
317687,LeftFoot,OpenPlay,SavedShot,0.06029549241065979,45,1,0,Matteo Politano,1473,h,Inter,Udinese,Marcelo Brozovic,2019-09-14 18:45:00,13113,2019,"(0.960999984741211, 0.7)"
317688,LeftFoot,OpenPlay,BlockedShot,0.06452805548906326,47,1,0,Matteo Politano,1473,h,Inter,Udinese,Marcelo Brozovic,2019-09-14 18:45:00,13113,2019,"(0.8190000152587891, 0.6680000305175782)"
317691,LeftFoot,OpenPlay,SavedShot,0.06499676406383514,56,1,0,Matteo Politano,1473,h,Inter,Udinese,Antonio Candreva,2019-09-14 18:45:00,13113,2019,"(0.8819999694824219, 0.33599998474121096)"
317699,RightFoot,DirectFreekick,SavedShot,0.06176719069480896,75,1,0,Stefano Sensi,1465,h,Inter,Udinese,,2019-09-14 18:45:00,13113,2019,"(0.785, 0.69)"
317686,Head,OpenPlay,Goal,0.12882542610168457,43,1,0,Stefano Sensi,1465,h,Inter,Udinese,Diego Godín,2019-09-14 18:45:00,13113,2019,"(0.925, 0.4759999847412109)"
