,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
13094,Lazio,Sampdoria,1.54375,0.627446,3,0,a,2019-08-25 19:45:00
13102,Lazio,Roma,2.07207,1.19504,1,1,h,2019-09-01 17:00:00
13117,Lazio,SPAL 2013,1.46024,1.10476,1,2,a,2019-09-15 13:00:00
13123,Lazio,Parma Calcio 1913,2.00279,0.504659,2,0,h,2019-09-22 18:45:00
13133,Lazio,Inter,1.3648,1.74169,0,1,a,2019-09-25 19:00:00
13141,Lazio,Genoa,1.61693,1.0028,4,0,h,2019-09-29 13:00:00
13150,Lazio,Bologna,1.59819,3.37988,2,2,a,2019-10-06 14:00:00
13162,Lazio,Atalanta,2.70407,2.56796,3,3,h,2019-10-19 14:00:00
13171,Lazio,Fiorentina,2.00858,0.563956,2,1,a,2019-10-27 19:45:00
13182,Lazio,Torino,2.29976,0.706344,4,0,h,2019-10-30 20:00:00
13195,Lazio,AC Milan,1.11258,0.717705,2,1,a,2019-11-03 19:45:00
13203,Lazio,Lecce,3.65287,2.55559,4,2,h,2019-11-10 14:00:00
13216,Lazio,Sassuolo,0.942458,1.37752,2,1,a,2019-11-24 14:00:00
13226,Lazio,Udinese,2.91567,0.749962,3,0,h,2019-12-01 14:00:00
13232,Lazio,Juventus,2.25743,1.46889,3,1,h,2019-12-07 19:45:00
13241,Lazio,Cagliari,2.05609,1.65566,2,1,a,2019-12-16 19:45:00
13261,Lazio,Brescia,1.75165,0.31406,2,1,a,2020-01-05 11:30:00
13273,Lazio,Napoli,1.4953,0.994893,1,0,h,2020-01-11 17:00:00
13284,Lazio,Sampdoria,4.87384,0.510628,5,1,h,2020-01-18 14:00:00
13294,Lazio,Roma,1.1389,2.13426,1,1,a,2020-01-26 17:00:00
13303,Lazio,SPAL 2013,2.74294,0.830374,5,1,h,2020-02-02 14:00:00
13252,Lazio,Verona,1.08446,0.556501,0,0,h,2020-02-05 19:45:00
13314,Lazio,Parma Calcio 1913,1.66984,0.71446,1,0,a,2020-02-09 17:00:00
13323,Lazio,Inter,1.58388,0.639553,2,1,h,2020-02-16 19:45:00
13333,Lazio,Genoa,1.56379,1.14807,3,2,a,2020-02-23 11:30:00
13341,Lazio,Bologna,1.24352,1.6913,2,0,h,2020-02-29 14:00:00
13349,Lazio,Atalanta,0.661396,2.25586,2,3,a,2020-06-24 19:45:00
13362,Lazio,Fiorentina,1.64791,0.51901,2,1,h,2020-06-27 19:45:00
13374,Lazio,Torino,0.899592,0.918632,2,1,a,2020-06-30 17:30:00
13379,Lazio,AC Milan,0.291705,2.32982,0,3,h,2020-07-04 19:45:00
13393,Lazio,Lecce,1.97214,3.02321,1,2,a,2020-07-07 17:30:00
13402,Lazio,Sassuolo,0.672886,1.83016,1,2,h,2020-07-11 15:15:00
13409,Lazio,Udinese,0.716385,1.0273,0,0,a,2020-07-15 19:45:00
13423,Lazio,Juventus,1.18841,3.70839,1,2,a,2020-07-20 19:45:00
13431,Lazio,Cagliari,1.46863,0.774845,2,1,h,2020-07-23 19:45:00
13446,Lazio,Verona,2.26539,1.78131,5,1,a,2020-07-26 17:30:00
13458,Lazio,Brescia,3.90847,0.785251,2,0,h,2020-07-29 17:30:00
13462,Lazio,Napoli,1.0997,1.92539,1,3,a,2020-08-01 18:45:00
