,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
13098,Lecce,Inter,0.408768,2.14366,0,4,a,2019-08-26 19:45:00
13103,Lecce,Verona,0.994717,1.824,0,1,h,2019-09-01 19:45:00
13118,Lecce,Torino,1.25479,1.5512,2,1,a,2019-09-16 18:45:00
13124,Lecce,Napoli,1.37591,3.0665,1,4,h,2019-09-22 13:00:00
13137,Lecce,SPAL 2013,1.89438,0.924939,3,1,a,2019-09-25 19:00:00
13142,Lecce,Roma,0.793718,2.99876,0,1,h,2019-09-29 13:00:00
13149,Lecce,Atalanta,0.999184,4.39219,1,3,a,2019-10-06 14:00:00
13163,Lecce,AC Milan,1.29111,1.7835,2,2,a,2019-10-20 19:45:00
13175,Lecce,Juventus,1.05543,3.57172,1,1,h,2019-10-26 14:00:00
13186,Lecce,Sampdoria,1.06001,1.64236,1,1,a,2019-10-30 20:00:00
13194,Lecce,Sassuolo,0.483324,2.17105,2,2,h,2019-11-03 14:00:00
13203,Lecce,Lazio,2.55559,3.65287,2,4,a,2019-11-10 14:00:00
13212,Lecce,Cagliari,4.09277,0.959475,2,2,h,2019-11-25 15:00:00
13221,Lecce,Fiorentina,1.11878,1.43717,1,0,a,2019-11-30 19:45:00
13233,Lecce,Genoa,0.85727,2.55768,2,2,h,2019-12-08 11:30:00
13240,Lecce,Brescia,0.90603,3.67148,0,3,a,2019-12-14 14:00:00
13253,Lecce,Bologna,1.19573,4.46396,2,3,h,2019-12-22 14:00:00
13264,Lecce,Udinese,0.752631,0.795554,0,1,h,2020-01-06 17:00:00
13274,Lecce,Parma Calcio 1913,0.803732,2.14614,0,2,a,2020-01-13 19:45:00
13285,Lecce,Inter,1.01391,2.1611,1,1,h,2020-01-19 14:00:00
13298,Lecce,Verona,0.460325,3.25786,0,3,a,2020-01-26 14:00:00
13304,Lecce,Torino,2.39622,0.960359,4,0,h,2020-02-02 17:00:00
13313,Lecce,Napoli,1.83334,3.48129,3,2,a,2020-02-09 14:00:00
13324,Lecce,SPAL 2013,1.59786,1.36497,2,1,h,2020-02-15 14:00:00
13335,Lecce,Roma,0.580412,3.81118,0,4,a,2020-02-23 17:00:00
13342,Lecce,Atalanta,0.337033,5.40731,2,7,h,2020-03-01 14:00:00
13354,Lecce,AC Milan,1.25749,2.5353,1,4,h,2020-06-22 17:30:00
13361,Lecce,Juventus,0.31442,4.35037,0,4,a,2020-06-26 19:45:00
13377,Lecce,Sampdoria,1.75314,1.89408,1,2,h,2020-07-01 19:45:00
13383,Lecce,Sassuolo,2.04843,1.82065,2,4,a,2020-07-04 17:30:00
13393,Lecce,Lazio,3.02321,1.97214,2,1,h,2020-07-07 17:30:00
13408,Lecce,Cagliari,1.46065,1.42447,0,0,a,2020-07-12 17:30:00
13417,Lecce,Fiorentina,0.448154,2.58765,1,3,h,2020-07-15 19:45:00
13422,Lecce,Genoa,1.69932,0.446679,1,2,a,2020-07-19 17:30:00
13432,Lecce,Brescia,2.53511,0.9591,3,1,h,2020-07-22 19:45:00
13439,Lecce,Bologna,2.24736,2.68927,2,3,a,2020-07-26 15:15:00
13453,Lecce,Udinese,1.93484,1.5542,2,1,a,2020-07-29 17:30:00
13468,Lecce,Parma Calcio 1913,2.63165,3.54088,3,4,h,2020-08-02 18:45:00
