,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
313617,LeftFoot,OpenPlay,MissedShots,0.007897927425801754,49,0,4,Marco Calderoni,7970,a,Lecce,Inter,Filippo Falco,2019-08-26 19:45:00,13098,2019,"(0.7190000152587891, 0.7730000305175782)"
313611,LeftFoot,FromCorner,MissedShots,0.02553761936724186,36,0,4,Marco Calderoni,7970,a,Lecce,Inter,Panagiotis Tachtsidis,2019-08-26 19:45:00,13098,2019,"(0.7609999847412109, 0.7)"
313616,Head,FromCorner,MissedShots,0.04773001745343208,48,0,4,Gianluca Lapadula,1136,a,Lecce,Inter,Filippo Falco,2019-08-26 19:45:00,13098,2019,"(0.9290000152587891, 0.5479999923706055)"
313598,RightFoot,OpenPlay,BlockedShot,0.04046236351132393,13,0,4,Gianluca Lapadula,1136,a,Lecce,Inter,,2019-08-26 19:45:00,13098,2019,"(0.764000015258789, 0.6519999694824219)"
313596,Head,SetPiece,BlockedShot,0.011215753853321075,10,0,4,Gianluca Lapadula,1136,a,Lecce,Inter,Jacopo Petriccione,2019-08-26 19:45:00,13098,2019,"(0.865999984741211, 0.514000015258789)"
313601,LeftFoot,OpenPlay,SavedShot,0.019213207066059113,18,0,4,Panagiotis Tachtsidis,1401,a,Lecce,Inter,,2019-08-26 19:45:00,13098,2019,"(0.78, 0.6730000305175782)"
313629,RightFoot,OpenPlay,MissedShots,0.014868110418319702,72,0,4,Marco Mancosu,7973,a,Lecce,Inter,Diego Farias,2019-08-26 19:45:00,13098,2019,"(0.799000015258789, 0.7019999694824218)"
313630,LeftFoot,OpenPlay,BlockedShot,0.01012821588665247,81,0,4,Panagiotis Tachtsidis,1401,a,Lecce,Inter,,2019-08-26 19:45:00,13098,2019,"(0.7240000152587891, 0.565)"
313614,RightFoot,OpenPlay,MissedShots,0.010981247760355473,38,0,4,Andrea Rispoli,1274,a,Lecce,Inter,Filippo Falco,2019-08-26 19:45:00,13098,2019,"(0.7619999694824219, 0.25)"
313633,RightFoot,OpenPlay,MissedShots,0.010820728726685047,85,0,4,Zan Majer,5910,a,Lecce,Inter,Marco Calderoni,2019-08-26 19:45:00,13098,2019,"(0.7230000305175781, 0.6769999694824219)"
313609,RightFoot,OpenPlay,SavedShot,0.022798389196395874,32,0,4,Andrea La Mantia,7972,a,Lecce,Inter,Filippo Falco,2019-08-26 19:45:00,13098,2019,"(0.8019999694824219, 0.6940000152587891)"
313610,LeftFoot,OpenPlay,BlockedShot,0.014128434471786022,35,0,4,Panagiotis Tachtsidis,1401,a,Lecce,Inter,Jacopo Petriccione,2019-08-26 19:45:00,13098,2019,"(0.7319999694824219, 0.4540000152587891)"
313618,LeftFoot,OpenPlay,MissedShots,0.01563369669020176,50,0,4,Marco Calderoni,7970,a,Lecce,Inter,,2019-08-26 19:45:00,13098,2019,"(0.7709999847412109, 0.62)"
313600,LeftFoot,OpenPlay,MissedShots,0.01039824541658163,17,0,4,Jacopo Petriccione,7971,a,Lecce,Inter,Zan Majer,2019-08-26 19:45:00,13098,2019,"(0.68, 0.31)"
313595,Head,OpenPlay,MissedShots,0.013016032986342907,4,0,4,Andrea La Mantia,7972,a,Lecce,Inter,,2019-08-26 19:45:00,13098,2019,"(0.879000015258789, 0.3029999923706055)"
313615,LeftFoot,OpenPlay,BlockedShot,0.10890128463506699,47,0,4,Filippo Falco,1979,a,Lecce,Inter,Andrea La Mantia,2019-08-26 19:45:00,13098,2019,"(0.9569999694824218, 0.605)"
313612,RightFoot,FromCorner,BlockedShot,0.02503654919564724,36,0,4,Panagiotis Tachtsidis,1401,a,Lecce,Inter,Gianluca Lapadula,2019-08-26 19:45:00,13098,2019,"(0.8040000152587891, 0.37400001525878906)"
316712,LeftFoot,OpenPlay,BlockedShot,0.024425294250249863,54,0,1,Filippo Falco,1979,h,Lecce,Verona,Zan Majer,2019-09-01 19:45:00,13103,2019,"(0.7959999847412109, 0.355)"
316707,Head,OpenPlay,MissedShots,0.016671322286128998,33,0,1,Evgen Shakhov,7977,h,Lecce,Verona,Romario Benzar,2019-09-01 19:45:00,13103,2019,"(0.855999984741211, 0.4490000152587891)"
316725,Head,OpenPlay,MissedShots,0.03445146977901459,92,0,1,Andrea La Mantia,7972,h,Lecce,Verona,Filippo Falco,2019-09-01 19:45:00,13103,2019,"(0.9180000305175782, 0.57)"
316696,Head,SetPiece,MissedShots,0.37279319763183594,3,0,1,Fabio Lucioni,6192,h,Lecce,Verona,Filippo Falco,2019-09-01 19:45:00,13103,2019,"(0.9569999694824218, 0.565)"
316720,Head,SetPiece,MissedShots,0.033048152923583984,77,0,1,Gianluca Lapadula,1136,h,Lecce,Verona,Filippo Falco,2019-09-01 19:45:00,13103,2019,"(0.8619999694824219, 0.4879999923706055)"
316717,RightFoot,OpenPlay,MissedShots,0.024026641622185707,65,0,1,Filippo Falco,1979,h,Lecce,Verona,Cristian Dell&#039;Orco,2019-09-01 19:45:00,13103,2019,"(0.764000015258789, 0.3970000076293945)"
316700,LeftFoot,OpenPlay,BlockedShot,0.014840152114629745,19,0,1,Filippo Falco,1979,h,Lecce,Verona,Evgen Shakhov,2019-09-01 19:45:00,13103,2019,"(0.715, 0.36900001525878906)"
316711,RightFoot,OpenPlay,BlockedShot,0.07385053485631943,49,0,1,Evgen Shakhov,7977,h,Lecce,Verona,Cristian Dell&#039;Orco,2019-09-01 19:45:00,13103,2019,"(0.87, 0.5570000076293945)"
316719,RightFoot,OpenPlay,SavedShot,0.05015294626355171,72,0,1,Gianluca Lapadula,1136,h,Lecce,Verona,,2019-09-01 19:45:00,13103,2019,"(0.8130000305175781, 0.46599998474121096)"
316705,Head,OpenPlay,MissedShots,0.0979359969496727,31,0,1,Gianluca Lapadula,1136,h,Lecce,Verona,Filippo Falco,2019-09-01 19:45:00,13103,2019,"(0.9119999694824219, 0.5420000076293945)"
316709,RightFoot,OpenPlay,MissedShots,0.07762841135263443,46,0,1,Marco Mancosu,7973,h,Lecce,Verona,Romario Benzar,2019-09-01 19:45:00,13103,2019,"(0.8690000152587891, 0.5020000076293946)"
316715,LeftFoot,OpenPlay,SavedShot,0.019081924110651016,60,0,1,Marco Mancosu,7973,h,Lecce,Verona,Filippo Falco,2019-09-01 19:45:00,13103,2019,"(0.7680000305175781, 0.39)"
316710,LeftFoot,OpenPlay,MissedShots,0.07512035220861435,46,0,1,Zan Majer,5910,h,Lecce,Verona,,2019-09-01 19:45:00,13103,2019,"(0.8630000305175781, 0.55)"
316723,RightFoot,OpenPlay,SavedShot,0.06726927310228348,86,0,1,Marco Mancosu,7973,h,Lecce,Verona,,2019-09-01 19:45:00,13103,2019,"(0.895, 0.6040000152587891)"
316724,LeftFoot,FromCorner,MissedShots,0.01342096459120512,87,0,1,Marco Calderoni,7970,h,Lecce,Verona,,2019-09-01 19:45:00,13103,2019,"(0.710999984741211, 0.5479999923706055)"
318416,LeftFoot,OpenPlay,MissedShots,0.020346419885754585,70,2,1,Panagiotis Tachtsidis,1401,a,Lecce,Torino,Filippo Falco,2019-09-16 18:45:00,13118,2019,"(0.7909999847412109, 0.3320000076293945)"
318404,LeftFoot,OpenPlay,SavedShot,0.0971100702881813,34,2,1,Filippo Falco,1979,a,Lecce,Torino,Zan Majer,2019-09-16 18:45:00,13118,2019,"(0.8909999847412109, 0.36700000762939455)"
318399,LeftFoot,FromCorner,MissedShots,0.016423311084508896,2,2,1,Panagiotis Tachtsidis,1401,a,Lecce,Torino,,2019-09-16 18:45:00,13118,2019,"(0.87, 0.27700000762939453)"
318412,RightFoot,OpenPlay,MissedShots,0.04721303656697273,63,2,1,Andrea Rispoli,1274,a,Lecce,Torino,Khouma Babacar,2019-09-16 18:45:00,13118,2019,"(0.93, 0.27700000762939453)"
318414,Head,OpenPlay,MissedShots,0.018517065793275833,67,2,1,Andrea Tabanelli,3857,a,Lecce,Torino,Filippo Falco,2019-09-16 18:45:00,13118,2019,"(0.8769999694824219, 0.595999984741211)"
318418,RightFoot,OpenPlay,Goal,0.3291628360748291,72,2,1,Marco Mancosu,7973,a,Lecce,Torino,,2019-09-16 18:45:00,13118,2019,"(0.8680000305175781, 0.46099998474121096)"
318425,RightFoot,OpenPlay,BlockedShot,0.09742596000432968,84,2,1,Marco Mancosu,7973,a,Lecce,Torino,Filippo Falco,2019-09-16 18:45:00,13118,2019,"(0.850999984741211, 0.4640000152587891)"
318424,LeftFoot,OpenPlay,MissedShots,0.09057675302028656,84,2,1,Marco Mancosu,7973,a,Lecce,Torino,,2019-09-16 18:45:00,13118,2019,"(0.9230000305175782, 0.645)"
318415,LeftFoot,OpenPlay,MissedShots,0.04426198825240135,68,2,1,Panagiotis Tachtsidis,1401,a,Lecce,Torino,,2019-09-16 18:45:00,13118,2019,"(0.8030000305175782, 0.54)"
318417,LeftFoot,OpenPlay,SavedShot,0.015729211270809174,72,2,1,Marco Calderoni,7970,a,Lecce,Torino,Zan Majer,2019-09-16 18:45:00,13118,2019,"(0.754000015258789, 0.725)"
318423,LeftFoot,OpenPlay,MissedShots,0.021443603560328484,81,2,1,Marco Calderoni,7970,a,Lecce,Torino,Marco Mancosu,2019-09-16 18:45:00,13118,2019,"(0.7390000152587891, 0.6419999694824219)"
318407,RightFoot,FromCorner,MissedShots,0.024810118600726128,41,2,1,Diego Farias,1605,a,Lecce,Torino,,2019-09-16 18:45:00,13118,2019,"(0.785, 0.515)"
318398,LeftFoot,OpenPlay,BlockedShot,0.029685158282518387,1,2,1,Gianluca Lapadula,1136,a,Lecce,Torino,Andrea Rispoli,2019-09-16 18:45:00,13118,2019,"(0.7719999694824219, 0.4370000076293945)"
318426,RightFoot,OpenPlay,BlockedShot,0.048462994396686554,85,2,1,Khouma Babacar,1434,a,Lecce,Torino,Panagiotis Tachtsidis,2019-09-16 18:45:00,13118,2019,"(0.850999984741211, 0.710999984741211)"
318419,RightFoot,OpenPlay,SavedShot,0.0744321271777153,76,2,1,Khouma Babacar,1434,a,Lecce,Torino,Marco Calderoni,2019-09-16 18:45:00,13118,2019,"(0.855, 0.5)"
318405,LeftFoot,OpenPlay,Goal,0.0751737728714943,34,2,1,Diego Farias,1605,a,Lecce,Torino,,2019-09-16 18:45:00,13118,2019,"(0.9019999694824219, 0.37799999237060544)"
318406,LeftFoot,OpenPlay,MissedShots,0.03015705570578575,37,2,1,Gianluca Lapadula,1136,a,Lecce,Torino,Andrea Tabanelli,2019-09-16 18:45:00,13118,2019,"(0.8009999847412109, 0.710999984741211)"
318411,RightFoot,OpenPlay,BlockedShot,0.08902079612016678,63,2,1,Khouma Babacar,1434,a,Lecce,Torino,Marco Mancosu,2019-09-16 18:45:00,13118,2019,"(0.875, 0.3920000076293945)"
318427,RightFoot,OpenPlay,MissedShots,0.09731730818748474,87,2,1,Khouma Babacar,1434,a,Lecce,Torino,Marco Mancosu,2019-09-16 18:45:00,13118,2019,"(0.865999984741211, 0.605)"
321022,LeftFoot,OpenPlay,MissedShots,0.31007251143455505,92,1,4,Gianluca Lapadula,1136,h,Lecce,Napoli,Zan Majer,2019-09-22 13:00:00,13124,2019,"(0.874000015258789, 0.4570000076293945)"
321010,RightFoot,Penalty,Goal,0.7612988352775574,60,1,4,Marco Mancosu,7973,h,Lecce,Napoli,,2019-09-22 13:00:00,13124,2019,"(0.885, 0.5)"
321012,Head,OpenPlay,MissedShots,0.06190701574087143,70,1,4,Gianluca Lapadula,1136,h,Lecce,Napoli,Diego Farias,2019-09-22 13:00:00,13124,2019,"(0.8930000305175781, 0.4779999923706055)"
321009,RightFoot,SetPiece,SavedShot,0.014582044444978237,57,1,4,Zan Majer,5910,h,Lecce,Napoli,,2019-09-22 13:00:00,13124,2019,"(0.7669999694824219, 0.36900001525878906)"
321011,Head,OpenPlay,BlockedShot,0.020859315991401672,66,1,4,Andrea Tabanelli,3857,h,Lecce,Napoli,Marco Mancosu,2019-09-22 13:00:00,13124,2019,"(0.915, 0.625)"
321017,RightFoot,OpenPlay,BlockedShot,0.05197244882583618,83,1,4,Andrea Tabanelli,3857,h,Lecce,Napoli,Marco Mancosu,2019-09-22 13:00:00,13124,2019,"(0.8640000152587891, 0.6880000305175781)"
321018,LeftFoot,OpenPlay,SavedShot,0.06975281983613968,84,1,4,Andrea Tabanelli,3857,h,Lecce,Napoli,Marco Calderoni,2019-09-22 13:00:00,13124,2019,"(0.875999984741211, 0.5179999923706055)"
320995,RightFoot,OpenPlay,MissedShots,0.017042294144630432,14,1,4,Diego Farias,1605,h,Lecce,Napoli,Zan Majer,2019-09-22 13:00:00,13124,2019,"(0.7619999694824219, 0.6659999847412109)"
321007,Head,SetPiece,MissedShots,0.010479478165507317,50,1,4,Fabio Lucioni,6192,h,Lecce,Napoli,Filippo Falco,2019-09-22 13:00:00,13124,2019,"(0.924000015258789, 0.37400001525878906)"
320996,LeftFoot,OpenPlay,MissedShots,0.057942621409893036,19,1,4,Marco Mancosu,7973,h,Lecce,Napoli,Zan Majer,2019-09-22 13:00:00,13124,2019,"(0.8159999847412109, 0.5479999923706055)"
322140,RightFoot,OpenPlay,MissedShots,0.11353437602519989,47,3,1,Filippo Falco,1979,a,Lecce,SPAL 2013,Zan Majer,2019-09-25 19:00:00,13137,2019,"(0.899000015258789, 0.3629999923706055)"
322138,RightFoot,OpenPlay,BlockedShot,0.06770952045917511,44,3,1,Khouma Babacar,1434,a,Lecce,SPAL 2013,Marco Mancosu,2019-09-25 19:00:00,13137,2019,"(0.9419999694824219, 0.6409999847412109)"
322132,RightFoot,OpenPlay,MissedShots,0.014984145760536194,1,3,1,Khouma Babacar,1434,a,Lecce,SPAL 2013,,2019-09-25 19:00:00,13137,2019,"(0.7609999847412109, 0.67)"
322148,RightFoot,Penalty,Goal,0.7612988352775574,72,3,1,Marco Mancosu,7973,a,Lecce,SPAL 2013,,2019-09-25 19:00:00,13137,2019,"(0.885, 0.5)"
322133,RightFoot,Penalty,Goal,0.7612988352775574,10,3,1,Marco Mancosu,7973,a,Lecce,SPAL 2013,,2019-09-25 19:00:00,13137,2019,"(0.885, 0.5)"
322141,LeftFoot,OpenPlay,Goal,0.030674941837787628,46,3,1,Marco Calderoni,7970,a,Lecce,SPAL 2013,,2019-09-25 19:00:00,13137,2019,"(0.7759999847412109, 0.5309999847412109)"
322142,RightFoot,OpenPlay,MissedShots,0.012784729711711407,51,3,1,Andrea Tabanelli,3857,a,Lecce,SPAL 2013,Jacopo Petriccione,2019-09-25 19:00:00,13137,2019,"(0.6780000305175782, 0.62)"
322146,RightFoot,OpenPlay,MissedShots,0.13209302723407745,65,3,1,Andrea Rispoli,1274,a,Lecce,SPAL 2013,Filippo Falco,2019-09-25 19:00:00,13137,2019,"(0.8809999847412109, 0.37099998474121093)"
323249,RightFoot,OpenPlay,BlockedShot,0.07197734713554382,21,0,1,Marco Mancosu,7973,h,Lecce,Roma,Filippo Falco,2019-09-29 13:00:00,13142,2019,"(0.915, 0.3320000076293945)"
323257,RightFoot,OpenPlay,BlockedShot,0.02474440261721611,42,0,1,Zan Majer,5910,h,Lecce,Roma,Khouma Babacar,2019-09-29 13:00:00,13142,2019,"(0.774000015258789, 0.3770000076293945)"
323259,LeftFoot,OpenPlay,BlockedShot,0.08837763965129852,45,0,1,Marco Mancosu,7973,h,Lecce,Roma,Khouma Babacar,2019-09-29 13:00:00,13142,2019,"(0.8619999694824219, 0.590999984741211)"
323251,RightFoot,OpenPlay,SavedShot,0.07853838801383972,26,0,1,Filippo Falco,1979,h,Lecce,Roma,Khouma Babacar,2019-09-29 13:00:00,13142,2019,"(0.8330000305175781, 0.46799999237060547)"
