,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
13093,Roma,Genoa,2.6256,1.1259,3,3,h,2019-08-25 19:45:00
13102,Roma,Lazio,1.19504,2.07207,1,1,a,2019-09-01 17:00:00
13116,Roma,Sassuolo,2.96035,0.84997,4,2,h,2019-09-15 16:00:00
13120,Roma,Bologna,1.45512,1.34513,2,1,a,2019-09-22 13:00:00
13136,Roma,Atalanta,2.21614,2.23314,0,2,h,2019-09-25 17:00:00
13142,Roma,Lecce,2.99876,0.793718,1,0,a,2019-09-29 13:00:00
13156,Roma,Cagliari,1.4212,1.03338,1,1,h,2019-10-06 14:00:00
13166,Roma,Sampdoria,0.443611,0.628013,0,0,a,2019-10-20 14:00:00
13176,Roma,AC Milan,1.66688,0.545215,2,1,h,2019-10-27 17:00:00
13188,Roma,Udinese,3.28214,0.557164,4,0,a,2019-10-30 20:00:00
13196,Roma,Napoli,2.21085,1.6515,2,1,h,2019-11-02 14:00:00
13205,Roma,Parma Calcio 1913,0.97114,1.29826,0,2,a,2019-11-10 17:00:00
13214,Roma,Brescia,2.51584,0.31479,3,0,h,2019-11-24 14:00:00
13223,Roma,Verona,2.10824,1.21801,3,1,a,2019-12-01 19:45:00
13231,Roma,Inter,0.214697,2.07846,0,0,a,2019-12-06 19:45:00
13248,Roma,SPAL 2013,3.697,1.11044,3,1,h,2019-12-15 17:00:00
13250,Roma,Fiorentina,1.726,1.40532,4,1,a,2019-12-20 19:45:00
13267,Roma,Torino,1.9541,2.29167,0,2,h,2020-01-05 19:45:00
13275,Roma,Juventus,2.58161,1.34236,1,2,h,2020-01-12 19:45:00
13282,Roma,Genoa,2.75706,1.16664,3,1,a,2020-01-19 17:00:00
13294,Roma,Lazio,2.13426,1.1389,1,1,h,2020-01-26 17:00:00
13307,Roma,Sassuolo,2.84695,2.42922,2,4,a,2020-02-01 19:45:00
13315,Roma,Bologna,1.83686,1.28284,2,3,h,2020-02-07 19:45:00
13319,Roma,Atalanta,0.298212,1.59147,1,2,a,2020-02-15 19:45:00
13335,Roma,Lecce,3.81118,0.580412,4,0,h,2020-02-23 17:00:00
13339,Roma,Cagliari,2.61064,1.09812,4,3,a,2020-03-01 17:00:00
13355,Roma,Sampdoria,2.14034,1.24278,2,1,h,2020-06-24 19:45:00
13363,Roma,AC Milan,0.601741,2.25687,0,2,a,2020-06-28 15:15:00
13376,Roma,Udinese,0.722766,1.949,0,2,h,2020-07-02 19:45:00
13380,Roma,Napoli,0.696395,2.34423,1,2,a,2020-07-05 19:45:00
13395,Roma,Parma Calcio 1913,3.30265,1.11414,2,1,h,2020-07-08 19:45:00
13407,Roma,Brescia,3.13472,1.42387,3,0,a,2020-07-11 17:30:00
13415,Roma,Verona,2.6565,0.879748,2,1,h,2020-07-15 19:45:00
13427,Roma,Inter,1.44189,1.5285,2,2,h,2020-07-19 19:45:00
13436,Roma,SPAL 2013,1.78955,0.511748,6,1,a,2020-07-22 19:45:00
13444,Roma,Fiorentina,2.9313,0.706479,2,1,h,2020-07-26 17:30:00
13454,Roma,Torino,2.42302,0.968279,3,2,a,2020-07-29 19:45:00
13467,Roma,Juventus,1.93545,1.04247,3,1,a,2020-08-01 18:45:00
