,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
13095,SPAL 2013,Atalanta,1.48495,1.70129,2,3,h,2019-08-25 19:45:00
13099,SPAL 2013,Bologna,0.850525,3.76497,0,1,a,2019-08-30 19:45:00
13117,SPAL 2013,Lazio,1.10476,1.46024,2,1,h,2019-09-15 13:00:00
13127,SPAL 2013,Sassuolo,0.923321,2.01353,0,3,a,2019-09-22 10:30:00
13137,SPAL 2013,Lecce,0.924939,1.89438,1,3,h,2019-09-25 19:00:00
13140,SPAL 2013,Juventus,0.160279,2.36566,0,2,a,2019-09-28 13:00:00
13157,SPAL 2013,Parma Calcio 1913,1.30807,0.238942,1,0,h,2019-10-05 14:00:00
13160,SPAL 2013,Cagliari,0.917756,1.14716,0,2,a,2019-10-20 14:00:00
13177,SPAL 2013,Napoli,0.470344,0.898916,1,1,h,2019-10-27 14:00:00
13183,SPAL 2013,AC Milan,0.335973,1.90677,0,1,a,2019-10-31 20:00:00
13197,SPAL 2013,Sampdoria,0.501251,0.857291,0,1,h,2019-11-04 19:45:00
13208,SPAL 2013,Udinese,1.95747,1.60289,0,0,a,2019-11-10 14:00:00
13217,SPAL 2013,Genoa,2.44472,1.71849,1,1,h,2019-11-25 19:45:00
13224,SPAL 2013,Inter,1.15284,2.136,1,2,a,2019-12-01 14:00:00
13236,SPAL 2013,Brescia,1.91592,1.91478,0,1,h,2019-12-08 14:00:00
13248,SPAL 2013,Roma,1.11044,3.697,1,3,a,2019-12-15 17:00:00
13257,SPAL 2013,Torino,0.948561,1.24219,2,1,a,2019-12-21 19:45:00
13268,SPAL 2013,Verona,1.60395,2.52979,0,2,h,2020-01-05 14:00:00
13270,SPAL 2013,Fiorentina,1.29075,2.0568,0,1,a,2020-01-12 14:00:00
13279,SPAL 2013,Atalanta,1.21091,2.45221,2,1,a,2020-01-20 19:45:00
13296,SPAL 2013,Bologna,1.66537,2.38713,1,3,h,2020-01-25 14:00:00
13303,SPAL 2013,Lazio,0.830374,2.74294,1,5,a,2020-02-02 14:00:00
13316,SPAL 2013,Sassuolo,1.59421,2.22596,1,2,h,2020-02-09 11:30:00
13324,SPAL 2013,Lecce,1.36497,1.59786,1,2,a,2020-02-15 14:00:00
13336,SPAL 2013,Juventus,1.09171,1.86761,1,2,h,2020-02-22 17:00:00
13345,SPAL 2013,Parma Calcio 1913,1.13444,1.38981,1,0,a,2020-03-08 12:45:00
13356,SPAL 2013,Cagliari,1.09631,1.53512,0,1,h,2020-06-23 17:30:00
13364,SPAL 2013,Napoli,0.530265,1.95132,1,3,a,2020-06-28 17:30:00
13375,SPAL 2013,AC Milan,0.624702,1.59634,2,2,h,2020-07-01 19:45:00
13382,SPAL 2013,Sampdoria,1.27013,1.1329,0,3,a,2020-07-05 17:30:00
13396,SPAL 2013,Udinese,0.325928,1.34662,0,3,h,2020-07-09 17:30:00
13405,SPAL 2013,Genoa,0.0436239,2.81026,0,2,a,2020-07-12 15:15:00
13412,SPAL 2013,Inter,0.811137,2.53043,0,4,h,2020-07-16 19:45:00
13420,SPAL 2013,Brescia,1.58437,1.62366,1,2,a,2020-07-19 17:30:00
13436,SPAL 2013,Roma,0.511748,1.78955,1,6,h,2020-07-22 19:45:00
13445,SPAL 2013,Torino,0.376682,1.55546,1,1,h,2020-07-26 17:30:00
13452,SPAL 2013,Verona,0.737187,2.03906,0,3,a,2020-07-29 17:30:00
13460,SPAL 2013,Fiorentina,0.861493,2.24878,1,3,h,2020-08-02 16:00:00
