,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
313402,Head,OpenPlay,MissedShots,0.04205332696437836,52,2,3,Jasmin Kurtic,1492,h,SPAL 2013,Atalanta,Marco D&#039;Alessandro,2019-08-25 19:45:00,13095,2019,"(0.8959999847412109, 0.4370000076293945)"
313413,LeftFoot,OpenPlay,MissedShots,0.010413240641355515,91,2,3,Sergio Floccari,1446,h,SPAL 2013,Atalanta,,2019-08-25 19:45:00,13095,2019,"(0.7480000305175781, 0.36400001525878906)"
313385,RightFoot,OpenPlay,Goal,0.3371445834636688,5,2,3,Federico Di Francesco,1449,h,SPAL 2013,Atalanta,Andrea Petagna,2019-08-25 19:45:00,13095,2019,"(0.8419999694824218, 0.4420000076293945)"
313386,RightFoot,OpenPlay,MissedShots,0.09657767415046692,7,2,3,Federico Di Francesco,1449,h,SPAL 2013,Atalanta,Simone Missiroli,2019-08-25 19:45:00,13095,2019,"(0.8769999694824219, 0.605)"
313403,LeftFoot,OpenPlay,MissedShots,0.01958577334880829,58,2,3,Igor Julio,7943,h,SPAL 2013,Atalanta,Francesco Vicari,2019-08-25 19:45:00,13095,2019,"(0.72, 0.5540000152587891)"
313396,Head,OpenPlay,SavedShot,0.25725671648979187,36,2,3,Mattia Valoti,3899,h,SPAL 2013,Atalanta,Jasmin Kurtic,2019-08-25 19:45:00,13095,2019,"(0.91, 0.4370000076293945)"
313384,LeftFoot,OpenPlay,MissedShots,0.011997517198324203,4,2,3,Andrea Petagna,1493,h,SPAL 2013,Atalanta,Felipe,2019-08-25 19:45:00,13095,2019,"(0.6530000305175782, 0.3629999923706055)"
313391,RightFoot,OpenPlay,Goal,0.671843409538269,25,2,3,Andrea Petagna,1493,h,SPAL 2013,Atalanta,Igor Julio,2019-08-25 19:45:00,13095,2019,"(0.955, 0.47900001525878905)"
313411,LeftFoot,OpenPlay,MissedShots,0.038078710436820984,88,2,3,Nenad Tomovic,1435,h,SPAL 2013,Atalanta,,2019-08-25 19:45:00,13095,2019,"(0.8340000152587891, 0.34599998474121096)"
315446,RightFoot,OpenPlay,MissedShots,0.07925231009721756,62,0,1,Federico Di Francesco,1449,a,SPAL 2013,Bologna,Andrea Petagna,2019-08-30 19:45:00,13099,2019,"(0.8909999847412109, 0.34)"
315453,RightFoot,OpenPlay,BlockedShot,0.02343541383743286,81,0,1,Jasmin Kurtic,1492,a,SPAL 2013,Bologna,Sergio Floccari,2019-08-30 19:45:00,13099,2019,"(0.799000015258789, 0.6969999694824218)"
315449,RightFoot,OpenPlay,MissedShots,0.02812911756336689,75,0,1,Jasmin Kurtic,1492,a,SPAL 2013,Bologna,Andrea Petagna,2019-08-30 19:45:00,13099,2019,"(0.7809999847412109, 0.615)"
315431,LeftFoot,OpenPlay,MissedShots,0.1174672469496727,16,0,1,Jasmin Kurtic,1492,a,SPAL 2013,Bologna,Igor Julio,2019-08-30 19:45:00,13099,2019,"(0.8769999694824219, 0.7119999694824218)"
315435,LeftFoot,OpenPlay,MissedShots,0.46924909949302673,29,0,1,Mattia Valoti,3899,a,SPAL 2013,Bologna,Marco D&#039;Alessandro,2019-08-30 19:45:00,13099,2019,"(0.9059999847412109, 0.5059999847412109)"
315441,Head,SetPiece,BlockedShot,0.02079932764172554,48,0,1,Francesco Vicari,6179,a,SPAL 2013,Bologna,Federico Di Francesco,2019-08-30 19:45:00,13099,2019,"(0.885, 0.44099998474121094)"
315440,RightFoot,OpenPlay,MissedShots,0.022704262286424637,45,0,1,Andrea Petagna,1493,a,SPAL 2013,Bologna,Jasmin Kurtic,2019-08-30 19:45:00,13099,2019,"(0.7630000305175781, 0.6079999923706054)"
315454,Head,OpenPlay,SavedShot,0.07556711882352829,84,0,1,Sergio Floccari,1446,a,SPAL 2013,Bologna,Jasmin Kurtic,2019-08-30 19:45:00,13099,2019,"(0.89, 0.475)"
315456,RightFoot,OpenPlay,MissedShots,0.013920663855969906,90,0,1,Sergio Floccari,1446,a,SPAL 2013,Bologna,Jasmin Kurtic,2019-08-30 19:45:00,13099,2019,"(0.730999984741211, 0.6580000305175782)"
317862,RightFoot,OpenPlay,MissedShots,0.014948884025216103,71,2,1,Thiago Cionek,1265,h,SPAL 2013,Lazio,Jasmin Kurtic,2019-09-15 13:00:00,13117,2019,"(0.710999984741211, 0.43099998474121093)"
317858,RightFoot,OpenPlay,MissedShots,0.07633484899997711,52,2,1,Thiago Cionek,1265,h,SPAL 2013,Lazio,Simone Missiroli,2019-09-15 13:00:00,13117,2019,"(0.9369999694824219, 0.345)"
317847,LeftFoot,OpenPlay,BlockedShot,0.028066346421837807,36,2,1,Federico Di Francesco,1449,h,SPAL 2013,Lazio,Simone Missiroli,2019-09-15 13:00:00,13117,2019,"(0.7709999847412109, 0.6040000152587891)"
317869,RightFoot,OpenPlay,MissedShots,0.08959704637527466,93,2,1,Federico Di Francesco,1449,h,SPAL 2013,Lazio,Andrea Petagna,2019-09-15 13:00:00,13117,2019,"(0.8959999847412109, 0.33599998474121096)"
317859,RightFoot,OpenPlay,BlockedShot,0.013101119548082352,57,2,1,Jasmin Kurtic,1492,h,SPAL 2013,Lazio,Alessandro Murgia,2019-09-15 13:00:00,13117,2019,"(0.7069999694824218, 0.69)"
317861,LeftFoot,FromCorner,Goal,0.05352374538779259,62,2,1,Andrea Petagna,1493,h,SPAL 2013,Lazio,Nenad Tomovic,2019-09-15 13:00:00,13117,2019,"(0.8819999694824219, 0.5929999923706055)"
317867,RightFoot,OpenPlay,BlockedShot,0.08973219990730286,91,2,1,Gabriel Strefezza,7944,h,SPAL 2013,Lazio,Federico Di Francesco,2019-09-15 13:00:00,13117,2019,"(0.8580000305175781, 0.4229999923706055)"
317845,Head,SetPiece,MissedShots,0.12885594367980957,27,2,1,Jasmin Kurtic,1492,h,SPAL 2013,Lazio,Alessandro Murgia,2019-09-15 13:00:00,13117,2019,"(0.9319999694824219, 0.5070000076293946)"
317850,Head,OpenPlay,BlockedShot,0.022072698920965195,38,2,1,Jasmin Kurtic,1492,h,SPAL 2013,Lazio,Thiago Cionek,2019-09-15 13:00:00,13117,2019,"(0.8830000305175781, 0.605)"
317857,RightFoot,OpenPlay,BlockedShot,0.016996631398797035,50,2,1,Jasmin Kurtic,1492,h,SPAL 2013,Lazio,Simone Missiroli,2019-09-15 13:00:00,13117,2019,"(0.7580000305175781, 0.7319999694824219)"
