,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
13091,Udinese,AC Milan,0.777545,0.633654,1,0,h,2019-08-25 17:00:00
13108,Udinese,Parma Calcio 1913,1.69727,1.21449,1,3,h,2019-09-01 19:45:00
13113,Udinese,Inter,0.250925,1.56746,0,1,a,2019-09-14 18:45:00
13128,Udinese,Brescia,0.505205,0.810849,0,1,h,2019-09-21 13:00:00
13132,Udinese,Verona,0.814274,0.973188,0,0,a,2019-09-24 17:00:00
13148,Udinese,Bologna,0.838641,0.759433,1,0,h,2019-09-29 13:00:00
13152,Udinese,Fiorentina,0.77254,1.15966,0,1,a,2019-10-06 11:30:00
13168,Udinese,Torino,1.87593,0.603538,1,0,h,2019-10-20 14:00:00
13169,Udinese,Atalanta,0.477769,5.83297,1,7,a,2019-10-27 14:00:00
13188,Udinese,Roma,0.557164,3.28214,0,4,h,2019-10-30 20:00:00
13192,Udinese,Genoa,1.39908,1.48183,3,1,a,2019-11-03 14:00:00
13208,Udinese,SPAL 2013,1.60289,1.95747,0,0,h,2019-11-10 14:00:00
13215,Udinese,Sampdoria,0.281611,2.13455,1,2,a,2019-11-24 17:00:00
13226,Udinese,Lazio,0.749962,2.91567,0,3,a,2019-12-01 14:00:00
13238,Udinese,Napoli,0.56859,1.07747,1,1,h,2019-12-07 17:00:00
13245,Udinese,Juventus,1.24612,2.21259,1,3,a,2019-12-15 14:00:00
13258,Udinese,Cagliari,2.14016,0.64597,2,1,h,2019-12-21 14:00:00
13264,Udinese,Lecce,0.795554,0.752631,1,0,a,2020-01-06 17:00:00
13278,Udinese,Sassuolo,1.87301,0.770996,3,0,h,2020-01-12 11:30:00
13286,Udinese,AC Milan,1.18505,2.81555,2,3,a,2020-01-19 11:30:00
13293,Udinese,Parma Calcio 1913,1.87624,1.42647,0,2,a,2020-01-26 14:00:00
13308,Udinese,Inter,0.728686,2.66609,0,2,h,2020-02-02 19:45:00
13309,Udinese,Brescia,2.40665,0.712227,1,1,a,2020-02-09 14:00:00
13328,Udinese,Verona,0.793817,1.07514,0,0,h,2020-02-16 11:30:00
13330,Udinese,Bologna,0.748993,1.16709,1,1,a,2020-02-22 14:00:00
13348,Udinese,Fiorentina,0.930884,0.330345,0,0,h,2020-03-08 17:00:00
13357,Udinese,Torino,1.85678,0.997023,0,1,a,2020-06-23 19:45:00
13368,Udinese,Atalanta,1.23073,0.883203,2,3,h,2020-06-28 17:30:00
13376,Udinese,Roma,1.949,0.722766,2,0,a,2020-07-02 19:45:00
13384,Udinese,Genoa,0.852113,1.22414,2,2,h,2020-07-05 17:30:00
13396,Udinese,SPAL 2013,1.34662,0.325928,3,0,a,2020-07-09 17:30:00
13399,Udinese,Sampdoria,0.738916,0.760265,1,3,h,2020-07-12 17:30:00
13409,Udinese,Lazio,1.0273,0.716385,0,0,h,2020-07-15 19:45:00
13425,Udinese,Napoli,0.842771,1.1326,1,2,a,2020-07-19 17:30:00
13438,Udinese,Juventus,1.25842,0.646151,2,1,h,2020-07-23 17:30:00
13447,Udinese,Cagliari,0.988006,1.21989,1,0,a,2020-07-26 17:30:00
13453,Udinese,Lecce,1.5542,1.93484,1,2,h,2020-07-29 17:30:00
13461,Udinese,Sassuolo,2.14872,0.997909,1,0,a,2020-08-02 18:45:00
