,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
313321,LeftFoot,OpenPlay,MissedShots,0.013010009191930294,87,1,1,Marco Faraoni,3978,h,Verona,Bologna,,2019-08-25 19:45:00,13092,2019,"(0.7230000305175781, 0.45799999237060546)"
313301,RightFoot,OpenPlay,MissedShots,0.01735810935497284,4,1,1,Valerio Verre,1569,h,Verona,Bologna,Mattia Zaccagni,2019-08-25 19:45:00,13092,2019,"(0.715, 0.47200000762939454)"
313307,LeftFoot,DirectFreekick,Goal,0.05787636712193489,35,1,1,Miguel Veloso,1098,h,Verona,Bologna,,2019-08-25 19:45:00,13092,2019,"(0.7769999694824219, 0.3120000076293945)"
313308,RightFoot,OpenPlay,MissedShots,0.00796801969408989,44,1,1,Liam Henderson,7925,h,Verona,Bologna,,2019-08-25 19:45:00,13092,2019,"(0.5990000152587891, 0.5579999923706055)"
313318,RightFoot,OpenPlay,SavedShot,0.013532518409192562,83,1,1,Sofyan Amrabat,7927,h,Verona,Bologna,,2019-08-25 19:45:00,13092,2019,"(0.710999984741211, 0.5779999923706055)"
316708,RightFoot,OpenPlay,SavedShot,0.3441496789455414,36,1,0,Darko Lazovic,1106,a,Verona,Lecce,Mattia Zaccagni,2019-09-01 19:45:00,13103,2019,"(0.97, 0.605999984741211)"
316699,RightFoot,OpenPlay,MissedShots,0.08179789036512375,12,1,0,Darko Lazovic,1106,a,Verona,Lecce,,2019-09-01 19:45:00,13103,2019,"(0.899000015258789, 0.6040000152587891)"
316701,Head,FromCorner,MissedShots,0.013848303817212582,20,1,0,Amir Rrahmani,7924,a,Verona,Lecce,Miguel Veloso,2019-09-01 19:45:00,13103,2019,"(0.895, 0.425)"
316697,Head,SetPiece,SavedShot,0.34591013193130493,9,1,0,Amir Rrahmani,7924,a,Verona,Lecce,Liam Henderson,2019-09-01 19:45:00,13103,2019,"(0.924000015258789, 0.5209999847412109)"
316704,RightFoot,OpenPlay,MissedShots,0.022201882675290108,25,1,0,Marco Faraoni,3978,a,Verona,Lecce,Mattia Zaccagni,2019-09-01 19:45:00,13103,2019,"(0.8019999694824219, 0.27399999618530274)"
316722,RightFoot,OpenPlay,MissedShots,0.021191289648413658,85,1,0,Matteo Pessina,7013,a,Verona,Lecce,Darko Lazovic,2019-09-01 19:45:00,13103,2019,"(0.7319999694824219, 0.6719999694824219)"
316721,LeftFoot,OpenPlay,Goal,0.37619733810424805,80,1,0,Matteo Pessina,7013,a,Verona,Lecce,Mattia Zaccagni,2019-09-01 19:45:00,13103,2019,"(0.9030000305175782, 0.5879999923706055)"
316703,Head,SetPiece,SavedShot,0.02753870189189911,22,1,0,Marash Kumbulla,6324,a,Verona,Lecce,Liam Henderson,2019-09-01 19:45:00,13103,2019,"(0.8930000305175781, 0.52)"
316716,LeftFoot,FromCorner,BlockedShot,0.014860771596431732,63,1,0,Liam Henderson,7925,a,Verona,Lecce,,2019-09-01 19:45:00,13103,2019,"(0.745999984741211, 0.6329999923706054)"
316718,LeftFoot,OpenPlay,MissedShots,0.026642512530088425,68,1,0,Liam Henderson,7925,a,Verona,Lecce,Valerio Verre,2019-09-01 19:45:00,13103,2019,"(0.769000015258789, 0.534000015258789)"
316714,RightFoot,OpenPlay,MissedShots,0.04701592028141022,58,1,0,Gennaro Tutino,7926,a,Verona,Lecce,Mattia Zaccagni,2019-09-01 19:45:00,13103,2019,"(0.850999984741211, 0.3270000076293945)"
316698,LeftFoot,DirectFreekick,MissedShots,0.06469987332820892,11,1,0,Miguel Veloso,1098,a,Verona,Lecce,,2019-09-01 19:45:00,13103,2019,"(0.750999984741211, 0.4570000076293945)"
316706,LeftFoot,OpenPlay,BlockedShot,0.05282927677035332,32,1,0,Marco Faraoni,3978,a,Verona,Lecce,,2019-09-01 19:45:00,13103,2019,"(0.8209999847412109, 0.44099998474121094)"
316713,RightFoot,OpenPlay,BlockedShot,0.03388790413737297,55,1,0,Marco Faraoni,3978,a,Verona,Lecce,Darko Lazovic,2019-09-01 19:45:00,13103,2019,"(0.8690000152587891, 0.34700000762939454)"
316702,Head,FromCorner,ShotOnPost,0.356157124042511,20,1,0,Mattia Zaccagni,1958,a,Verona,Lecce,Amir Rrahmani,2019-09-01 19:45:00,13103,2019,"(0.9669999694824218, 0.435)"
318275,RightFoot,OpenPlay,MissedShots,0.048967424780130386,27,0,1,Valerio Verre,1569,h,Verona,AC Milan,Amir Rrahmani,2019-09-15 18:45:00,13112,2019,"(0.85, 0.345)"
318289,LeftFoot,OpenPlay,MissedShots,0.007421507500112057,68,0,1,Miguel Veloso,1098,h,Verona,AC Milan,Mattia Zaccagni,2019-09-15 18:45:00,13112,2019,"(0.4370000076293945, 0.504000015258789)"
318293,RightFoot,SetPiece,MissedShots,0.020470356568694115,97,0,1,Darko Lazovic,1106,h,Verona,AC Milan,,2019-09-15 18:45:00,13112,2019,"(0.81, 0.6609999847412109)"
318271,RightFoot,FromCorner,BlockedShot,0.021133095026016235,6,0,1,Miguel Veloso,1098,h,Verona,AC Milan,Valerio Verre,2019-09-15 18:45:00,13112,2019,"(0.750999984741211, 0.6029999923706054)"
318272,RightFoot,OpenPlay,SavedShot,0.0917988121509552,7,0,1,Mattia Zaccagni,1958,h,Verona,AC Milan,,2019-09-15 18:45:00,13112,2019,"(0.8880000305175781, 0.4779999923706055)"
318269,Head,OpenPlay,MissedShots,0.04953056946396828,1,0,1,Valerio Verre,1569,h,Verona,AC Milan,Marco Faraoni,2019-09-15 18:45:00,13112,2019,"(0.899000015258789, 0.415)"
318292,LeftFoot,DirectFreekick,BlockedShot,0.17590740323066711,97,0,1,Miguel Veloso,1098,h,Verona,AC Milan,,2019-09-15 18:45:00,13112,2019,"(0.82, 0.515)"
318284,RightFoot,OpenPlay,ShotOnPost,0.05368751659989357,59,0,1,Valerio Verre,1569,h,Verona,AC Milan,Darko Lazovic,2019-09-15 18:45:00,13112,2019,"(0.889000015258789, 0.38)"
320554,RightFoot,OpenPlay,SavedShot,0.06646320968866348,88,1,2,Darko Lazovic,1106,a,Verona,Juventus,Marco Faraoni,2019-09-21 16:00:00,13122,2019,"(0.8830000305175781, 0.6129999923706054)"
320548,RightFoot,OpenPlay,SavedShot,0.015370689332485199,62,1,2,Mattia Zaccagni,1958,a,Verona,Juventus,Matteo Pessina,2019-09-21 16:00:00,13122,2019,"(0.7619999694824219, 0.7709999847412109)"
320547,LeftFoot,OpenPlay,BlockedShot,0.01866437867283821,59,1,2,Miguel Veloso,1098,a,Verona,Juventus,Darko Lazovic,2019-09-21 16:00:00,13122,2019,"(0.755, 0.6229999923706054)"
320555,LeftFoot,OpenPlay,ShotOnPost,0.2889772057533264,88,1,2,Miguel Veloso,1098,a,Verona,Juventus,,2019-09-21 16:00:00,13122,2019,"(0.919000015258789, 0.6780000305175782)"
320532,RightFoot,Penalty,ShotOnPost,0.7612988352775574,19,1,2,Samuel Di Carmine,8035,a,Verona,Juventus,,2019-09-21 16:00:00,13122,2019,"(0.885, 0.5)"
320534,LeftFoot,OpenPlay,Goal,0.027117157354950905,19,1,2,Miguel Veloso,1098,a,Verona,Juventus,,2019-09-21 16:00:00,13122,2019,"(0.764000015258789, 0.5070000076293946)"
320541,RightFoot,OpenPlay,BlockedShot,0.015964364632964134,45,1,2,Samuel Di Carmine,8035,a,Verona,Juventus,,2019-09-21 16:00:00,13122,2019,"(0.740999984741211, 0.3609999847412109)"
320540,LeftFoot,OpenPlay,BlockedShot,0.01947222650051117,41,1,2,Marco Faraoni,3978,a,Verona,Juventus,Samuel Di Carmine,2019-09-21 16:00:00,13122,2019,"(0.7780000305175782, 0.3160000038146973)"
320533,RightFoot,SetPiece,ShotOnPost,0.24873772263526917,19,1,2,Darko Lazovic,1106,a,Verona,Juventus,,2019-09-21 16:00:00,13122,2019,"(0.8480000305175781, 0.6270000076293946)"
