,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
14122,AC Milan,Bologna,2.94224,0.825483,2,0,h,2020-09-21 18:45:00
14130,AC Milan,Crotone,2.43073,0.107055,2,0,a,2020-09-27 16:00:00
15454,AC Milan,Spezia,2.64977,0.152433,3,0,h,2020-10-04 16:00:00
15457,AC Milan,Inter,2.06232,2.54683,2,1,a,2020-10-17 16:00:00
15473,AC Milan,Roma,2.81817,2.35903,3,3,h,2020-10-26 19:45:00
15484,AC Milan,Udinese,1.02378,0.956217,2,1,a,2020-11-01 11:30:00
15492,AC Milan,Verona,3.65495,2.20988,2,2,h,2020-11-08 19:45:00
15500,AC Milan,Napoli,1.83664,1.8847,3,1,a,2020-11-22 19:45:00
15512,AC Milan,Fiorentina,2.85768,0.602734,2,0,h,2020-11-29 14:00:00
15522,AC Milan,Sampdoria,2.66831,0.986547,2,1,a,2020-12-06 19:45:00
15532,AC Milan,Parma Calcio 1913,1.8515,0.603434,2,2,h,2020-12-13 19:45:00
15538,AC Milan,Genoa,2.05417,1.22979,2,2,a,2020-12-16 19:45:00
15554,AC Milan,Sassuolo,1.41457,1.04718,2,1,a,2020-12-20 14:00:00
15559,AC Milan,Lazio,1.88103,1.45797,3,2,h,2020-12-23 19:45:00
15567,AC Milan,Benevento,1.53692,2.34965,2,0,a,2021-01-03 17:00:00
15581,AC Milan,Juventus,1.02584,2.3569,1,3,h,2021-01-06 19:45:00
15590,AC Milan,Torino,1.58807,0.372133,2,0,h,2021-01-09 19:45:00
15598,AC Milan,Cagliari,1.69958,1.1919,2,0,a,2021-01-18 19:45:00
15611,AC Milan,Atalanta,1.74436,2.39517,0,3,h,2021-01-23 17:00:00
15619,AC Milan,Bologna,3.3292,1.3455,2,1,a,2021-01-30 14:00:00
15628,AC Milan,Crotone,3.26629,0.483519,4,0,h,2021-02-07 14:00:00
15642,AC Milan,Spezia,0.522191,1.33279,0,2,a,2021-02-13 19:45:00
15648,AC Milan,Inter,0.707265,2.95518,0,3,h,2021-02-21 14:00:00
15663,AC Milan,Roma,3.2493,1.198,2,1,a,2021-02-28 19:45:00
15672,AC Milan,Udinese,1.31277,0.772446,1,1,h,2021-03-03 19:45:00
15682,AC Milan,Verona,1.02359,1.12134,2,0,a,2021-03-07 14:00:00
15690,AC Milan,Napoli,1.48364,1.34959,0,1,h,2021-03-14 19:45:00
15701,AC Milan,Fiorentina,1.83261,0.445056,3,2,a,2021-03-21 17:00:00
15712,AC Milan,Sampdoria,0.96551,1.01539,1,1,h,2021-04-03 10:30:00
15722,AC Milan,Parma Calcio 1913,1.0074,1.7023,3,1,a,2021-04-10 16:00:00
15728,AC Milan,Genoa,1.21528,1.31309,2,1,h,2021-04-18 10:30:00
15744,AC Milan,Sassuolo,1.11244,2.13785,1,2,h,2021-04-21 16:30:00
15749,AC Milan,Lazio,1.83,2.28486,0,3,a,2021-04-26 18:45:00
15757,AC Milan,Benevento,3.44683,0.742758,2,0,h,2021-05-01 18:45:00
15771,AC Milan,Juventus,1.22848,1.10288,3,0,a,2021-05-09 18:45:00
15780,AC Milan,Torino,4.30596,0.86194,7,0,a,2021-05-12 18:45:00
15788,AC Milan,Cagliari,1.40469,0.425678,0,0,h,2021-05-16 18:45:00
15801,AC Milan,Atalanta,2.06325,0.61287,2,0,a,2021-05-23 18:45:00
