,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
14123,Atalanta,Torino,2.47087,0.773914,4,2,a,2020-09-26 13:00:00
14135,Atalanta,Lazio,1.89667,1.80375,4,1,a,2020-09-30 18:45:00
15450,Atalanta,Cagliari,3.60777,0.655559,5,2,h,2020-10-04 10:30:00
15456,Atalanta,Napoli,0.640405,1.17201,1,4,a,2020-10-17 13:00:00
15466,Atalanta,Sampdoria,2.09742,2.49916,1,3,h,2020-10-24 13:00:00
15477,Atalanta,Crotone,3.49595,0.524608,2,1,a,2020-10-31 14:00:00
15486,Atalanta,Inter,0.955473,0.815144,1,1,h,2020-11-08 14:00:00
15503,Atalanta,Spezia,2.20038,0.594898,0,0,a,2020-11-21 17:00:00
15506,Atalanta,Verona,1.20139,1.78911,0,2,h,2020-11-28 19:45:00
15526,Atalanta,Fiorentina,2.8038,0.461794,3,0,h,2020-12-13 14:00:00
15540,Atalanta,Juventus,0.902039,2.71039,1,1,a,2020-12-16 17:30:00
15546,Atalanta,Roma,1.91426,0.712758,4,1,h,2020-12-20 17:00:00
15556,Atalanta,Bologna,1.89381,1.08799,2,2,a,2020-12-23 19:45:00
15566,Atalanta,Sassuolo,3.50279,0.499119,5,1,h,2021-01-03 14:00:00
15576,Atalanta,Parma Calcio 1913,2.38532,0.0467904,3,0,h,2021-01-06 14:00:00
15586,Atalanta,Benevento,4.0811,0.945676,4,1,a,2021-01-09 14:00:00
15596,Atalanta,Genoa,2.08328,0.905971,0,0,h,2021-01-17 17:00:00
15524,Atalanta,Udinese,1.28447,0.418061,1,1,a,2021-01-20 16:00:00
15611,Atalanta,AC Milan,2.39517,1.74436,3,0,a,2021-01-23 17:00:00
15618,Atalanta,Lazio,1.18024,2.39061,1,3,h,2021-01-31 14:00:00
15634,Atalanta,Torino,2.05759,2.80114,3,3,h,2021-02-06 14:00:00
15636,Atalanta,Cagliari,0.966776,0.203346,1,0,a,2021-02-14 14:00:00
15649,Atalanta,Napoli,2.68448,0.624734,4,2,h,2021-02-21 17:00:00
15656,Atalanta,Sampdoria,1.37431,0.459133,2,0,a,2021-02-28 11:30:00
15675,Atalanta,Crotone,3.83419,0.599388,5,1,h,2021-03-03 19:45:00
15676,Atalanta,Inter,0.676989,0.181511,0,1,a,2021-03-08 19:45:00
15693,Atalanta,Spezia,2.01267,1.24595,3,1,h,2021-03-12 19:45:00
15696,Atalanta,Verona,2.06793,0.145024,2,0,a,2021-03-21 11:30:00
15714,Atalanta,Udinese,2.63099,0.738068,3,2,h,2021-04-03 13:00:00
15716,Atalanta,Fiorentina,3.07955,1.28762,3,2,a,2021-04-11 18:45:00
15730,Atalanta,Juventus,0.979557,0.795659,1,0,h,2021-04-18 13:00:00
15736,Atalanta,Roma,2.39045,1.11253,1,1,a,2021-04-22 16:30:00
15746,Atalanta,Bologna,4.45853,0.901726,5,0,h,2021-04-25 18:45:00
15756,Atalanta,Sassuolo,1.94826,1.26321,1,1,a,2021-05-02 13:00:00
15766,Atalanta,Parma Calcio 1913,3.16517,1.05585,5,2,a,2021-05-09 13:00:00
15776,Atalanta,Benevento,1.79069,0.183599,2,0,h,2021-05-12 18:45:00
15786,Atalanta,Genoa,2.28339,1.7247,4,3,a,2021-05-15 13:00:00
15801,Atalanta,AC Milan,0.61287,2.06325,0,2,h,2021-05-23 18:45:00
