,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
378928,RightFoot,FromCorner,Goal,0.07597753405570984,32,3,2,Luca Caldirola,3,a,Benevento,Sampdoria,,2020-09-26 16:00:00,14125,2020,"(0.8730000305175781, 0.5420000076293945)"
378935,RightFoot,OpenPlay,MissedShots,0.011646936647593975,64,3,2,Gianluca Caprari,1170,a,Benevento,Sampdoria,Artur Ionita,2020-09-26 16:00:00,14125,2020,"(0.7919999694824219, 0.6990000152587891)"
378921,LeftFoot,OpenPlay,MissedShots,0.1030111163854599,6,3,2,Roberto Insigne,1617,a,Benevento,Sampdoria,Gianluca Caprari,2020-09-26 16:00:00,14125,2020,"(0.9540000152587891, 0.6809999847412109)"
378937,RightFoot,OpenPlay,MissedShots,0.5780457854270935,70,3,2,Gabriele Moncini,3925,a,Benevento,Sampdoria,Roberto Insigne,2020-09-26 16:00:00,14125,2020,"(0.9580000305175781, 0.5579999923706055)"
378932,LeftFoot,OpenPlay,MissedShots,0.049472589045763016,46,3,2,Roberto Insigne,1617,a,Benevento,Sampdoria,,2020-09-26 16:00:00,14125,2020,"(0.8959999847412109, 0.675)"
378931,RightFoot,OpenPlay,MissedShots,0.02332771010696888,45,3,2,Bryan Dabo,3340,a,Benevento,Sampdoria,,2020-09-26 16:00:00,14125,2020,"(0.7609999847412109, 0.46299999237060546)"
378938,Head,FromCorner,Goal,0.130910724401474,71,3,2,Luca Caldirola,3,a,Benevento,Sampdoria,Gianluca Caprari,2020-09-26 16:00:00,14125,2020,"(0.9530000305175781, 0.5109999847412109)"
378929,RightFoot,DirectFreekick,BlockedShot,0.04968126118183136,35,3,2,Gianluca Caprari,1170,a,Benevento,Sampdoria,,2020-09-26 16:00:00,14125,2020,"(0.7290000152587891, 0.5590000152587891)"
378927,RightFoot,SetPiece,SavedShot,0.02714434452354908,32,3,2,Bryan Dabo,3340,a,Benevento,Sampdoria,Gabriele Moncini,2020-09-26 16:00:00,14125,2020,"(0.7780000305175782, 0.524000015258789)"
378930,RightFoot,SetPiece,MissedShots,0.01786016672849655,35,3,2,Gianluca Caprari,1170,a,Benevento,Sampdoria,,2020-09-26 16:00:00,14125,2020,"(0.765, 0.5520000076293945)"
378926,Head,OpenPlay,SavedShot,0.0852428674697876,23,3,2,Gabriele Moncini,3925,a,Benevento,Sampdoria,Gaetano Letizia,2020-09-26 16:00:00,14125,2020,"(0.9290000152587891, 0.5159999847412109)"
378933,RightFoot,OpenPlay,BlockedShot,0.06499385833740234,53,3,2,Gabriele Moncini,3925,a,Benevento,Sampdoria,Gianluca Caprari,2020-09-26 16:00:00,14125,2020,"(0.9059999847412109, 0.37799999237060544)"
378936,Head,OpenPlay,MissedShots,0.07684358954429626,70,3,2,Roberto Insigne,1617,a,Benevento,Sampdoria,Riccardo Improta,2020-09-26 16:00:00,14125,2020,"(0.9030000305175782, 0.4809999847412109)"
378942,RightFoot,OpenPlay,Goal,0.025070924311876297,87,3,2,Gaetano Letizia,1972,a,Benevento,Sampdoria,Marco Sau,2020-09-26 16:00:00,14125,2020,"(0.78, 0.42700000762939455)"
380080,RightFoot,OpenPlay,Goal,0.31621211767196655,75,2,5,Gianluca Caprari,1170,h,Benevento,Inter,Gianluca Lapadula,2020-09-30 16:00:00,14133,2020,"(0.875999984741211, 0.54)"
380058,LeftFoot,OpenPlay,MissedShots,0.05641026049852371,5,2,5,Roberto Insigne,1617,h,Benevento,Inter,,2020-09-30 16:00:00,14133,2020,"(0.8430000305175781, 0.5579999923706055)"
380084,LeftFoot,OpenPlay,SavedShot,0.3013538122177124,83,2,5,Gianluca Lapadula,1136,h,Benevento,Inter,Pasquale Schiattarella,2020-09-30 16:00:00,14133,2020,"(0.840999984741211, 0.51)"
380068,Head,SetPiece,MissedShots,0.026908408850431442,40,2,5,Luca Caldirola,3,h,Benevento,Inter,Roberto Insigne,2020-09-30 16:00:00,14133,2020,"(0.894000015258789, 0.53)"
380075,LeftFoot,OpenPlay,MissedShots,0.3173692524433136,63,2,5,Gianluca Lapadula,1136,h,Benevento,Inter,,2020-09-30 16:00:00,14133,2020,"(0.919000015258789, 0.40900001525878904)"
380074,RightFoot,OpenPlay,SavedShot,0.03935098275542259,63,2,5,Gaetano Letizia,1972,h,Benevento,Inter,Gianluca Caprari,2020-09-30 16:00:00,14133,2020,"(0.8930000305175781, 0.2670000076293945)"
380085,Head,FromCorner,MissedShots,0.0744379386305809,87,2,5,Kamil Glik,1800,h,Benevento,Inter,Gaetano Letizia,2020-09-30 16:00:00,14133,2020,"(0.9019999694824219, 0.495)"
380067,RightFoot,OpenPlay,Goal,0.03435342758893967,33,2,5,Gianluca Caprari,1170,h,Benevento,Inter,,2020-09-30 16:00:00,14133,2020,"(0.785, 0.5790000152587891)"
380060,Head,FromCorner,SavedShot,0.059690922498703,13,2,5,Artur Ionita,1604,h,Benevento,Inter,Gianluca Caprari,2020-09-30 16:00:00,14133,2020,"(0.8980000305175782, 0.5220000076293946)"
380073,RightFoot,OpenPlay,SavedShot,0.010241053067147732,51,2,5,Kamil Glik,1800,h,Benevento,Inter,,2020-09-30 16:00:00,14133,2020,"(0.7569999694824219, 0.2620000076293945)"
380072,RightFoot,OpenPlay,ShotOnPost,0.026865482330322266,48,2,5,Gabriele Moncini,3925,h,Benevento,Inter,Gianluca Caprari,2020-09-30 16:00:00,14133,2020,"(0.86, 0.2560000038146973)"
381189,RightFoot,OpenPlay,BlockedShot,0.046544887125492096,46,1,0,Gaetano Letizia,1972,h,Benevento,Bologna,,2020-10-04 13:00:00,15451,2020,"(0.914000015258789, 0.27299999237060546)"
381188,LeftFoot,OpenPlay,BlockedShot,0.010624240152537823,45,1,0,Iago Falque,1185,h,Benevento,Bologna,,2020-10-04 13:00:00,15451,2020,"(0.7240000152587891, 0.44299999237060544)"
381196,RightFoot,OpenPlay,SavedShot,0.11968809366226196,85,1,0,Pasquale Schiattarella,6182,h,Benevento,Bologna,Gianluca Lapadula,2020-10-04 13:00:00,15451,2020,"(0.9180000305175782, 0.555)"
381192,LeftFoot,OpenPlay,MissedShots,0.029385549947619438,63,1,0,Iago Falque,1185,h,Benevento,Bologna,Luca Caldirola,2020-10-04 13:00:00,15451,2020,"(0.85, 0.28)"
381190,RightFoot,OpenPlay,MissedShots,0.09268547594547272,54,1,0,Gianluca Caprari,1170,h,Benevento,Bologna,Gianluca Lapadula,2020-10-04 13:00:00,15451,2020,"(0.845999984741211, 0.5070000076293946)"
381186,LeftFoot,OpenPlay,MissedShots,0.008224516175687313,40,1,0,Perparim Hetemaj,1334,h,Benevento,Bologna,,2020-10-04 13:00:00,15451,2020,"(0.6830000305175781, 0.705)"
381193,LeftFoot,FromCorner,Goal,0.5835473537445068,65,1,0,Gianluca Lapadula,1136,h,Benevento,Bologna,Marco Sau,2020-10-04 13:00:00,15451,2020,"(0.9780000305175781, 0.47200000762939454)"
382839,LeftFoot,OpenPlay,MissedShots,0.03968805819749832,83,2,5,Roberto Insigne,1617,a,Benevento,Roma,Perparim Hetemaj,2020-10-18 18:45:00,15464,2020,"(0.8319999694824218, 0.32799999237060545)"
382836,RightFoot,OpenPlay,MissedShots,0.09467825293540955,74,2,5,Artur Ionita,1604,a,Benevento,Roma,,2020-10-18 18:45:00,15464,2020,"(0.884000015258789, 0.59)"
382824,RightFoot,OpenPlay,MissedShots,0.01577952690422535,49,2,5,Gianluca Caprari,1170,a,Benevento,Roma,Roberto Insigne,2020-10-18 18:45:00,15464,2020,"(0.7219999694824218, 0.4209999847412109)"
382829,LeftFoot,OpenPlay,BlockedShot,0.0261295884847641,58,2,5,Bryan Dabo,3340,a,Benevento,Roma,Artur Ionita,2020-10-18 18:45:00,15464,2020,"(0.8290000152587891, 0.6819999694824219)"
382813,RightFoot,OpenPlay,Goal,0.029216231778264046,4,2,5,Gianluca Caprari,1170,a,Benevento,Roma,Daam Foulon,2020-10-18 18:45:00,15464,2020,"(0.8019999694824219, 0.6630000305175782)"
382825,LeftFoot,Penalty,SavedShot,0.7612988352775574,54,2,5,Gianluca Lapadula,1136,a,Benevento,Roma,,2020-10-18 18:45:00,15464,2020,"(0.885, 0.5)"
382826,LeftFoot,SetPiece,Goal,0.6214945316314697,54,2,5,Gianluca Lapadula,1136,a,Benevento,Roma,,2020-10-18 18:45:00,15464,2020,"(0.9519999694824218, 0.5420000076293945)"
382840,Head,FromCorner,MissedShots,0.02269422449171543,85,2,5,Riccardo Improta,8883,a,Benevento,Roma,Marco Sau,2020-10-18 18:45:00,15464,2020,"(0.9580000305175781, 0.40599998474121096)"
382828,RightFoot,OpenPlay,BlockedShot,0.06830338388681412,58,2,5,Gianluca Lapadula,1136,a,Benevento,Roma,Gianluca Caprari,2020-10-18 18:45:00,15464,2020,"(0.85, 0.6329999923706054)"
382831,LeftFoot,OpenPlay,SavedShot,0.35536056756973267,60,2,5,Gianluca Lapadula,1136,a,Benevento,Roma,Roberto Insigne,2020-10-18 18:45:00,15464,2020,"(0.9, 0.5940000152587891)"
383909,Head,OpenPlay,SavedShot,0.024148928001523018,95,1,2,Kamil Glik,1800,h,Benevento,Napoli,Luca Caldirola,2020-10-25 14:00:00,15467,2020,"(0.9, 0.4279999923706055)"
383884,RightFoot,DirectFreekick,MissedShots,0.045147303491830826,13,1,2,Gianluca Caprari,1170,h,Benevento,Napoli,,2020-10-25 14:00:00,15467,2020,"(0.740999984741211, 0.3370000076293945)"
383885,Head,OpenPlay,MissedShots,0.012460377998650074,18,1,2,Roberto Insigne,1617,h,Benevento,Napoli,Daam Foulon,2020-10-25 14:00:00,15467,2020,"(0.9259999847412109, 0.34799999237060547)"
383887,LeftFoot,OpenPlay,Goal,0.4249407649040222,29,1,2,Roberto Insigne,1617,h,Benevento,Napoli,Gianluca Lapadula,2020-10-25 14:00:00,15467,2020,"(0.950999984741211, 0.5970000076293945)"
383907,RightFoot,SetPiece,BlockedShot,0.017125535756349564,90,1,2,Alessandro Tuia,8884,h,Benevento,Napoli,Pasquale Schiattarella,2020-10-25 14:00:00,15467,2020,"(0.754000015258789, 0.654000015258789)"
383910,RightFoot,DirectFreekick,SavedShot,0.05268743634223938,97,1,2,Marco Sau,1406,h,Benevento,Napoli,,2020-10-25 14:00:00,15467,2020,"(0.8930000305175781, 0.8380000305175781)"
383906,Head,FromCorner,MissedShots,0.04233454540371895,83,1,2,Christian Maggio,1391,h,Benevento,Napoli,,2020-10-25 14:00:00,15467,2020,"(0.909000015258789, 0.5509999847412109)"
383896,RightFoot,OpenPlay,MissedShots,0.016351977363228798,50,1,2,Gianluca Lapadula,1136,h,Benevento,Napoli,,2020-10-25 14:00:00,15467,2020,"(0.6980000305175781, 0.4929999923706055)"
383904,RightFoot,OpenPlay,BlockedShot,0.014849112369120121,69,1,2,Gaetano Letizia,1972,h,Benevento,Napoli,Luca Caldirola,2020-10-25 14:00:00,15467,2020,"(0.7680000305175781, 0.7030000305175781)"
385551,Head,OpenPlay,SavedShot,0.07746428996324539,47,1,3,Gianluca Lapadula,1136,a,Benevento,Verona,Gaetano Letizia,2020-11-02 19:45:00,15485,2020,"(0.9569999694824218, 0.5420000076293945)"
385546,RightFoot,OpenPlay,SavedShot,0.3644462525844574,37,1,3,Roberto Insigne,1617,a,Benevento,Verona,Gianluca Lapadula,2020-11-02 19:45:00,15485,2020,"(0.8719999694824219, 0.43099998474121093)"
385552,LeftFoot,OpenPlay,BlockedShot,0.06499505788087845,54,1,3,Gianluca Lapadula,1136,a,Benevento,Verona,,2020-11-02 19:45:00,15485,2020,"(0.860999984741211, 0.539000015258789)"
385544,LeftFoot,FromCorner,BlockedShot,0.0581129789352417,36,1,3,Roberto Insigne,1617,a,Benevento,Verona,,2020-11-02 19:45:00,15485,2020,"(0.845, 0.48200000762939454)"
385538,LeftFoot,OpenPlay,SavedShot,0.061139076948165894,26,1,3,Roberto Insigne,1617,a,Benevento,Verona,,2020-11-02 19:45:00,15485,2020,"(0.865, 0.41700000762939454)"
385541,Head,FromCorner,MissedShots,0.08237376809120178,32,1,3,Bryan Dabo,3340,a,Benevento,Verona,Gianluca Caprari,2020-11-02 19:45:00,15485,2020,"(0.9130000305175782, 0.47099998474121096)"
385559,RightFoot,OpenPlay,MissedShots,0.014550380408763885,68,1,3,Bryan Dabo,3340,a,Benevento,Verona,Daam Foulon,2020-11-02 19:45:00,15485,2020,"(0.7369999694824219, 0.6890000152587891)"
385545,RightFoot,FromCorner,BlockedShot,0.07293456792831421,36,1,3,Gianluca Lapadula,1136,a,Benevento,Verona,,2020-11-02 19:45:00,15485,2020,"(0.8690000152587891, 0.5420000076293945)"
385562,RightFoot,SetPiece,MissedShots,0.014300408773124218,93,1,3,Kamil Glik,1800,a,Benevento,Verona,,2020-11-02 19:45:00,15485,2020,"(0.8080000305175781, 0.620999984741211)"
385537,RightFoot,OpenPlay,BlockedShot,0.07822977006435394,25,1,3,Gianluca Lapadula,1136,a,Benevento,Verona,Roberto Insigne,2020-11-02 19:45:00,15485,2020,"(0.845999984741211, 0.519000015258789)"
385549,RightFoot,DirectFreekick,BlockedShot,0.04681950807571411,41,1,3,Gianluca Caprari,1170,a,Benevento,Verona,,2020-11-02 19:45:00,15485,2020,"(0.720999984741211, 0.47200000762939454)"
385547,Head,OpenPlay,MissedShots,0.0548987090587616,37,1,3,Roberto Insigne,1617,a,Benevento,Verona,,2020-11-02 19:45:00,15485,2020,"(0.975999984741211, 0.4279999923706055)"
385540,RightFoot,OpenPlay,SavedShot,0.013460779562592506,31,1,3,Gianluca Caprari,1170,a,Benevento,Verona,Bryan Dabo,2020-11-02 19:45:00,15485,2020,"(0.700999984741211, 0.6220000076293946)"
385550,Head,SetPiece,MissedShots,0.29515203833580017,41,1,3,Artur Ionita,1604,a,Benevento,Verona,Gaetano Letizia,2020-11-02 19:45:00,15485,2020,"(0.8859999847412109, 0.49700000762939456)"
385553,RightFoot,OpenPlay,Goal,0.3249890208244324,55,1,3,Gianluca Lapadula,1136,a,Benevento,Verona,Gianluca Caprari,2020-11-02 19:45:00,15485,2020,"(0.914000015258789, 0.34799999237060547)"
386100,RightFoot,OpenPlay,SavedShot,0.07549897581338882,31,0,3,Marco Sau,1406,h,Benevento,Spezia,Roberto Insigne,2020-11-07 17:00:00,15487,2020,"(0.8719999694824219, 0.4)"
386112,LeftFoot,OpenPlay,MissedShots,0.07414291054010391,86,0,3,Gianluca Lapadula,1136,h,Benevento,Spezia,Roberto Insigne,2020-11-07 17:00:00,15487,2020,"(0.8969999694824219, 0.4759999847412109)"
386099,LeftFoot,OpenPlay,ShotOnPost,0.10164947062730789,30,0,3,Gianluca Lapadula,1136,h,Benevento,Spezia,Pasquale Schiattarella,2020-11-07 17:00:00,15487,2020,"(0.8209999847412109, 0.38799999237060545)"
387674,LeftFoot,OpenPlay,BlockedShot,0.025510862469673157,15,1,0,Artur Ionita,1604,a,Benevento,Fiorentina,Marco Sau,2020-11-22 11:30:00,15497,2020,"(0.7959999847412109, 0.37400001525878906)"
387676,RightFoot,SetPiece,MissedShots,0.00900955032557249,28,1,0,Perparim Hetemaj,1334,a,Benevento,Fiorentina,,2020-11-22 11:30:00,15497,2020,"(0.6959999847412109, 0.4420000076293945)"
387683,Head,FromCorner,MissedShots,0.05001426488161087,63,1,0,Luca Caldirola,3,a,Benevento,Fiorentina,Artur Ionita,2020-11-22 11:30:00,15497,2020,"(0.8969999694824219, 0.5429999923706055)"
387692,LeftFoot,OpenPlay,MissedShots,0.07896534353494644,93,1,0,Gianluca Lapadula,1136,a,Benevento,Fiorentina,,2020-11-22 11:30:00,15497,2020,"(0.845, 0.6020000076293945)"
387682,LeftFoot,OpenPlay,SavedShot,0.11846021562814713,63,1,0,Roberto Insigne,1617,a,Benevento,Fiorentina,Riccardo Improta,2020-11-22 11:30:00,15497,2020,"(0.8969999694824219, 0.5970000076293945)"
387691,LeftFoot,OpenPlay,MissedShots,0.011567494831979275,89,1,0,Artur Ionita,1604,a,Benevento,Fiorentina,Perparim Hetemaj,2020-11-22 11:30:00,15497,2020,"(0.6459999847412109, 0.6819999694824219)"
387685,RightFoot,OpenPlay,BlockedShot,0.05117371678352356,70,1,0,Gabriele Moncini,3925,a,Benevento,Fiorentina,Riccardo Improta,2020-11-22 11:30:00,15497,2020,"(0.789000015258789, 0.509000015258789)"
387688,LeftFoot,OpenPlay,MissedShots,0.07014244794845581,78,1,0,Roberto Insigne,1617,a,Benevento,Fiorentina,,2020-11-22 11:30:00,15497,2020,"(0.860999984741211, 0.36)"
387686,Head,FromCorner,SavedShot,0.01660662330687046,76,1,0,Riccardo Improta,8883,a,Benevento,Fiorentina,Roberto Insigne,2020-11-22 11:30:00,15497,2020,"(0.92, 0.590999984741211)"
387681,RightFoot,OpenPlay,MissedShots,0.020723605528473854,57,1,0,Artur Ionita,1604,a,Benevento,Fiorentina,Riccardo Improta,2020-11-22 11:30:00,15497,2020,"(0.7019999694824218, 0.6419999694824219)"
387678,RightFoot,OpenPlay,Goal,0.055108945816755295,51,1,0,Riccardo Improta,8883,a,Benevento,Fiorentina,Roberto Insigne,2020-11-22 11:30:00,15497,2020,"(0.805, 0.515)"
387677,LeftFoot,OpenPlay,MissedShots,0.022063301876187325,33,1,0,Federico Barba,1320,a,Benevento,Fiorentina,,2020-11-22 11:30:00,15497,2020,"(0.835, 0.74)"
387689,LeftFoot,DirectFreekick,SavedShot,0.03595639392733574,80,1,0,Gianluca Lapadula,1136,a,Benevento,Fiorentina,,2020-11-22 11:30:00,15497,2020,"(0.695, 0.5459999847412109)"
388879,RightFoot,OpenPlay,MissedShots,0.03814566135406494,47,1,1,Riccardo Improta,8883,h,Benevento,Juventus,Gianluca Lapadula,2020-11-28 17:00:00,15507,2020,"(0.8619999694824219, 0.29)"
388884,RightFoot,OpenPlay,BlockedShot,0.12965057790279388,83,1,1,Marco Sau,1406,h,Benevento,Juventus,Roberto Insigne,2020-11-28 17:00:00,15507,2020,"(0.879000015258789, 0.5929999923706055)"
388874,Head,OpenPlay,MissedShots,0.06812041997909546,34,1,1,Gianluca Lapadula,1136,h,Benevento,Juventus,Gaetano Letizia,2020-11-28 17:00:00,15507,2020,"(0.89, 0.5279999923706055)"
388877,RightFoot,FromCorner,SavedShot,0.06888895481824875,47,1,1,Pasquale Schiattarella,6182,h,Benevento,Juventus,,2020-11-28 17:00:00,15507,2020,"(0.8630000305175781, 0.580999984741211)"
388885,RightFoot,OpenPlay,MissedShots,0.020601646974682808,83,1,1,Riccardo Improta,8883,h,Benevento,Juventus,Perparim Hetemaj,2020-11-28 17:00:00,15507,2020,"(0.7809999847412109, 0.3509999847412109)"
388867,LeftFoot,SetPiece,SavedShot,0.03230063617229462,10,1,1,Federico Barba,1320,h,Benevento,Juventus,Gianluca Caprari,2020-11-28 17:00:00,15507,2020,"(0.96, 0.710999984741211)"
388868,Head,FromCorner,MissedShots,0.05986131727695465,12,1,1,Gianluca Lapadula,1136,h,Benevento,Juventus,Gianluca Caprari,2020-11-28 17:00:00,15507,2020,"(0.9309999847412109, 0.5129999923706055)"
388878,RightFoot,FromCorner,Goal,0.022428419440984726,47,1,1,Gaetano Letizia,1972,h,Benevento,Juventus,,2020-11-28 17:00:00,15507,2020,"(0.875, 0.26)"
390771,LeftFoot,OpenPlay,MissedShots,0.015251497738063335,78,0,0,Roberto Insigne,1617,a,Benevento,Parma Calcio 1913,,2020-12-06 14:00:00,15520,2020,"(0.7369999694824219, 0.43)"
390773,Head,SetPiece,MissedShots,0.029980560764670372,91,0,0,Andrés Tello,1317,a,Benevento,Parma Calcio 1913,Marco Sau,2020-12-06 14:00:00,15520,2020,"(0.87, 0.4329999923706055)"
390763,LeftFoot,OpenPlay,MissedShots,0.035536691546440125,36,0,0,Gianluca Lapadula,1136,a,Benevento,Parma Calcio 1913,Artur Ionita,2020-12-06 14:00:00,15520,2020,"(0.8690000152587891, 0.27600000381469725)"
390767,RightFoot,OpenPlay,MissedShots,0.011063715443015099,51,0,0,Riccardo Improta,8883,a,Benevento,Parma Calcio 1913,Alessandro Tuia,2020-12-06 14:00:00,15520,2020,"(0.78, 0.7469999694824219)"
390758,RightFoot,OpenPlay,SavedShot,0.08685922622680664,3,0,0,Gianluca Lapadula,1136,a,Benevento,Parma Calcio 1913,Federico Barba,2020-12-06 14:00:00,15520,2020,"(0.8880000305175781, 0.455)"
