,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
14122,Bologna,AC Milan,0.825483,2.94224,0,2,a,2020-09-21 18:45:00
14132,Bologna,Parma Calcio 1913,2.04715,1.2448,4,1,h,2020-09-28 18:45:00
15451,Bologna,Benevento,1.82239,0.8907,0,1,a,2020-10-04 13:00:00
15460,Bologna,Sassuolo,1.45422,3.23668,3,4,h,2020-10-18 10:30:00
15472,Bologna,Lazio,1.75593,1.42977,1,2,a,2020-10-24 18:45:00
15476,Bologna,Cagliari,1.46614,1.26683,3,2,h,2020-10-31 19:45:00
15488,Bologna,Napoli,0.729048,1.40583,0,1,h,2020-11-08 17:00:00
15502,Bologna,Sampdoria,1.73409,0.817944,2,1,a,2020-11-22 14:00:00
15508,Bologna,Crotone,1.80058,0.401219,1,0,h,2020-11-29 14:00:00
15518,Bologna,Inter,1.1214,1.98287,1,3,a,2020-12-05 19:45:00
15527,Bologna,Roma,0.354826,4.03543,1,5,h,2020-12-13 14:00:00
15543,Bologna,Spezia,1.61165,2.66532,2,2,a,2020-12-16 19:45:00
15555,Bologna,Torino,2.17731,1.10564,1,1,a,2020-12-20 11:30:00
15556,Bologna,Atalanta,1.08799,1.89381,2,2,h,2020-12-23 19:45:00
15569,Bologna,Fiorentina,0.633738,0.352245,0,0,a,2021-01-03 14:00:00
15577,Bologna,Udinese,1.30678,1.70449,2,2,h,2021-01-06 14:00:00
15588,Bologna,Genoa,1.03548,1.0511,0,2,a,2021-01-09 17:00:00
15597,Bologna,Verona,2.59435,0.695086,1,0,h,2021-01-16 14:00:00
15609,Bologna,Juventus,0.43025,3.5214,0,2,a,2021-01-24 11:30:00
15619,Bologna,AC Milan,1.3455,3.3292,1,2,h,2021-01-30 14:00:00
15626,Bologna,Parma Calcio 1913,1.45085,0.787202,3,0,a,2021-02-07 17:00:00
15637,Bologna,Benevento,1.91922,0.80004,1,1,h,2021-02-12 19:45:00
15646,Bologna,Sassuolo,0.547118,1.75431,1,1,a,2021-02-20 19:45:00
15662,Bologna,Lazio,1.30451,2.4983,2,0,h,2021-02-27 17:00:00
15674,Bologna,Cagliari,0.572194,0.918475,0,1,a,2021-03-03 19:45:00
15678,Bologna,Napoli,0.770095,1.22462,1,3,a,2021-03-07 19:45:00
15692,Bologna,Sampdoria,2.26652,1.56796,3,1,h,2021-03-14 11:30:00
15697,Bologna,Crotone,3.85076,1.94617,3,2,a,2021-03-20 14:00:00
15708,Bologna,Inter,1.26861,2.12357,0,1,h,2021-04-03 18:45:00
15717,Bologna,Roma,2.0125,1.3735,0,1,a,2021-04-11 16:00:00
15733,Bologna,Spezia,3.12881,0.532614,4,1,h,2021-04-18 13:00:00
15745,Bologna,Torino,0.327911,1.85996,1,1,h,2021-04-21 18:45:00
15746,Bologna,Atalanta,0.901726,4.45853,0,5,a,2021-04-25 18:45:00
15759,Bologna,Fiorentina,1.93952,2.01163,3,3,h,2021-05-02 13:00:00
15767,Bologna,Udinese,2.52775,0.488745,1,1,a,2021-05-08 13:00:00
15778,Bologna,Genoa,2.30788,1.65544,0,2,h,2021-05-12 18:45:00
15787,Bologna,Verona,2.04284,1.98719,2,2,a,2021-05-17 18:45:00
15799,Bologna,Juventus,1.06031,3.63043,1,4,h,2021-05-23 18:45:00
