,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
14119,Crotone,Genoa,1.32278,2.23283,1,4,a,2020-09-20 13:00:00
14130,Crotone,AC Milan,0.107055,2.43073,0,2,h,2020-09-27 16:00:00
15447,Crotone,Sassuolo,1.5945,1.85563,1,4,a,2020-10-03 13:00:00
15459,Crotone,Juventus,1.39522,1.58494,1,1,h,2020-10-17 18:45:00
15468,Crotone,Cagliari,1.40714,2.08322,2,4,a,2020-10-25 11:30:00
15477,Crotone,Atalanta,0.524608,3.49595,1,2,h,2020-10-31 14:00:00
15495,Crotone,Torino,0.300792,0.235946,0,0,a,2020-11-08 14:00:00
15496,Crotone,Lazio,0.432377,1.79345,0,2,h,2020-11-21 14:00:00
15508,Crotone,Bologna,0.401219,1.80058,0,1,a,2020-11-29 14:00:00
15516,Crotone,Napoli,0.508882,1.93801,0,4,h,2020-12-06 17:00:00
15529,Crotone,Spezia,1.69279,0.824038,4,1,h,2020-12-12 14:00:00
15544,Crotone,Udinese,0.123143,1.10391,0,0,a,2020-12-15 17:30:00
15553,Crotone,Sampdoria,1.04297,2.48022,1,3,a,2020-12-19 17:00:00
15557,Crotone,Parma Calcio 1913,0.7999,1.50226,2,1,h,2020-12-22 17:30:00
15571,Crotone,Inter,1.85185,2.4614,2,6,a,2021-01-03 11:30:00
15579,Crotone,Roma,0.498045,1.89996,1,3,h,2021-01-06 14:00:00
15595,Crotone,Verona,0.832994,1.29189,1,2,a,2021-01-10 14:00:00
15599,Crotone,Benevento,1.49503,2.46021,4,1,h,2021-01-17 14:00:00
15607,Crotone,Fiorentina,0.611551,1.03932,1,2,a,2021-01-23 19:45:00
15616,Crotone,Genoa,0.63775,1.25048,0,3,h,2021-01-31 14:00:00
15628,Crotone,AC Milan,0.483519,3.26629,0,4,a,2021-02-07 14:00:00
15644,Crotone,Sassuolo,0.737979,2.7814,1,2,h,2021-02-14 17:00:00
15647,Crotone,Juventus,0.654355,4.42058,0,3,a,2021-02-22 19:45:00
15658,Crotone,Cagliari,0.859768,1.47542,0,2,h,2021-02-28 14:00:00
15675,Crotone,Atalanta,0.599388,3.83419,1,5,a,2021-03-03 19:45:00
15685,Crotone,Torino,2.60234,1.97011,4,2,h,2021-03-07 14:00:00
15686,Crotone,Lazio,1.38008,2.70511,2,3,a,2021-03-12 14:00:00
15697,Crotone,Bologna,1.94617,3.85076,2,3,h,2021-03-20 14:00:00
15706,Crotone,Napoli,1.17165,3.45014,3,4,a,2021-04-03 13:00:00
15719,Crotone,Spezia,1.43962,1.39234,2,3,a,2021-04-10 13:00:00
15734,Crotone,Udinese,1.56852,0.827427,1,2,h,2021-04-17 13:00:00
15743,Crotone,Sampdoria,0.688921,2.0374,0,1,h,2021-04-21 18:45:00
15747,Crotone,Parma Calcio 1913,2.71958,2.13448,4,3,a,2021-04-24 16:00:00
15761,Crotone,Inter,0.759966,2.34169,0,2,h,2021-05-01 16:00:00
15769,Crotone,Roma,0.285602,2.34234,0,5,a,2021-05-09 16:00:00
15785,Crotone,Verona,0.646392,0.622067,2,1,h,2021-05-13 18:45:00
15789,Crotone,Benevento,1.10271,1.7951,1,1,a,2021-05-16 13:00:00
15797,Crotone,Fiorentina,2.41313,0.470867,0,0,h,2021-05-22 18:45:00
