,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
378057,RightFoot,OpenPlay,MissedShots,0.06372302025556564,30,1,4,Niccolò Zanellato,4917,a,Crotone,Genoa,,2020-09-20 13:00:00,14119,2020,"(0.855, 0.504000015258789)"
378051,LeftFoot,OpenPlay,SavedShot,0.07015901803970337,11,1,4,Emmanuel Rivière,777,a,Crotone,Genoa,Lisandro Magallán,2020-09-20 13:00:00,14119,2020,"(0.8130000305175781, 0.5220000076293946)"
378047,LeftFoot,OpenPlay,MissedShots,0.01342035923153162,0,1,4,Junior Messias,8838,a,Crotone,Genoa,Niccolò Zanellato,2020-09-20 13:00:00,14119,2020,"(0.7569999694824219, 0.7180000305175781)"
378063,LeftFoot,OpenPlay,MissedShots,0.01400754228234291,53,1,4,Junior Messias,8838,a,Crotone,Genoa,,2020-09-20 13:00:00,14119,2020,"(0.789000015258789, 0.35200000762939454)"
378066,LeftFoot,OpenPlay,MissedShots,0.01814229041337967,62,1,4,Junior Messias,8838,a,Crotone,Genoa,Lisandro Magallán,2020-09-20 13:00:00,14119,2020,"(0.7609999847412109, 0.33099998474121095)"
378052,RightFoot,OpenPlay,SavedShot,0.3933893144130707,14,1,4,Simy,1362,a,Crotone,Genoa,Salvatore Molina,2020-09-20 13:00:00,14119,2020,"(0.9380000305175781, 0.48700000762939455)"
378059,Head,SetPiece,ShotOnPost,0.050086937844753265,41,1,4,Simy,1362,a,Crotone,Genoa,Luca Cigarini,2020-09-20 13:00:00,14119,2020,"(0.924000015258789, 0.5609999847412109)"
378070,RightFoot,OpenPlay,BlockedShot,0.06317076086997986,82,1,4,Simy,1362,a,Crotone,Genoa,,2020-09-20 13:00:00,14119,2020,"(0.8680000305175781, 0.46099998474121096)"
378060,RightFoot,SetPiece,MissedShots,0.018056098371744156,41,1,4,Luca Cigarini,1238,a,Crotone,Genoa,,2020-09-20 13:00:00,14119,2020,"(0.765, 0.4540000152587891)"
378062,RightFoot,OpenPlay,MissedShots,0.011520756408572197,53,1,4,Luca Cigarini,1238,a,Crotone,Genoa,Andrea Rispoli,2020-09-20 13:00:00,14119,2020,"(0.759000015258789, 0.47)"
378053,RightFoot,OpenPlay,MissedShots,0.011226869188249111,22,1,4,Emmanuel Rivière,777,a,Crotone,Genoa,,2020-09-20 13:00:00,14119,2020,"(0.72, 0.4909999847412109)"
378056,RightFoot,OpenPlay,Goal,0.5427582263946533,27,1,4,Emmanuel Rivière,777,a,Crotone,Genoa,Salvatore Molina,2020-09-20 13:00:00,14119,2020,"(0.9780000305175781, 0.43900001525878907)"
378068,Head,FromCorner,MissedShots,0.053281739354133606,72,1,4,Lisandro Magallán,8029,a,Crotone,Genoa,Luca Cigarini,2020-09-20 13:00:00,14119,2020,"(0.9340000152587891, 0.545)"
379670,Head,SetPiece,MissedShots,0.00862650666385889,93,0,2,Vladimir Golemic,8837,h,Crotone,AC Milan,Luca Cigarini,2020-09-27 16:00:00,14130,2020,"(0.8930000305175781, 0.36700000762939455)"
379664,Head,OpenPlay,MissedShots,0.017376020550727844,52,0,2,Junior Messias,8838,h,Crotone,AC Milan,Salvatore Molina,2020-09-27 16:00:00,14130,2020,"(0.879000015258789, 0.61)"
379657,LeftFoot,OpenPlay,MissedShots,0.04329727962613106,19,0,2,Junior Messias,8838,h,Crotone,AC Milan,Pedro Pereira,2020-09-27 16:00:00,14130,2020,"(0.8440000152587891, 0.3370000076293945)"
379650,LeftFoot,OpenPlay,MissedShots,0.019951384514570236,0,0,2,Junior Messias,8838,h,Crotone,AC Milan,Niccolò Zanellato,2020-09-27 16:00:00,14130,2020,"(0.7319999694824219, 0.44299999237060544)"
379665,LeftFoot,FromCorner,MissedShots,0.017804263159632683,57,0,2,Junior Messias,8838,h,Crotone,AC Milan,Pedro Pereira,2020-09-27 16:00:00,14130,2020,"(0.8819999694824219, 0.33099998474121095)"
380417,RightFoot,OpenPlay,SavedShot,0.0744870975613594,39,1,4,Milos Vulic,8926,a,Crotone,Sassuolo,Pedro Pereira,2020-10-03 13:00:00,15447,2020,"(0.8530000305175781, 0.5670000076293945)"
380427,LeftFoot,OpenPlay,BlockedShot,0.04495378956198692,83,1,4,Junior Messias,8838,a,Crotone,Sassuolo,Salvatore Molina,2020-10-03 13:00:00,15447,2020,"(0.8590000152587891, 0.6809999847412109)"
380420,RightFoot,OpenPlay,SavedShot,0.07753146439790726,46,1,4,Junior Messias,8838,a,Crotone,Sassuolo,Simy,2020-10-03 13:00:00,15447,2020,"(0.85, 0.46099998474121096)"
380421,RightFoot,Penalty,Goal,0.7612988352775574,48,1,4,Simy,1362,a,Crotone,Sassuolo,,2020-10-03 13:00:00,15447,2020,"(0.885, 0.5)"
380411,LeftFoot,DirectFreekick,SavedShot,0.040539368987083435,17,1,4,Junior Messias,8838,a,Crotone,Sassuolo,,2020-10-03 13:00:00,15447,2020,"(0.7090000152587891, 0.5579999923706055)"
380409,LeftFoot,FromCorner,BlockedShot,0.09543668478727341,10,1,4,Lisandro Magallán,8029,a,Crotone,Sassuolo,,2020-10-03 13:00:00,15447,2020,"(0.915, 0.5329999923706055)"
380419,RightFoot,OpenPlay,MissedShots,0.024296076968312263,45,1,4,Luca Cigarini,1238,a,Crotone,Sassuolo,,2020-10-03 13:00:00,15447,2020,"(0.7909999847412109, 0.3370000076293945)"
380410,RightFoot,OpenPlay,MissedShots,0.029901985079050064,11,1,4,Luca Cigarini,1238,a,Crotone,Sassuolo,Junior Messias,2020-10-03 13:00:00,15447,2020,"(0.8019999694824219, 0.3629999923706055)"
380418,LeftFoot,OpenPlay,BlockedShot,0.03346686065196991,44,1,4,Junior Messias,8838,a,Crotone,Sassuolo,Simy,2020-10-03 13:00:00,15447,2020,"(0.8440000152587891, 0.3370000076293945)"
380424,LeftFoot,SetPiece,MissedShots,0.03831591457128525,68,1,4,Arkadiusz Reca,7014,a,Crotone,Sassuolo,Simy,2020-10-03 13:00:00,15447,2020,"(0.909000015258789, 0.7169999694824218)"
380413,Head,FromCorner,MissedShots,0.09058502316474915,21,1,4,Luca Marrone,1643,a,Crotone,Sassuolo,Luca Cigarini,2020-10-03 13:00:00,15447,2020,"(0.985, 0.425)"
380426,LeftFoot,OpenPlay,BlockedShot,0.08514077216386795,77,1,4,Simy,1362,a,Crotone,Sassuolo,Salvatore Molina,2020-10-03 13:00:00,15447,2020,"(0.8819999694824219, 0.605999984741211)"
380425,RightFoot,OpenPlay,SavedShot,0.10147353261709213,69,1,4,Simy,1362,a,Crotone,Sassuolo,Milos Vulic,2020-10-03 13:00:00,15447,2020,"(0.9290000152587891, 0.500999984741211)"
380429,RightFoot,OpenPlay,MissedShots,0.016442149877548218,88,1,4,Denis Dragus,8840,a,Crotone,Sassuolo,Simy,2020-10-03 13:00:00,15447,2020,"(0.7559999847412109, 0.35400001525878905)"
380414,RightFoot,DirectFreekick,SavedShot,0.08063236624002457,24,1,4,Luca Cigarini,1238,a,Crotone,Sassuolo,,2020-10-03 13:00:00,15447,2020,"(0.8, 0.6630000305175782)"
382149,RightFoot,Penalty,Goal,0.7612988352775574,11,1,1,Simy,1362,h,Crotone,Juventus,,2020-10-17 18:45:00,15459,2020,"(0.885, 0.5)"
382163,RightFoot,OpenPlay,MissedShots,0.01577955111861229,70,1,1,Luca Cigarini,1238,h,Crotone,Juventus,,2020-10-17 18:45:00,15459,2020,"(0.750999984741211, 0.37200000762939456)"
382146,RightFoot,OpenPlay,MissedShots,0.06104373559355736,1,1,1,Simy,1362,h,Crotone,Juventus,Arkadiusz Reca,2020-10-17 18:45:00,15459,2020,"(0.8130000305175781, 0.4590000152587891)"
382158,LeftFoot,OpenPlay,SavedShot,0.36407923698425293,43,1,1,Pedro Pereira,1241,h,Crotone,Juventus,,2020-10-17 18:45:00,15459,2020,"(0.9030000305175782, 0.39)"
382165,Head,OpenPlay,SavedShot,0.011288396082818508,85,1,1,Luca Siligardi,1846,h,Crotone,Juventus,Andrea Rispoli,2020-10-17 18:45:00,15459,2020,"(0.915, 0.34200000762939453)"
382166,LeftFoot,OpenPlay,MissedShots,0.011103261262178421,92,1,1,Arkadiusz Reca,7014,h,Crotone,Juventus,Luca Siligardi,2020-10-17 18:45:00,15459,2020,"(0.7930000305175782, 0.7780000305175782)"
382160,LeftFoot,OpenPlay,BlockedShot,0.07055018097162247,48,1,1,Junior Messias,8838,h,Crotone,Juventus,Arkadiusz Reca,2020-10-17 18:45:00,15459,2020,"(0.8530000305175781, 0.6090000152587891)"
382151,RightFoot,OpenPlay,MissedShots,0.02333257906138897,20,1,1,Luca Cigarini,1238,h,Crotone,Juventus,Simy,2020-10-17 18:45:00,15459,2020,"(0.745999984741211, 0.56)"
382147,RightFoot,FromCorner,BlockedShot,0.019087810069322586,4,1,1,Milos Vulic,8926,h,Crotone,Juventus,Luca Cigarini,2020-10-17 18:45:00,15459,2020,"(0.7919999694824219, 0.725)"
382161,RightFoot,OpenPlay,MissedShots,0.05765899270772934,54,1,1,Luca Cigarini,1238,h,Crotone,Juventus,Junior Messias,2020-10-17 18:45:00,15459,2020,"(0.8290000152587891, 0.5509999847412109)"
383682,RightFoot,OpenPlay,SavedShot,0.11612465232610703,15,2,4,Junior Messias,8838,a,Crotone,Cagliari,Pedro Pereira,2020-10-25 11:30:00,15468,2020,"(0.955999984741211, 0.34900001525878904)"
383701,LeftFoot,OpenPlay,MissedShots,0.053817376494407654,72,2,4,Andrea Rispoli,1274,a,Crotone,Cagliari,Milos Vulic,2020-10-25 11:30:00,15468,2020,"(0.9280000305175782, 0.71)"
383680,RightFoot,OpenPlay,SavedShot,0.02610614337027073,10,2,4,Ahmed Benali,1166,a,Crotone,Cagliari,Arkadiusz Reca,2020-10-25 11:30:00,15468,2020,"(0.8059999847412109, 0.6680000305175782)"
383691,LeftFoot,OpenPlay,BlockedShot,0.06445849686861038,41,2,4,Junior Messias,8838,a,Crotone,Cagliari,Luca Cigarini,2020-10-25 11:30:00,15468,2020,"(0.85, 0.3940000152587891)"
383698,LeftFoot,OpenPlay,MissedShots,0.012446481734514236,62,2,4,Junior Messias,8838,a,Crotone,Cagliari,Ahmed Benali,2020-10-25 11:30:00,15468,2020,"(0.745999984741211, 0.3290000152587891)"
383684,LeftFoot,OpenPlay,Goal,0.3881540596485138,20,2,4,Junior Messias,8838,a,Crotone,Cagliari,Arkadiusz Reca,2020-10-25 11:30:00,15468,2020,"(0.9169999694824219, 0.5159999847412109)"
383689,RightFoot,OpenPlay,SavedShot,0.07677150517702103,38,2,4,Simy,1362,a,Crotone,Cagliari,Junior Messias,2020-10-25 11:30:00,15468,2020,"(0.8619999694824219, 0.524000015258789)"
383692,RightFoot,OpenPlay,Goal,0.016623442992568016,42,2,4,Salvatore Molina,3989,a,Crotone,Cagliari,,2020-10-25 11:30:00,15468,2020,"(0.8119999694824219, 0.49599998474121093)"
383704,RightFoot,OpenPlay,SavedShot,0.0919831395149231,79,2,4,Simy,1362,a,Crotone,Cagliari,Giovanni Crociata,2020-10-25 11:30:00,15468,2020,"(0.9419999694824219, 0.37)"
383690,Head,OpenPlay,MissedShots,0.025029972195625305,40,2,4,Simy,1362,a,Crotone,Cagliari,Luca Cigarini,2020-10-25 11:30:00,15468,2020,"(0.8880000305175781, 0.53)"
383683,RightFoot,OpenPlay,MissedShots,0.07657674700021744,18,2,4,Simy,1362,a,Crotone,Cagliari,Ahmed Benali,2020-10-25 11:30:00,15468,2020,"(0.8780000305175781, 0.5690000152587891)"
383688,RightFoot,OpenPlay,MissedShots,0.4590456485748291,37,2,4,Simy,1362,a,Crotone,Cagliari,Salvatore Molina,2020-10-25 11:30:00,15468,2020,"(0.93, 0.52)"
384507,RightFoot,OpenPlay,MissedShots,0.112276092171669,80,1,2,Simy,1362,h,Crotone,Atalanta,Arkadiusz Reca,2020-10-31 14:00:00,15477,2020,"(0.9269999694824219, 0.5409999847412109)"
384506,RightFoot,OpenPlay,BlockedShot,0.027494190260767937,79,1,2,Milos Vulic,8926,h,Crotone,Atalanta,Luca Siligardi,2020-10-31 14:00:00,15477,2020,"(0.775, 0.4540000152587891)"
384500,RightFoot,OpenPlay,Goal,0.3155553340911865,39,1,2,Simy,1362,h,Crotone,Atalanta,Milos Vulic,2020-10-31 14:00:00,15477,2020,"(0.925, 0.6070000076293945)"
384491,LeftFoot,OpenPlay,MissedShots,0.047837033867836,6,1,2,Arkadiusz Reca,7014,h,Crotone,Atalanta,Sebastiano Luperto,2020-10-31 14:00:00,15477,2020,"(0.8019999694824219, 0.5940000152587891)"
384514,LeftFoot,OpenPlay,BlockedShot,0.009565318003296852,93,1,2,Junior Messias,8838,h,Crotone,Atalanta,,2020-10-31 14:00:00,15477,2020,"(0.715, 0.2539999961853027)"
384502,LeftFoot,OpenPlay,MissedShots,0.011879748664796352,53,1,2,Junior Messias,8838,h,Crotone,Atalanta,,2020-10-31 14:00:00,15477,2020,"(0.7040000152587891, 0.6229999923706054)"
386569,RightFoot,OpenPlay,BlockedShot,0.022547053173184395,54,0,0,Pedro Pereira,1241,a,Crotone,Torino,Junior Messias,2020-11-08 14:00:00,15495,2020,"(0.8519999694824218, 0.3189999961853027)"
386571,Head,OpenPlay,MissedShots,0.1267852783203125,74,0,0,Junior Messias,8838,a,Crotone,Torino,Milos Vulic,2020-11-08 14:00:00,15495,2020,"(0.9209999847412109, 0.545)"
386570,LeftFoot,OpenPlay,SavedShot,0.03789908066391945,74,0,0,Junior Messias,8838,a,Crotone,Torino,,2020-11-08 14:00:00,15495,2020,"(0.865, 0.720999984741211)"
386567,LeftFoot,OpenPlay,SavedShot,0.01969674788415432,45,0,0,Pedro Pereira,1241,a,Crotone,Torino,Ahmed Benali,2020-11-08 14:00:00,15495,2020,"(0.7759999847412109, 0.28299999237060547)"
386568,LeftFoot,OpenPlay,MissedShots,0.009430605918169022,46,0,0,Junior Messias,8838,a,Crotone,Torino,,2020-11-08 14:00:00,15495,2020,"(0.6790000152587891, 0.4759999847412109)"
386572,LeftFoot,SetPiece,MissedShots,0.020349692553281784,78,0,0,Junior Messias,8838,a,Crotone,Torino,Jacopo Petriccione,2020-11-08 14:00:00,15495,2020,"(0.76, 0.3060000038146973)"
386565,RightFoot,DirectFreekick,MissedShots,0.049209773540496826,24,0,0,Luca Cigarini,1238,a,Crotone,Torino,,2020-11-08 14:00:00,15495,2020,"(0.7280000305175781, 0.5579999923706055)"
386564,RightFoot,FromCorner,BlockedShot,0.014874088577926159,7,0,0,Milos Vulic,8926,a,Crotone,Torino,,2020-11-08 14:00:00,15495,2020,"(0.7830000305175782, 0.725)"
387227,LeftFoot,OpenPlay,SavedShot,0.007896565832197666,59,0,2,Arkadiusz Reca,7014,h,Crotone,Lazio,Milos Vulic,2020-11-21 14:00:00,15496,2020,"(0.7709999847412109, 0.86)"
387216,LeftFoot,OpenPlay,MissedShots,0.010754968039691448,23,0,2,Ahmed Benali,1166,h,Crotone,Lazio,,2020-11-21 14:00:00,15496,2020,"(0.715999984741211, 0.7430000305175781)"
387214,LeftFoot,OpenPlay,MissedShots,0.016033953055739403,19,0,2,Junior Messias,8838,h,Crotone,Lazio,Lisandro Magallán,2020-11-21 14:00:00,15496,2020,"(0.7119999694824218, 0.28100000381469725)"
387233,RightFoot,SetPiece,MissedShots,0.03281337767839432,85,0,2,Denis Dragus,8840,h,Crotone,Lazio,Junior Messias,2020-11-21 14:00:00,15496,2020,"(0.870999984741211, 0.74)"
387223,LeftFoot,OpenPlay,SavedShot,0.05806920677423477,45,0,2,Ahmed Benali,1166,h,Crotone,Lazio,Milos Vulic,2020-11-21 14:00:00,15496,2020,"(0.879000015258789, 0.6379999923706055)"
