,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
14118,Napoli,Parma Calcio 1913,1.54079,0.160985,2,0,a,2020-09-20 10:30:00
14128,Napoli,Genoa,2.34102,0.265594,6,0,h,2020-09-27 16:00:00
15456,Napoli,Atalanta,1.17201,0.640405,4,1,h,2020-10-17 13:00:00
15467,Napoli,Benevento,2.26936,0.650046,2,1,a,2020-10-25 14:00:00
15479,Napoli,Sassuolo,2.14387,1.52493,0,2,h,2020-11-01 17:00:00
15488,Napoli,Bologna,1.40583,0.729048,1,0,a,2020-11-08 17:00:00
15500,Napoli,AC Milan,1.8847,1.83664,1,3,h,2020-11-22 19:45:00
15513,Napoli,Roma,2.05867,0.314633,4,0,h,2020-11-29 19:45:00
15516,Napoli,Crotone,1.93801,0.508882,4,0,a,2020-12-06 17:00:00
15533,Napoli,Sampdoria,1.51835,0.713804,2,1,h,2020-12-13 14:00:00
15539,Napoli,Inter,3.25581,1.31797,0,1,a,2020-12-16 19:45:00
15551,Napoli,Lazio,0.982563,0.701577,0,2,a,2020-12-20 19:45:00
15560,Napoli,Torino,0.896358,0.390204,1,1,h,2020-12-23 19:45:00
15568,Napoli,Cagliari,5.2489,0.860583,4,1,a,2021-01-03 14:00:00
15582,Napoli,Spezia,4.01311,1.92698,1,2,h,2021-01-06 17:00:00
15594,Napoli,Udinese,1.7625,2.22446,2,1,a,2021-01-10 14:00:00
15602,Napoli,Fiorentina,2.24139,1.1403,6,0,h,2021-01-17 11:30:00
15615,Napoli,Verona,0.903544,2.35109,1,3,a,2021-01-24 14:00:00
15620,Napoli,Parma Calcio 1913,1.05768,0.540369,2,0,h,2021-01-31 17:00:00
15630,Napoli,Genoa,2.09283,1.09369,1,2,a,2021-02-06 19:45:00
15640,Napoli,Juventus,1.05643,2.01493,1,0,h,2021-02-13 17:00:00
15649,Napoli,Atalanta,0.624734,2.68448,2,4,a,2021-02-21 17:00:00
15657,Napoli,Benevento,2.34858,0.430179,2,0,h,2021-02-28 17:00:00
15667,Napoli,Sassuolo,2.54342,2.4724,3,3,a,2021-03-03 17:30:00
15678,Napoli,Bologna,1.22462,0.770095,3,1,h,2021-03-07 19:45:00
15690,Napoli,AC Milan,1.34959,1.48364,1,0,a,2021-03-14 19:45:00
15702,Napoli,Roma,1.07404,0.733296,2,0,a,2021-03-21 19:45:00
15706,Napoli,Crotone,3.45014,1.17165,4,3,h,2021-04-03 13:00:00
15455,Napoli,Juventus,1.36435,1.61051,1,2,a,2021-04-07 18:45:00
15723,Napoli,Sampdoria,1.89882,0.904896,2,0,a,2021-04-11 13:00:00
15729,Napoli,Inter,0.584142,1.0199,1,1,h,2021-04-18 18:45:00
15741,Napoli,Lazio,1.59439,1.43947,5,2,h,2021-04-22 18:45:00
15750,Napoli,Torino,3.0505,1.04779,2,0,a,2021-04-26 16:30:00
15758,Napoli,Cagliari,2.9066,1.88547,1,1,h,2021-05-02 13:00:00
15772,Napoli,Spezia,2.32097,1.27161,4,1,a,2021-05-08 13:00:00
15784,Napoli,Udinese,3.38173,0.186833,5,1,h,2021-05-11 18:45:00
15792,Napoli,Fiorentina,1.90774,0.344483,2,0,a,2021-05-16 10:30:00
15805,Napoli,Verona,1.57132,0.51703,1,1,h,2021-05-23 18:45:00
