,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
14121,Sampdoria,Juventus,0.606523,2.14288,0,3,a,2020-09-20 18:45:00
14125,Sampdoria,Benevento,1.36058,1.27481,2,3,h,2020-09-26 16:00:00
15446,Sampdoria,Fiorentina,2.18148,2.02799,2,1,a,2020-10-02 18:45:00
15458,Sampdoria,Lazio,1.83414,0.454609,3,0,h,2020-10-17 16:00:00
15466,Sampdoria,Atalanta,2.49916,2.09742,3,1,a,2020-10-24 13:00:00
15481,Sampdoria,Genoa,0.858208,1.18373,1,1,h,2020-11-01 19:45:00
15489,Sampdoria,Cagliari,0.134345,1.89967,0,2,a,2020-11-07 14:00:00
15502,Sampdoria,Bologna,0.817944,1.73409,1,2,h,2020-11-22 14:00:00
15515,Sampdoria,Torino,1.38058,1.63863,2,2,a,2020-11-30 17:30:00
15522,Sampdoria,AC Milan,0.986547,2.66831,1,2,h,2020-12-06 19:45:00
15533,Sampdoria,Napoli,0.713804,1.51835,1,2,a,2020-12-13 14:00:00
15545,Sampdoria,Verona,0.779474,1.49333,2,1,a,2020-12-16 19:45:00
15553,Sampdoria,Crotone,2.48022,1.04297,3,1,h,2020-12-19 17:00:00
15562,Sampdoria,Sassuolo,1.6455,2.16381,2,3,h,2020-12-23 19:45:00
15574,Sampdoria,Roma,0.229603,2.40692,0,1,a,2021-01-03 14:00:00
15583,Sampdoria,Inter,1.3375,2.49173,2,1,h,2021-01-06 14:00:00
15593,Sampdoria,Spezia,0.433748,1.71534,1,2,a,2021-01-11 19:45:00
15603,Sampdoria,Udinese,1.50541,2.78281,2,1,h,2021-01-16 19:45:00
15612,Sampdoria,Parma Calcio 1913,2.1892,1.05418,2,0,a,2021-01-24 19:45:00
15617,Sampdoria,Juventus,0.240857,1.63913,0,2,h,2021-01-30 17:00:00
15632,Sampdoria,Benevento,1.70084,0.949104,1,1,a,2021-02-07 11:30:00
15638,Sampdoria,Fiorentina,1.37373,1.28041,2,1,h,2021-02-14 14:00:00
15651,Sampdoria,Lazio,1.27226,1.36887,0,1,a,2021-02-20 14:00:00
15656,Sampdoria,Atalanta,0.459133,1.37431,0,2,h,2021-02-28 11:30:00
15669,Sampdoria,Genoa,0.554452,0.282448,1,1,a,2021-03-03 19:45:00
15679,Sampdoria,Cagliari,0.52749,0.979884,2,2,h,2021-03-07 17:00:00
15692,Sampdoria,Bologna,1.56796,2.26652,1,3,a,2021-03-14 11:30:00
15705,Sampdoria,Torino,0.774348,0.739358,1,0,h,2021-03-21 14:00:00
15712,Sampdoria,AC Milan,1.01539,0.96551,1,1,a,2021-04-03 10:30:00
15723,Sampdoria,Napoli,0.904896,1.89882,0,2,h,2021-04-11 13:00:00
15735,Sampdoria,Verona,1.94443,1.31995,3,1,h,2021-04-17 13:00:00
15743,Sampdoria,Crotone,2.0374,0.688921,1,0,a,2021-04-21 18:45:00
15752,Sampdoria,Sassuolo,0.986504,1.66072,0,1,a,2021-04-24 18:45:00
15764,Sampdoria,Roma,1.37262,1.63837,2,0,h,2021-05-02 18:45:00
15773,Sampdoria,Inter,1.4093,1.95771,1,5,a,2021-05-08 16:00:00
15783,Sampdoria,Spezia,1.83643,2.7592,2,2,h,2021-05-12 18:45:00
15793,Sampdoria,Udinese,1.40036,0.344524,1,0,a,2021-05-16 13:00:00
15802,Sampdoria,Parma Calcio 1913,1.34869,0.720234,3,0,h,2021-05-22 18:45:00
