,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
14120,Sassuolo,Cagliari,2.0285,0.95973,1,1,h,2020-09-20 16:00:00
14127,Sassuolo,Spezia,2.6497,1.29116,4,1,a,2020-09-27 10:30:00
15447,Sassuolo,Crotone,1.85563,1.5945,4,1,h,2020-10-03 13:00:00
15460,Sassuolo,Bologna,3.23668,1.45422,4,3,a,2020-10-18 10:30:00
15475,Sassuolo,Torino,1.69093,2.08517,3,3,h,2020-10-23 18:45:00
15479,Sassuolo,Napoli,1.52493,2.14387,2,0,a,2020-11-01 17:00:00
15494,Sassuolo,Udinese,0.0834694,0.0917939,0,0,h,2020-11-06 19:45:00
15505,Sassuolo,Verona,0.51,1.3932,2,0,a,2020-11-22 14:00:00
15514,Sassuolo,Inter,0.753035,1.49985,0,3,h,2020-11-28 14:00:00
15521,Sassuolo,Roma,0.209882,1.27993,0,0,a,2020-12-06 14:00:00
15534,Sassuolo,Benevento,1.08927,2.09826,1,0,h,2020-12-11 19:45:00
15537,Sassuolo,Fiorentina,1.7103,1.71835,1,1,a,2020-12-16 19:45:00
15554,Sassuolo,AC Milan,1.04718,1.41457,1,2,h,2020-12-20 14:00:00
15562,Sassuolo,Sampdoria,2.16381,1.6455,3,2,a,2020-12-23 19:45:00
15566,Sassuolo,Atalanta,0.499119,3.50279,1,5,a,2021-01-03 14:00:00
15584,Sassuolo,Genoa,2.26,1.04966,2,1,h,2021-01-06 14:00:00
15589,Sassuolo,Juventus,0.542444,3.03948,1,3,a,2021-01-10 19:45:00
15604,Sassuolo,Parma Calcio 1913,1.81397,0.698377,1,1,h,2021-01-17 14:00:00
15610,Sassuolo,Lazio,0.657277,2.00707,1,2,a,2021-01-24 17:00:00
15621,Sassuolo,Cagliari,1.89569,0.879547,1,1,a,2021-01-31 14:00:00
15633,Sassuolo,Spezia,0.974042,1.65222,1,2,h,2021-02-06 14:00:00
15644,Sassuolo,Crotone,2.7814,0.737979,2,1,a,2021-02-14 17:00:00
15646,Sassuolo,Bologna,1.75431,0.547118,1,1,h,2021-02-20 19:45:00
15667,Sassuolo,Napoli,2.4724,2.54342,3,3,h,2021-03-03 17:30:00
15684,Sassuolo,Udinese,0.944927,1.7241,0,2,a,2021-03-06 17:00:00
15695,Sassuolo,Verona,1.56376,1.47961,3,2,h,2021-03-13 14:00:00
15665,Sassuolo,Torino,1.41405,2.1526,2,3,a,2021-03-17 14:00:00
15711,Sassuolo,Roma,3.38116,1.55499,2,2,h,2021-04-03 13:00:00
15703,Sassuolo,Inter,0.868116,1.27678,1,2,a,2021-04-07 18:45:00
15724,Sassuolo,Benevento,1.28252,0.392283,1,0,a,2021-04-12 18:45:00
15727,Sassuolo,Fiorentina,2.27601,0.777004,3,1,h,2021-04-17 16:00:00
15744,Sassuolo,AC Milan,2.13785,1.11244,2,1,a,2021-04-21 16:30:00
15752,Sassuolo,Sampdoria,1.66072,0.986504,1,0,h,2021-04-24 18:45:00
15756,Sassuolo,Atalanta,1.26321,1.94826,1,1,h,2021-05-02 13:00:00
15774,Sassuolo,Genoa,1.91968,0.749499,2,1,a,2021-05-09 10:30:00
15779,Sassuolo,Juventus,2.23729,1.36904,1,3,h,2021-05-12 18:45:00
15794,Sassuolo,Parma Calcio 1913,2.48538,0.998801,3,1,a,2021-05-16 16:00:00
15800,Sassuolo,Lazio,1.9712,0.974681,2,0,h,2021-05-23 18:45:00
