,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
14127,Spezia,Sassuolo,1.29116,2.6497,1,4,h,2020-09-27 10:30:00
14134,Spezia,Udinese,0.812849,1.86648,2,0,a,2020-09-30 16:00:00
15454,Spezia,AC Milan,0.152433,2.64977,0,3,a,2020-10-04 16:00:00
15461,Spezia,Fiorentina,0.925627,1.08362,2,2,h,2020-10-18 13:00:00
15474,Spezia,Parma Calcio 1913,0.965076,3.67014,2,2,a,2020-10-25 14:00:00
15482,Spezia,Juventus,0.546346,2.88171,1,4,h,2020-11-01 14:00:00
15487,Spezia,Benevento,1.45194,0.251291,3,0,a,2020-11-07 17:00:00
15503,Spezia,Atalanta,0.594898,2.20038,0,0,h,2020-11-21 17:00:00
15509,Spezia,Cagliari,2.7383,1.44548,2,2,a,2020-11-29 17:00:00
15523,Spezia,Lazio,1.7297,0.437896,1,2,h,2020-12-05 14:00:00
15529,Spezia,Crotone,0.824038,1.69279,1,4,a,2020-12-12 14:00:00
15543,Spezia,Bologna,2.66532,1.61165,2,2,h,2020-12-16 19:45:00
15550,Spezia,Inter,0.779401,1.26331,1,2,a,2020-12-20 14:00:00
15563,Spezia,Genoa,0.530442,1.24789,1,2,h,2020-12-23 19:45:00
15575,Spezia,Verona,0.450318,1.5461,0,1,h,2021-01-03 14:00:00
15582,Spezia,Napoli,1.92698,4.01311,2,1,a,2021-01-06 17:00:00
15593,Spezia,Sampdoria,1.71534,0.433748,2,1,h,2021-01-11 19:45:00
15605,Spezia,Torino,0.310945,0.994528,0,0,a,2021-01-16 17:00:00
15613,Spezia,Roma,1.46005,2.59451,3,4,a,2021-01-23 14:00:00
15622,Spezia,Udinese,0.816035,1.20302,0,1,h,2021-01-31 11:30:00
15633,Spezia,Sassuolo,1.65222,0.974042,2,1,a,2021-02-06 14:00:00
15642,Spezia,AC Milan,1.33279,0.522191,2,0,h,2021-02-13 19:45:00
15652,Spezia,Fiorentina,0.854682,2.08276,0,3,a,2021-02-19 17:30:00
15664,Spezia,Parma Calcio 1913,1.50261,1.22437,2,2,h,2021-02-27 14:00:00
15670,Spezia,Juventus,1.26299,2.61694,0,3,a,2021-03-02 19:45:00
15677,Spezia,Benevento,1.68194,0.319654,1,1,h,2021-03-06 14:00:00
15693,Spezia,Atalanta,1.24595,2.01267,1,3,a,2021-03-12 19:45:00
15698,Spezia,Cagliari,1.03827,2.95218,2,1,h,2021-03-20 17:00:00
15713,Spezia,Lazio,0.938101,2.36513,1,2,a,2021-04-03 13:00:00
15719,Spezia,Crotone,1.39234,1.43962,3,2,h,2021-04-10 13:00:00
15733,Spezia,Bologna,0.532614,3.12881,1,4,a,2021-04-18 13:00:00
15740,Spezia,Inter,0.0315577,2.88353,1,1,h,2021-04-21 18:45:00
15753,Spezia,Genoa,0.932413,2.46449,0,2,a,2021-04-24 13:00:00
15765,Spezia,Verona,1.17641,2.04122,1,1,a,2021-05-01 13:00:00
15772,Spezia,Napoli,1.27161,2.32097,1,4,h,2021-05-08 13:00:00
15783,Spezia,Sampdoria,2.7592,1.83643,2,2,a,2021-05-12 18:45:00
15795,Spezia,Torino,2.73126,0.940601,4,1,h,2021-05-15 13:00:00
15803,Spezia,Roma,2.87459,2.72274,2,2,h,2021-05-23 18:45:00
