,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
379219,LeftFoot,OpenPlay,BlockedShot,0.015795035287737846,84,1,4,Juan Ramos,8909,h,Spezia,Sassuolo,Matteo Ricci,2020-09-27 10:30:00,14127,2020,"(0.7619999694824219, 0.665)"
379208,RightFoot,OpenPlay,BlockedShot,0.05811459571123123,50,1,4,Matteo Ricci,8911,h,Spezia,Sassuolo,Emmanuel Gyasi,2020-09-27 10:30:00,14127,2020,"(0.8069999694824219, 0.5120000076293946)"
379224,RightFoot,OpenPlay,SavedShot,0.013877028599381447,90,1,4,Alessandro Deiola,1634,h,Spezia,Sassuolo,Matteo Ricci,2020-09-27 10:30:00,14127,2020,"(0.73, 0.5120000076293946)"
379222,RightFoot,OpenPlay,SavedShot,0.027360334992408752,89,1,4,Diego Farias,1605,h,Spezia,Sassuolo,Alessandro Deiola,2020-09-27 10:30:00,14127,2020,"(0.8669999694824219, 0.7030000305175781)"
379201,Head,OpenPlay,Goal,0.32564330101013184,30,1,4,Andrej Galabinov,6201,h,Spezia,Sassuolo,Matteo Ricci,2020-09-27 10:30:00,14127,2020,"(0.9130000305175782, 0.5259999847412109)"
379221,Head,FromCorner,MissedShots,0.07574222981929779,85,1,4,Andrej Galabinov,6201,h,Spezia,Sassuolo,Juan Ramos,2020-09-27 10:30:00,14127,2020,"(0.9459999847412109, 0.48400001525878905)"
379220,LeftFoot,OpenPlay,SavedShot,0.09990523755550385,85,1,4,Luca Mora,6181,h,Spezia,Sassuolo,Diego Farias,2020-09-27 10:30:00,14127,2020,"(0.9080000305175782, 0.6179999923706054)"
379215,Head,OpenPlay,ShotOnPost,0.4374583065509796,73,1,4,Andrej Galabinov,6201,h,Spezia,Sassuolo,Jacopo Sala,2020-09-27 10:30:00,14127,2020,"(0.97, 0.5629999923706055)"
379223,RightFoot,OpenPlay,MissedShots,0.1074741780757904,89,1,4,Emmanuel Gyasi,8913,h,Spezia,Sassuolo,,2020-09-27 10:30:00,14127,2020,"(0.9, 0.49599998474121093)"
379200,LeftFoot,OpenPlay,MissedShots,0.03971962258219719,15,1,4,Kevin Agudelo,8010,h,Spezia,Sassuolo,Jacopo Sala,2020-09-27 10:30:00,14127,2020,"(0.8130000305175781, 0.36400001525878906)"
