,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
10860,RightFoot,OpenPlay,SavedShot,0.04552217945456505,18,0,4,Pavel Solomatin,2756,a,Amkar,FK Akhmat,Georgi Peev,2014-08-04 17:00:00,6424,2014,"(0.9030000305175782, 0.6430000305175781)"
10859,RightFoot,FromCorner,MissedShots,0.033176496624946594,11,0,4,Janusz Gol,2837,a,Amkar,FK Akhmat,Georgi Peev,2014-08-04 17:00:00,6424,2014,"(0.765, 0.4259999847412109)"
10869,RightFoot,OpenPlay,BlockedShot,0.057757418602705,65,0,4,Janusz Gol,2837,a,Amkar,FK Akhmat,,2014-08-04 17:00:00,6424,2014,"(0.8430000305175781, 0.3840000152587891)"
10874,RightFoot,SetPiece,MissedShots,0.04840419813990593,82,0,4,Thomas Phibel,3029,a,Amkar,FK Akhmat,Blagoy Georgiev,2014-08-04 17:00:00,6424,2014,"(0.875999984741211, 0.3170000076293945)"
10866,LeftFoot,OpenPlay,MissedShots,0.1402772217988968,53,0,4,Blagoy Georgiev,3102,a,Amkar,FK Akhmat,Pavel Solomatin,2014-08-04 17:00:00,6424,2014,"(0.8959999847412109, 0.595999984741211)"
12919,RightFoot,OpenPlay,BlockedShot,0.031082458794116974,88,0,1,Janusz Gol,2837,h,Amkar,FC Ufa,,2014-08-08 15:00:00,6425,2014,"(0.8169999694824219, 0.325)"
12914,RightFoot,OpenPlay,BlockedShot,0.06463848054409027,61,0,1,Georgi Peev,3152,h,Amkar,FC Ufa,Janusz Gol,2014-08-08 15:00:00,6425,2014,"(0.895, 0.6769999694824219)"
12908,LeftFoot,OpenPlay,BlockedShot,0.02941189520061016,19,0,1,Georgi Peev,3152,h,Amkar,FC Ufa,,2014-08-08 15:00:00,6425,2014,"(0.825, 0.3089999961853027)"
12920,LeftFoot,OpenPlay,BlockedShot,0.018529517576098442,88,0,1,Blagoy Georgiev,3102,h,Amkar,FC Ufa,Petar Zanev,2014-08-08 15:00:00,6425,2014,"(0.884000015258789, 0.2520000076293945)"
12921,Head,SetPiece,MissedShots,0.011842146515846252,89,0,1,Fegor Ogude,2836,h,Amkar,FC Ufa,Blagoy Georgiev,2014-08-08 15:00:00,6425,2014,"(0.8809999847412109, 0.5609999847412109)"
12907,RightFoot,OpenPlay,MissedShots,0.018374597653746605,16,0,1,Blagoy Georgiev,3102,h,Amkar,FC Ufa,Aleksandr Kolomejtsev,2014-08-08 15:00:00,6425,2014,"(0.9330000305175781, 0.17)"
12911,RightFoot,OpenPlay,BlockedShot,0.009290941059589386,42,0,1,Ivan Cherenchikov,3093,h,Amkar,FC Ufa,Janusz Gol,2014-08-08 15:00:00,6425,2014,"(0.7559999847412109, 0.05699999809265137)"
12913,LeftFoot,OpenPlay,SavedShot,0.047736652195453644,54,0,1,Blagoy Georgiev,3102,h,Amkar,FC Ufa,Fegor Ogude,2014-08-08 15:00:00,6425,2014,"(0.870999984741211, 0.30100000381469727)"
12910,RightFoot,OpenPlay,MissedShots,0.020804088562726974,29,0,1,Fegor Ogude,2836,h,Amkar,FC Ufa,Blagoy Georgiev,2014-08-08 15:00:00,6425,2014,"(0.7580000305175781, 0.46900001525878904)"
12918,RightFoot,OpenPlay,ShotOnPost,0.04279223456978798,84,0,1,Igor Kireev,2783,h,Amkar,FC Ufa,Igor Picusceac,2014-08-08 15:00:00,6425,2014,"(0.9630000305175781, 0.31)"
12916,Head,FromCorner,BlockedShot,0.05397316813468933,78,0,1,Dmitri Belorukov,3019,h,Amkar,FC Ufa,Blagoy Georgiev,2014-08-08 15:00:00,6425,2014,"(0.9290000152587891, 0.485)"
12922,LeftFoot,OpenPlay,BlockedShot,0.011934829875826836,94,0,1,Petar Zanev,2873,h,Amkar,FC Ufa,Dmitri Belorukov,2014-08-08 15:00:00,6425,2014,"(0.6880000305175781, 0.48700000762939455)"
12700,LeftFoot,OpenPlay,BlockedShot,0.01815253682434559,4,1,1,Fegor Ogude,2836,a,Amkar,Torpedo Moscow,Igor Kireev,2014-08-12 17:00:00,6433,2014,"(0.789000015258789, 0.65)"
12724,Head,FromCorner,BlockedShot,0.022070059552788734,77,1,1,Igor Picusceac,4592,a,Amkar,Torpedo Moscow,Blagoy Georgiev,2014-08-12 17:00:00,6433,2014,"(0.884000015258789, 0.43400001525878906)"
12721,RightFoot,OpenPlay,BlockedShot,0.012545309029519558,69,1,1,Pavel Solomatin,2756,a,Amkar,Torpedo Moscow,Fegor Ogude,2014-08-12 17:00:00,6433,2014,"(0.664000015258789, 0.5120000076293946)"
12717,RightFoot,OpenPlay,Goal,0.3861798942089081,61,1,1,Igor Picusceac,4592,a,Amkar,Torpedo Moscow,Aleksandr Kolomejtsev,2014-08-12 17:00:00,6433,2014,"(0.8930000305175781, 0.49900001525878906)"
12703,RightFoot,OpenPlay,BlockedShot,0.027132989838719368,28,1,1,Thomas Phibel,3029,a,Amkar,Torpedo Moscow,Blagoy Georgiev,2014-08-12 17:00:00,6433,2014,"(0.7969999694824219, 0.6730000305175782)"
12716,RightFoot,OpenPlay,MissedShots,0.08076677471399307,61,1,1,Aleksandr Kolomejtsev,2892,a,Amkar,Torpedo Moscow,Zahari Sirakov,2014-08-12 17:00:00,6433,2014,"(0.875999984741211, 0.47099998474121096)"
12707,RightFoot,OpenPlay,MissedShots,0.026742255315184593,36,1,1,Igor Kireev,2783,a,Amkar,Torpedo Moscow,Fegor Ogude,2014-08-12 17:00:00,6433,2014,"(0.93, 0.20700000762939452)"
12726,LeftFoot,OpenPlay,SavedShot,0.01868296042084694,86,1,1,Igor Kireev,2783,a,Amkar,Torpedo Moscow,,2014-08-12 17:00:00,6433,2014,"(0.835, 0.37900001525878907)"
12712,Head,OpenPlay,MissedShots,0.04587044194340706,57,1,1,Aleksandr Kolomejtsev,2892,a,Amkar,Torpedo Moscow,Petar Zanev,2014-08-12 17:00:00,6433,2014,"(0.8819999694824219, 0.48)"
12701,LeftFoot,OpenPlay,MissedShots,0.010481541976332664,6,1,1,Georgi Peev,3152,a,Amkar,Torpedo Moscow,Thomas Phibel,2014-08-12 17:00:00,6433,2014,"(0.75, 0.639000015258789)"
9318,LeftFoot,OpenPlay,MissedShots,0.13254795968532562,26,0,1,Igor Kireev,2783,a,Amkar,Kuban Krasnodar,Sergei Balanovich,2014-08-18 18:00:00,6448,2014,"(0.8969999694824219, 0.529000015258789)"
9316,RightFoot,SetPiece,MissedShots,0.009506438858807087,15,0,1,David Dzakhov,2843,a,Amkar,Kuban Krasnodar,,2014-08-18 18:00:00,6448,2014,"(0.7280000305175781, 0.5129999923706055)"
9320,LeftFoot,OpenPlay,BlockedShot,0.17429392039775848,34,0,1,Igor Picusceac,4592,a,Amkar,Kuban Krasnodar,,2014-08-18 18:00:00,6448,2014,"(0.899000015258789, 0.4620000076293945)"
