,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
10372,RightFoot,OpenPlay,MissedShots,0.014014828018844128,9,2,0,Toni Sunjic,57,h,Kuban Krasnodar,FC Ufa,Xandao,2014-08-03 16:30:00,6422,2014,"(0.720999984741211, 0.5059999847412109)"
10374,RightFoot,OpenPlay,MissedShots,0.12299789488315582,15,2,0,Ivelin Popov,2817,h,Kuban Krasnodar,FC Ufa,Danilo,2014-08-03 16:30:00,6422,2014,"(0.8919999694824219, 0.43599998474121093)"
10380,RightFoot,OpenPlay,SavedShot,0.2914752662181854,38,2,0,Ivelin Popov,2817,h,Kuban Krasnodar,FC Ufa,Andrey Eshchenko,2014-08-03 16:30:00,6422,2014,"(0.885, 0.3629999923706055)"
10385,RightFoot,OpenPlay,Goal,0.46643775701522827,75,2,0,Ivelin Popov,2817,h,Kuban Krasnodar,FC Ufa,,2014-08-03 16:30:00,6422,2014,"(0.909000015258789, 0.5420000076293945)"
10389,RightFoot,DirectFreekick,BlockedShot,0.05145910009741783,92,2,0,Ivelin Popov,2817,h,Kuban Krasnodar,FC Ufa,,2014-08-03 16:30:00,6422,2014,"(0.795, 0.26600000381469724)"
10376,RightFoot,OpenPlay,Goal,0.49823328852653503,17,2,0,Vladislav Ignatjev,2894,h,Kuban Krasnodar,FC Ufa,Danilo,2014-08-03 16:30:00,6422,2014,"(0.9440000152587891, 0.43599998474121093)"
10379,LeftFoot,OpenPlay,MissedShots,0.02414671517908573,38,2,0,Vladislav Ignatjev,2894,h,Kuban Krasnodar,FC Ufa,,2014-08-03 16:30:00,6422,2014,"(0.7809999847412109, 0.2929999923706055)"
10384,Head,FromCorner,BlockedShot,0.055399611592292786,67,2,0,Xandao,2726,h,Kuban Krasnodar,FC Ufa,Arsen Khubulov,2014-08-03 16:30:00,6422,2014,"(0.9309999847412109, 0.525)"
10388,RightFoot,OpenPlay,ShotOnPost,0.09751076251268387,89,2,0,Vladislav Ignatjev,2894,h,Kuban Krasnodar,FC Ufa,Gigel Bucur,2014-08-03 16:30:00,6422,2014,"(0.8969999694824219, 0.675)"
10390,LeftFoot,SetPiece,BlockedShot,0.02414027228951454,92,2,0,Andrey Eshchenko,3023,h,Kuban Krasnodar,FC Ufa,,2014-08-03 16:30:00,6422,2014,"(0.865999984741211, 0.2879999923706055)"
10371,LeftFoot,OpenPlay,BlockedShot,0.041712045669555664,3,2,0,Vladislav Kulik,3108,h,Kuban Krasnodar,FC Ufa,Ivelin Popov,2014-08-03 16:30:00,6422,2014,"(0.8430000305175781, 0.3129999923706055)"
10383,Head,FromCorner,BlockedShot,0.0527762733399868,59,2,0,Xandao,2726,h,Kuban Krasnodar,FC Ufa,Arsen Khubulov,2014-08-03 16:30:00,6422,2014,"(0.9280000305175782, 0.515)"
10375,RightFoot,OpenPlay,SavedShot,0.04091184213757515,16,2,0,Arsen Khubulov,2733,h,Kuban Krasnodar,FC Ufa,Vladislav Kulik,2014-08-03 16:30:00,6422,2014,"(0.7380000305175781, 0.5529999923706055)"
10387,LeftFoot,OpenPlay,BlockedShot,0.02070392109453678,85,2,0,Maksim Zhavnerchik,4667,h,Kuban Krasnodar,FC Ufa,,2014-08-03 16:30:00,6422,2014,"(0.7969999694824219, 0.7230000305175781)"
10373,RightFoot,OpenPlay,MissedShots,0.013255015015602112,12,2,0,Vladislav Kulik,3108,h,Kuban Krasnodar,FC Ufa,Vladislav Ignatjev,2014-08-03 16:30:00,6422,2014,"(0.745999984741211, 0.7090000152587891)"
10382,RightFoot,OpenPlay,MissedShots,0.11214643716812134,56,2,0,Danilo,4666,h,Kuban Krasnodar,FC Ufa,Arsen Khubulov,2014-08-03 16:30:00,6422,2014,"(0.9080000305175782, 0.4209999847412109)"
10381,LeftFoot,OpenPlay,BlockedShot,0.059348106384277344,51,2,0,Danilo,4666,h,Kuban Krasnodar,FC Ufa,Vladislav Ignatjev,2014-08-03 16:30:00,6422,2014,"(0.8080000305175781, 0.4640000152587891)"
10378,RightFoot,OpenPlay,SavedShot,0.059952013194561005,32,2,0,Danilo,4666,h,Kuban Krasnodar,FC Ufa,,2014-08-03 16:30:00,6422,2014,"(0.865999984741211, 0.31799999237060544)"
8956,LeftFoot,OpenPlay,MissedShots,0.10595886409282684,57,2,2,Gigel Bucur,2740,h,Kuban Krasnodar,FC Rostov,Vladislav Ignatjev,2014-08-08 17:30:00,6426,2014,"(0.9219999694824219, 0.6819999694824219)"
8955,LeftFoot,OpenPlay,MissedShots,0.3904503881931305,55,2,2,Danilo,4666,h,Kuban Krasnodar,FC Rostov,Arsen Khubulov,2014-08-08 17:30:00,6426,2014,"(0.9230000305175782, 0.575)"
8944,Head,OpenPlay,MissedShots,0.1079474687576294,2,2,2,Ivelin Popov,2817,h,Kuban Krasnodar,FC Rostov,Arsen Khubulov,2014-08-08 17:30:00,6426,2014,"(0.9159999847412109, 0.5309999847412109)"
8946,Head,OpenPlay,Goal,0.4698760509490967,5,2,2,Ivelin Popov,2817,h,Kuban Krasnodar,FC Rostov,Danilo,2014-08-08 17:30:00,6426,2014,"(0.9440000152587891, 0.4779999923706055)"
8950,RightFoot,DirectFreekick,BlockedShot,0.04713166877627373,36,2,2,Ivelin Popov,2817,h,Kuban Krasnodar,FC Rostov,,2014-08-08 17:30:00,6426,2014,"(0.7609999847412109, 0.3139999961853027)"
8951,LeftFoot,OpenPlay,MissedShots,0.049000583589076996,42,2,2,Ivelin Popov,2817,h,Kuban Krasnodar,FC Rostov,Danilo,2014-08-08 17:30:00,6426,2014,"(0.8009999847412109, 0.5570000076293945)"
8957,RightFoot,Penalty,Goal,0.7542753219604492,64,2,2,Ivelin Popov,2817,h,Kuban Krasnodar,FC Rostov,,2014-08-08 17:30:00,6426,2014,"(0.885, 0.5)"
8959,Head,OpenPlay,SavedShot,0.015757916495203972,84,2,2,Xandao,2726,h,Kuban Krasnodar,FC Rostov,Ivelin Popov,2014-08-08 17:30:00,6426,2014,"(0.91, 0.66)"
8943,LeftFoot,OpenPlay,MissedShots,0.018768174573779106,1,2,2,Vladislav Kulik,3108,h,Kuban Krasnodar,FC Rostov,Danilo,2014-08-08 17:30:00,6426,2014,"(0.774000015258789, 0.6469999694824219)"
8962,RightFoot,DirectFreekick,BlockedShot,0.04849858582019806,90,2,2,Charles Kaboré,2921,h,Kuban Krasnodar,FC Rostov,,2014-08-08 17:30:00,6426,2014,"(0.7559999847412109, 0.33599998474121096)"
