,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
6417,Rubin Kazan,Spartak Moscow,1.19659,2.19129,0,4,h,2014-08-01 17:00:00
6429,Rubin Kazan,FK Akhmat,0.695471,0.427576,1,1,a,2014-08-09 17:00:00
6436,Rubin Kazan,Arsenal Tula,0.75607,1.25115,0,0,a,2014-08-13 17:00:00
6445,Rubin Kazan,Lokomotiv Moscow,1.32708,0.530823,1,1,h,2014-08-17 15:30:00
6452,Rubin Kazan,CSKA Moscow,1.8365,1.60649,2,1,h,2014-08-23 17:00:00
6462,Rubin Kazan,FC Ufa,1.7471,0.591905,1,1,h,2014-08-31 13:00:00
6396,Rubin Kazan,FC Rostov,1.55467,0.656702,2,1,a,2014-09-13 18:00:00
6404,Rubin Kazan,Kuban Krasnodar,0.522582,0.510216,1,2,a,2014-09-20 14:00:00
6416,Rubin Kazan,Torpedo Moscow,2.01272,1.2886,2,1,h,2014-09-29 17:00:00
6383,Rubin Kazan,Mordovya,3.01519,0.151665,5,0,h,2014-10-20 16:30:00
6391,Rubin Kazan,Dinamo Moscow,1.96237,0.694359,2,0,a,2014-10-27 17:30:00
6351,Rubin Kazan,Amkar,0.970351,0.333673,1,1,h,2014-11-03 13:30:00
6359,Rubin Kazan,FC Krasnodar,0.347577,1.46184,0,2,a,2014-11-09 12:45:00
6361,Rubin Kazan,Ural,3.35238,1.39961,3,1,a,2014-11-22 09:00:00
6375,Rubin Kazan,Dinamo Moscow,1.98625,0.486005,1,1,h,2014-11-30 13:00:00
6332,Rubin Kazan,Zenit St. Petersburg,0.297173,1.39543,0,1,h,2014-12-03 14:45:00
6342,Rubin Kazan,Mordovya,0.934935,0.160882,1,0,a,2014-12-08 14:00:00
6312,Rubin Kazan,Arsenal Tula,0.959013,0.505787,1,0,h,2015-03-09 12:30:00
6320,Rubin Kazan,FK Akhmat,1.61753,0.700016,2,1,h,2015-03-15 15:30:00
6324,Rubin Kazan,FC Rostov,2.18266,0.17014,2,0,h,2015-03-21 11:15:00
6265,Rubin Kazan,Amkar,2.02876,1.03,3,0,a,2015-04-04 10:00:00
6274,Rubin Kazan,FC Krasnodar,1.79575,0.432515,1,2,h,2015-04-07 18:00:00
6282,Rubin Kazan,Zenit St. Petersburg,0.884834,1.62687,1,1,a,2015-04-12 11:30:00
6291,Rubin Kazan,Ural,2.13097,0.28251,2,1,h,2015-04-18 17:00:00
6302,Rubin Kazan,Spartak Moscow,0.245889,1.43082,0,1,a,2015-04-26 11:30:00
6229,Rubin Kazan,Torpedo Moscow,2.20465,0.452394,2,2,a,2015-05-03 16:30:00
6234,Rubin Kazan,Kuban Krasnodar,1.58806,0.377035,1,0,h,2015-05-08 17:00:00
6244,Rubin Kazan,Lokomotiv Moscow,0.663985,1.23943,0,3,a,2015-05-16 17:00:00
6256,Rubin Kazan,CSKA Moscow,0.87442,0.918086,0,3,a,2015-05-25 18:45:00
6262,Rubin Kazan,FC Ufa,1.01244,1.12986,1,1,a,2015-05-30 11:30:00
