,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
6420,Torpedo Moscow,CSKA Moscow,0.578158,3.13827,1,4,a,2014-08-02 18:30:00
6428,Torpedo Moscow,Zenit St. Petersburg,0.971363,5.27931,1,8,a,2014-08-09 14:00:00
6433,Torpedo Moscow,Amkar,0.954046,0.617434,1,1,h,2014-08-12 17:00:00
6441,Torpedo Moscow,Ural,1.24904,1.41621,2,0,a,2014-08-16 14:00:00
6454,Torpedo Moscow,FC Krasnodar,0.850627,0.909639,0,3,h,2014-08-24 13:30:00
6458,Torpedo Moscow,Mordovya,2.44006,1.12186,0,1,a,2014-08-30 11:00:00
6397,Torpedo Moscow,Spartak Moscow,0.696589,2.58205,1,3,a,2014-09-14 10:30:00
6408,Torpedo Moscow,Dinamo Moscow,1.24553,2.31253,1,3,h,2014-09-22 17:00:00
6416,Torpedo Moscow,Rubin Kazan,1.2886,2.01272,1,2,a,2014-09-29 17:00:00
6382,Torpedo Moscow,FC Ufa,0.832131,0.775502,1,1,a,2014-10-20 14:00:00
6386,Torpedo Moscow,Kuban Krasnodar,0.432787,0.838109,0,0,h,2014-10-25 14:00:00
6350,Torpedo Moscow,Arsenal Tula,0.486503,1.34804,0,1,h,2014-11-03 11:00:00
6355,Torpedo Moscow,Lokomotiv Moscow,0.314293,1.27999,0,1,h,2014-11-08 13:00:00
6362,Torpedo Moscow,FC Rostov,2.26135,1.20104,2,1,h,2014-11-22 11:15:00
6373,Torpedo Moscow,Kuban Krasnodar,0.522693,1.37848,1,1,a,2014-11-29 17:15:00
6335,Torpedo Moscow,FK Akhmat,0.848475,0.3184,1,0,a,2014-12-03 17:00:00
6343,Torpedo Moscow,FC Ufa,1.2908,0.850171,2,2,h,2014-12-08 14:00:00
6311,Torpedo Moscow,Amkar,0.108806,0.371689,0,0,a,2015-03-09 10:00:00
6319,Torpedo Moscow,Zenit St. Petersburg,0.470415,0.356423,1,1,h,2015-03-15 13:00:00
6326,Torpedo Moscow,Spartak Moscow,0.435475,0.715619,0,1,h,2015-03-21 16:00:00
6272,Torpedo Moscow,Arsenal Tula,1.24395,0.383771,3,1,a,2015-04-05 18:15:00
6277,Torpedo Moscow,Lokomotiv Moscow,1.09486,2.4246,0,2,a,2015-04-08 18:00:00
6287,Torpedo Moscow,FK Akhmat,0.33724,0.959175,0,0,h,2015-04-13 16:00:00
6296,Torpedo Moscow,FC Rostov,0.258468,1.13835,0,1,a,2015-04-20 17:30:00
6300,Torpedo Moscow,CSKA Moscow,0.763399,0.702854,0,2,h,2015-04-25 14:00:00
6229,Torpedo Moscow,Rubin Kazan,0.452394,2.20465,2,2,h,2015-05-03 16:30:00
6236,Torpedo Moscow,Dinamo Moscow,0.791373,1.24713,0,0,a,2015-05-10 14:00:00
6247,Torpedo Moscow,FC Krasnodar,0.884648,1.68052,2,2,a,2015-05-17 16:30:00
6250,Torpedo Moscow,Ural,1.77211,0.780937,3,1,h,2015-05-23 13:30:00
6263,Torpedo Moscow,Mordovya,3.3362,1.47093,2,0,h,2015-05-30 11:30:00
