,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
10080,RightFoot,OpenPlay,MissedShots,0.0054798186756670475,63,1,4,Semen Fomin,3116,a,Torpedo Moscow,CSKA Moscow,,2014-08-02 18:30:00,6420,2014,"(0.6229999923706054, 0.37099998474121093)"
10066,RightFoot,OpenPlay,ShotOnPost,0.020614219829440117,30,1,4,Semen Fomin,3116,a,Torpedo Moscow,CSKA Moscow,Igor Shevchenko,2014-08-02 18:30:00,6420,2014,"(0.7319999694824219, 0.335)"
10072,RightFoot,OpenPlay,MissedShots,0.014266540296375751,46,1,4,Vadim Steklov,4539,a,Torpedo Moscow,CSKA Moscow,Semen Fomin,2014-08-02 18:30:00,6420,2014,"(0.7769999694824219, 0.205)"
10056,RightFoot,OpenPlay,SavedShot,0.06309063732624054,3,1,4,Igor Shevchenko,4552,a,Torpedo Moscow,CSKA Moscow,,2014-08-02 18:30:00,6420,2014,"(0.8380000305175781, 0.5070000076293946)"
10058,RightFoot,OpenPlay,Goal,0.3389236032962799,4,1,4,Semen Fomin,3116,a,Torpedo Moscow,CSKA Moscow,,2014-08-02 18:30:00,6420,2014,"(0.8780000305175781, 0.4779999923706055)"
10059,RightFoot,OpenPlay,BlockedShot,0.021827692165970802,7,1,4,Igor Shevchenko,4552,a,Torpedo Moscow,CSKA Moscow,Lukás Tesák,2014-08-02 18:30:00,6420,2014,"(0.7869999694824219, 0.720999984741211)"
10055,LeftFoot,OpenPlay,MissedShots,0.014881487004458904,3,1,4,Yuri Kuleshov,4625,a,Torpedo Moscow,CSKA Moscow,,2014-08-02 18:30:00,6420,2014,"(0.7319999694824219, 0.43099998474121093)"
10075,Head,OpenPlay,OwnGoal,0.0,48,1,4,Dmitry Aydov,4622,a,Torpedo Moscow,CSKA Moscow,,2014-08-02 18:30:00,6420,2014,"(0.060999999046325686, 0.5559999847412109)"
10057,RightFoot,OpenPlay,BlockedShot,0.04066582769155502,4,1,4,Sergey Davydov,4627,a,Torpedo Moscow,CSKA Moscow,Aleksey Pugin,2014-08-02 18:30:00,6420,2014,"(0.9269999694824219, 0.265)"
10061,RightFoot,OpenPlay,MissedShots,0.01844159886240959,10,1,4,Igor Shevchenko,4552,a,Torpedo Moscow,CSKA Moscow,Dmitry Aydov,2014-08-02 18:30:00,6420,2014,"(0.740999984741211, 0.759000015258789)"
10070,RightFoot,OpenPlay,BlockedShot,0.01791376620531082,39,1,4,Semen Fomin,3116,a,Torpedo Moscow,CSKA Moscow,,2014-08-02 18:30:00,6420,2014,"(0.735, 0.49)"
10077,RightFoot,OpenPlay,MissedShots,0.035835783928632736,57,1,4,Sergey Davydov,4627,a,Torpedo Moscow,CSKA Moscow,Yuri Kuleshov,2014-08-02 18:30:00,6420,2014,"(0.885, 0.7269999694824218)"
