,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
11422,LeftFoot,OpenPlay,SavedShot,0.09786472469568253,8,4,0,Salomón Rondón,813,a,Zenit St. Petersburg,Arsenal Tula,Domenico Criscito,2014-08-02 16:00:00,6419,2014,"(0.9059999847412109, 0.5509999847412109)"
11435,RightFoot,OpenPlay,BlockedShot,0.08296609669923782,46,4,0,Oleg Shatov,3062,a,Zenit St. Petersburg,Arsenal Tula,Danny,2014-08-02 16:00:00,6419,2014,"(0.894000015258789, 0.6809999847412109)"
11442,RightFoot,OpenPlay,MissedShots,0.430379182100296,66,4,0,Oleg Shatov,3062,a,Zenit St. Petersburg,Arsenal Tula,Danny,2014-08-02 16:00:00,6419,2014,"(0.9359999847412109, 0.6)"
11421,LeftFoot,OpenPlay,BlockedShot,0.03926108777523041,4,4,0,Hulk,3064,a,Zenit St. Petersburg,Arsenal Tula,Salomón Rondón,2014-08-02 16:00:00,6419,2014,"(0.8669999694824219, 0.28399999618530275)"
11428,LeftFoot,FromCorner,MissedShots,0.014802413061261177,26,4,0,Hulk,3064,a,Zenit St. Petersburg,Arsenal Tula,,2014-08-02 16:00:00,6419,2014,"(0.7380000305175781, 0.5709999847412109)"
11429,LeftFoot,OpenPlay,Goal,0.02653396688401699,35,4,0,Hulk,3064,a,Zenit St. Petersburg,Arsenal Tula,Danny,2014-08-02 16:00:00,6419,2014,"(0.7880000305175782, 0.26799999237060546)"
11430,LeftFoot,OpenPlay,MissedShots,0.026861367747187614,37,4,0,Hulk,3064,a,Zenit St. Petersburg,Arsenal Tula,Axel Witsel,2014-08-02 16:00:00,6419,2014,"(0.7480000305175781, 0.4259999847412109)"
11423,LeftFoot,OpenPlay,Goal,0.044809985905885696,8,4,0,Domenico Criscito,3065,a,Zenit St. Petersburg,Arsenal Tula,,2014-08-02 16:00:00,6419,2014,"(0.91, 0.7069999694824218)"
11436,LeftFoot,OpenPlay,BlockedShot,0.01952471397817135,46,4,0,Domenico Criscito,3065,a,Zenit St. Petersburg,Arsenal Tula,Hulk,2014-08-02 16:00:00,6419,2014,"(0.7390000152587891, 0.6990000152587891)"
11444,Head,FromCorner,Goal,0.500861644744873,68,4,0,Domenico Criscito,3065,a,Zenit St. Petersburg,Arsenal Tula,Oleg Shatov,2014-08-02 16:00:00,6419,2014,"(0.9619999694824218, 0.48)"
