,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
70360,RightFoot,OpenPlay,SavedShot,0.3117036819458008,35,1,2,Aleksey Ionov,2751,a,Dinamo Moscow,Zenit St. Petersburg,Balázs Dzsudzsák,2015-07-19 14:30:00,2352,2015,"(0.8930000305175781, 0.34799999237060547)"
70358,LeftFoot,OpenPlay,MissedShots,0.012341920286417007,30,1,2,Balázs Dzsudzsák,3187,a,Dinamo Moscow,Zenit St. Petersburg,Anton Sosnin,2015-07-19 14:30:00,2352,2015,"(0.6730000305175782, 0.2720000076293945)"
70372,LeftFoot,OpenPlay,MissedShots,0.04032549262046814,74,1,2,Aleksandr Kokorin,3066,a,Dinamo Moscow,Zenit St. Petersburg,,2015-07-19 14:30:00,2352,2015,"(0.8119999694824219, 0.4209999847412109)"
70356,RightFoot,OpenPlay,Goal,0.40771180391311646,27,1,2,Aleksandr Kokorin,3066,a,Dinamo Moscow,Zenit St. Petersburg,Aleksey Ionov,2015-07-19 14:30:00,2352,2015,"(0.855, 0.4470000076293945)"
70364,RightFoot,OpenPlay,MissedShots,0.06421848386526108,50,1,2,Roman Zobnin,2750,a,Dinamo Moscow,Zenit St. Petersburg,,2015-07-19 14:30:00,2352,2015,"(0.8069999694824219, 0.46900001525878904)"
70444,RightFoot,OpenPlay,MissedShots,0.01337161660194397,73,2,2,William Vainqueur,1944,h,Dinamo Moscow,Mordovya,Mathieu Valbuena,2015-07-25 19:30:00,2359,2015,"(0.7069999694824218, 0.5279999923706055)"
70427,RightFoot,OpenPlay,BlockedShot,0.06407889723777771,26,2,2,Roman Zobnin,2750,h,Dinamo Moscow,Mordovya,Mathieu Valbuena,2015-07-25 19:30:00,2359,2015,"(0.8640000152587891, 0.6959999847412109)"
70440,RightFoot,OpenPlay,MissedShots,0.012774859555065632,55,2,2,Roman Zobnin,2750,h,Dinamo Moscow,Mordovya,,2015-07-25 19:30:00,2359,2015,"(0.6909999847412109, 0.3920000076293945)"
70423,LeftFoot,OpenPlay,Goal,0.3402698040008545,11,2,2,Aleksey Ionov,2751,h,Dinamo Moscow,Mordovya,Aleksei Kozlov,2015-07-25 19:30:00,2359,2015,"(0.924000015258789, 0.43900001525878907)"
70429,RightFoot,OpenPlay,BlockedShot,0.03189662843942642,32,2,2,Aleksey Ionov,2751,h,Dinamo Moscow,Mordovya,,2015-07-25 19:30:00,2359,2015,"(0.745999984741211, 0.5770000076293945)"
70442,RightFoot,OpenPlay,SavedShot,0.061507660895586014,57,2,2,Aleksey Ionov,2751,h,Dinamo Moscow,Mordovya,Mathieu Valbuena,2015-07-25 19:30:00,2359,2015,"(0.89, 0.30100000381469727)"
70422,RightFoot,OpenPlay,MissedShots,0.011514524929225445,10,2,2,Vitali Djakov,2757,h,Dinamo Moscow,Mordovya,Igor Denisov,2015-07-25 19:30:00,2359,2015,"(0.7340000152587891, 0.2560000038146973)"
70435,Head,FromCorner,MissedShots,0.053026944398880005,46,2,2,Vitali Djakov,2757,h,Dinamo Moscow,Mordovya,Mathieu Valbuena,2015-07-25 19:30:00,2359,2015,"(0.9159999847412109, 0.42700000762939455)"
70431,LeftFoot,OpenPlay,SavedShot,0.09842964261770248,37,2,2,Yuri Zhirkov,3058,h,Dinamo Moscow,Mordovya,Aleksey Ionov,2015-07-25 19:30:00,2359,2015,"(0.8690000152587891, 0.38)"
70445,LeftFoot,OpenPlay,BlockedShot,0.021124379709362984,76,2,2,Yuri Zhirkov,3058,h,Dinamo Moscow,Mordovya,Aleksey Ionov,2015-07-25 19:30:00,2359,2015,"(0.735, 0.595999984741211)"
70432,Head,SetPiece,MissedShots,0.04856017231941223,40,2,2,Aleksandr Kokorin,3066,h,Dinamo Moscow,Mordovya,Mathieu Valbuena,2015-07-25 19:30:00,2359,2015,"(0.8919999694824219, 0.5609999847412109)"
70447,LeftFoot,OpenPlay,BlockedShot,0.09000609815120697,78,2,2,Aleksandr Kokorin,3066,h,Dinamo Moscow,Mordovya,Yuri Zhirkov,2015-07-25 19:30:00,2359,2015,"(0.8690000152587891, 0.595999984741211)"
70448,RightFoot,OpenPlay,BlockedShot,0.0737810730934143,79,2,2,Aleksandr Kokorin,3066,h,Dinamo Moscow,Mordovya,Aleksey Ionov,2015-07-25 19:30:00,2359,2015,"(0.855, 0.365)"
70451,Head,OpenPlay,MissedShots,0.0349125862121582,84,2,2,Aleksandr Kokorin,3066,h,Dinamo Moscow,Mordovya,Yuri Zhirkov,2015-07-25 19:30:00,2359,2015,"(0.8880000305175781, 0.5379999923706055)"
70453,RightFoot,OpenPlay,MissedShots,0.03363092616200447,88,2,2,Aleksandr Kokorin,3066,h,Dinamo Moscow,Mordovya,William Vainqueur,2015-07-25 19:30:00,2359,2015,"(0.8080000305175781, 0.3529999923706055)"
70425,RightFoot,DirectFreekick,SavedShot,0.0429457426071167,20,2,2,Mathieu Valbuena,3186,h,Dinamo Moscow,Mordovya,,2015-07-25 19:30:00,2359,2015,"(0.7980000305175782, 0.7769999694824219)"
70428,RightFoot,Penalty,Goal,0.7542753219604492,27,2,2,Mathieu Valbuena,3186,h,Dinamo Moscow,Mordovya,,2015-07-25 19:30:00,2359,2015,"(0.885, 0.5)"
70454,RightFoot,OpenPlay,MissedShots,0.021182140335440636,89,2,2,Mathieu Valbuena,3186,h,Dinamo Moscow,Mordovya,Igor Denisov,2015-07-25 19:30:00,2359,2015,"(0.795, 0.27700000762939453)"
