,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
2351,FC Rostov,FK Akhmat,0.826853,0.814127,1,1,h,2015-07-18 22:00:00
2358,FC Rostov,FC Ufa,1.0611,0.995154,2,1,a,2015-07-25 17:00:00
2371,FC Rostov,FC Krasnodar,1.05419,1.07707,0,0,h,2015-08-02 21:00:00
2379,FC Rostov,Rubin Kazan,3.97379,0.374575,3,0,a,2015-08-10 19:00:00
2387,FC Rostov,Krylya Sovetov Samara,1.29575,1.48296,1,1,h,2015-08-16 21:00:00
2391,FC Rostov,CSKA Moscow,0.662159,1.49005,1,2,a,2015-08-22 19:00:00
2398,FC Rostov,Amkar,1.92461,0.110455,1,0,h,2015-08-28 21:00:00
2408,FC Rostov,Spartak Moscow,0.582656,0.584594,0,1,a,2015-09-13 14:30:00
2413,FC Rostov,Anzhi Makhachkala,0.806301,1.06202,1,0,h,2015-09-18 20:00:00
2428,FC Rostov,Kuban Krasnodar,1.60065,1.0957,2,1,h,2015-09-28 20:00:00
2431,FC Rostov,Zenit St. Petersburg,0.184727,1.46158,0,3,a,2015-10-03 18:00:00
2444,FC Rostov,Mordovya,1.10501,0.636633,3,2,h,2015-10-19 20:00:00
2452,FC Rostov,Lokomotiv Moscow,0.870773,1.18618,2,0,a,2015-10-26 20:30:00
2460,FC Rostov,Dinamo Moscow,1.58694,0.600473,1,0,h,2015-11-02 20:30:00
2462,FC Rostov,Ural,0.534924,0.720972,2,1,a,2015-11-07 15:00:00
2476,FC Rostov,FC Ufa,1.08474,0.896607,1,1,h,2015-11-23 20:00:00
2483,FC Rostov,FC Krasnodar,1.01818,2.5869,1,2,a,2015-11-30 20:00:00
2489,FC Rostov,Rubin Kazan,1.20831,1.0584,1,0,h,2015-12-04 20:00:00
2493,FC Rostov,Krylya Sovetov Samara,1.51599,1.18736,1,0,a,2016-03-05 15:30:00
2504,FC Rostov,CSKA Moscow,1.9087,0.356949,2,0,h,2016-03-12 20:30:00
2509,FC Rostov,Amkar,0.40198,1.02608,0,0,a,2016-03-18 18:00:00
2520,FC Rostov,Spartak Moscow,1.42092,1.37585,2,0,h,2016-04-02 20:30:00
2525,FC Rostov,Anzhi Makhachkala,0.942416,0.409266,0,0,a,2016-04-08 20:00:00
2539,FC Rostov,Kuban Krasnodar,1.75833,0.244687,1,0,a,2016-04-17 20:30:00
2548,FC Rostov,Zenit St. Petersburg,0.956474,0.927168,3,0,h,2016-04-24 20:30:00
2554,FC Rostov,Mordovya,0.931653,1.28461,1,2,a,2016-05-01 15:30:00
2558,FC Rostov,Lokomotiv Moscow,0.537031,0.540885,2,1,h,2016-05-06 20:30:00
2572,FC Rostov,Dinamo Moscow,1.89163,0.749465,3,1,a,2016-05-12 20:30:00
2579,FC Rostov,Ural,1.32146,0.0871678,1,0,h,2016-05-16 20:30:00
2585,FC Rostov,FK Akhmat,2.26031,0.909559,2,0,a,2016-05-21 14:30:00
