,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
2353,Mordovya,Lokomotiv Moscow,1.12248,1.18282,0,1,h,2015-07-19 19:00:00
2359,Mordovya,Dinamo Moscow,1.77153,1.93743,2,2,a,2015-07-25 19:30:00
2370,Mordovya,Ural,0.389458,1.56182,1,1,h,2015-08-02 18:00:00
2373,Mordovya,FK Akhmat,0.416573,1.09587,0,0,a,2015-08-07 20:00:00
2388,Mordovya,FC Ufa,1.38137,0.677223,0,1,h,2015-08-17 20:00:00
2394,Mordovya,FC Krasnodar,0.337717,1.55153,0,0,a,2015-08-23 21:00:00
2403,Mordovya,Rubin Kazan,3.16189,0.529749,2,1,h,2015-08-30 18:00:00
2412,Mordovya,Krylya Sovetov Samara,0.44895,1.05967,0,1,a,2015-09-14 19:30:00
2416,Mordovya,CSKA Moscow,2.13964,1.91846,4,6,h,2015-09-20 14:30:00
2427,Mordovya,Amkar,1.27513,1.09586,1,2,a,2015-09-28 17:30:00
2430,Mordovya,Spartak Moscow,0.474442,1.13125,0,1,h,2015-10-03 15:30:00
2444,Mordovya,FC Rostov,0.636633,1.10501,2,3,a,2015-10-19 20:00:00
2447,Mordovya,Kuban Krasnodar,2.19879,0.831405,1,1,h,2015-10-24 15:30:00
2454,Mordovya,Zenit St. Petersburg,0.314909,1.68455,0,0,a,2015-10-31 18:00:00
2461,Mordovya,Anzhi Makhachkala,1.87958,0.90302,4,0,h,2015-11-06 20:00:00
2473,Mordovya,Dinamo Moscow,0.557214,0.36206,1,1,h,2015-11-22 15:30:00
2477,Mordovya,Ural,0.665628,2.48511,1,3,a,2015-11-27 18:00:00
2486,Mordovya,FK Akhmat,0.471027,0.372356,0,0,h,2015-12-03 20:00:00
2496,Mordovya,FC Ufa,1.86734,1.33023,1,1,a,2016-03-06 15:30:00
2505,Mordovya,FC Krasnodar,1.99788,0.805481,0,1,h,2016-03-13 15:30:00
2515,Mordovya,Rubin Kazan,1.25167,0.58077,1,1,a,2016-03-20 18:00:00
2523,Mordovya,Krylya Sovetov Samara,0.384433,1.75928,1,2,h,2016-04-04 20:00:00
2526,Mordovya,CSKA Moscow,0.352277,2.27809,1,7,a,2016-04-09 14:30:00
2533,Mordovya,Amkar,0.927642,0.382738,1,1,h,2016-04-15 20:00:00
2542,Mordovya,Spartak Moscow,1.43406,1.90967,2,2,a,2016-04-23 18:00:00
2554,Mordovya,FC Rostov,1.28461,0.931653,2,1,h,2016-05-01 15:30:00
2561,Mordovya,Kuban Krasnodar,0.485436,0.615194,2,1,a,2016-05-07 18:00:00
2568,Mordovya,Zenit St. Petersburg,0.420312,2.6887,0,3,h,2016-05-11 20:30:00
2574,Mordovya,Anzhi Makhachkala,0.208277,0.876394,0,3,a,2016-05-15 18:00:00
2588,Mordovya,Lokomotiv Moscow,0.961395,3.24676,0,3,a,2016-05-21 14:30:00
