,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
70392,RightFoot,OpenPlay,SavedShot,0.014664783142507076,66,0,1,Dalibor Stevanovic,3033,h,Mordovya,Lokomotiv Moscow,Damien Le Tallec,2015-07-19 19:00:00,2353,2015,"(0.7269999694824218, 0.365)"
70386,Head,SetPiece,MissedShots,0.030240876600146294,46,0,1,Evgeni Lutsenko,3035,h,Mordovya,Lokomotiv Moscow,Oleg Vlasov,2015-07-19 19:00:00,2353,2015,"(0.9009999847412109, 0.455)"
70377,LeftFoot,FromCorner,MissedShots,0.012244519777595997,15,0,1,Ruslan Nakhushev,3030,h,Mordovya,Lokomotiv Moscow,,2015-07-19 19:00:00,2353,2015,"(0.6930000305175781, 0.4329999923706055)"
70396,Head,OpenPlay,MissedShots,0.07840706408023834,73,0,1,Dalibor Stevanovic,3033,h,Mordovya,Lokomotiv Moscow,Evgeni Lutsenko,2015-07-19 19:00:00,2353,2015,"(0.9469999694824218, 0.415)"
70403,LeftFoot,DirectFreekick,ShotOnPost,0.054344967007637024,89,0,1,Ruslan Nakhushev,3030,h,Mordovya,Lokomotiv Moscow,,2015-07-19 19:00:00,2353,2015,"(0.7419999694824219, 0.4540000152587891)"
70376,LeftFoot,OpenPlay,MissedShots,0.2348177134990692,11,0,1,Evgeni Lutsenko,3035,h,Mordovya,Lokomotiv Moscow,Aslan Dudiev,2015-07-19 19:00:00,2353,2015,"(0.9259999847412109, 0.3340000152587891)"
70384,Head,OpenPlay,MissedShots,0.058371927589178085,34,0,1,Mitchell Donald,3193,h,Mordovya,Lokomotiv Moscow,Evgeniy Gapon,2015-07-19 19:00:00,2353,2015,"(0.8969999694824219, 0.55)"
70374,RightFoot,OpenPlay,MissedShots,0.025515565648674965,4,0,1,Oleg Vlasov,3038,h,Mordovya,Lokomotiv Moscow,,2015-07-19 19:00:00,2353,2015,"(0.8130000305175781, 0.2929999923706055)"
70375,LeftFoot,OpenPlay,SavedShot,0.05541213974356651,4,0,1,Evgeni Lutsenko,3035,h,Mordovya,Lokomotiv Moscow,,2015-07-19 19:00:00,2353,2015,"(0.825999984741211, 0.52)"
70393,RightFoot,FromCorner,MissedShots,0.014603763818740845,68,0,1,Aslan Dudiev,3034,h,Mordovya,Lokomotiv Moscow,,2015-07-19 19:00:00,2353,2015,"(0.7430000305175781, 0.38799999237060545)"
70398,RightFoot,OpenPlay,MissedShots,0.02531137317419052,80,0,1,Aleksey Ivanov,3047,h,Mordovya,Lokomotiv Moscow,Ruslan Mukhametshin,2015-07-19 19:00:00,2353,2015,"(0.835, 0.3160000038146973)"
70404,Head,SetPiece,MissedShots,0.11286088824272156,90,0,1,Vladimir Rykov,3053,h,Mordovya,Lokomotiv Moscow,Ruslan Nakhushev,2015-07-19 19:00:00,2353,2015,"(0.915, 0.4759999847412109)"
70378,RightFoot,OpenPlay,MissedShots,0.019336819648742676,17,0,1,Aslan Dudiev,3034,h,Mordovya,Lokomotiv Moscow,Dmitri Sysuev,2015-07-19 19:00:00,2353,2015,"(0.789000015258789, 0.6680000305175782)"
70402,RightFoot,OpenPlay,BlockedShot,0.012226652354001999,88,0,1,Damien Le Tallec,3118,h,Mordovya,Lokomotiv Moscow,Ruslan Mukhametshin,2015-07-19 19:00:00,2353,2015,"(0.6869999694824219, 0.4329999923706055)"
70382,RightFoot,OpenPlay,MissedShots,0.3202762305736542,28,0,1,Mitchell Donald,3193,h,Mordovya,Lokomotiv Moscow,Aleksey Ivanov,2015-07-19 19:00:00,2353,2015,"(0.9030000305175782, 0.47200000762939454)"
70399,Head,OpenPlay,MissedShots,0.027214325964450836,82,0,1,Evgeni Lutsenko,3035,h,Mordovya,Lokomotiv Moscow,Aleksey Ivanov,2015-07-19 19:00:00,2353,2015,"(0.9359999847412109, 0.5940000152587891)"
70388,Head,OpenPlay,MissedShots,0.026625705882906914,56,0,1,Evgeni Lutsenko,3035,h,Mordovya,Lokomotiv Moscow,Oleg Vlasov,2015-07-19 19:00:00,2353,2015,"(0.8780000305175781, 0.534000015258789)"
70443,RightFoot,OpenPlay,BlockedShot,0.013084533624351025,70,2,2,Dalibor Stevanovic,3033,a,Mordovya,Dinamo Moscow,Evgeniy Gapon,2015-07-25 19:30:00,2359,2015,"(0.6940000152587891, 0.524000015258789)"
70450,RightFoot,OpenPlay,BlockedShot,0.04237743467092514,83,2,2,Dmitri Sysuev,2908,a,Mordovya,Dinamo Moscow,Evgeni Lutsenko,2015-07-25 19:30:00,2359,2015,"(0.8859999847412109, 0.700999984741211)"
70426,LeftFoot,OpenPlay,Goal,0.12116899341344833,23,2,2,Evgeni Lutsenko,3035,a,Mordovya,Dinamo Moscow,Aslan Dudiev,2015-07-25 19:30:00,2359,2015,"(0.9330000305175781, 0.46599998474121096)"
70439,RightFoot,OpenPlay,SavedShot,0.03298397362232208,49,2,2,Ruslan Mukhametshin,3036,a,Mordovya,Dinamo Moscow,Igor Shitov,2015-07-25 19:30:00,2359,2015,"(0.8009999847412109, 0.645)"
70441,RightFoot,OpenPlay,BlockedShot,0.4700745940208435,56,2,2,Ruslan Mukhametshin,3036,a,Mordovya,Dinamo Moscow,Anton Bober,2015-07-25 19:30:00,2359,2015,"(0.914000015258789, 0.4759999847412109)"
70424,LeftFoot,OpenPlay,MissedShots,0.05218019708991051,15,2,2,Oleg Vlasov,3038,a,Mordovya,Dinamo Moscow,Aslan Dudiev,2015-07-25 19:30:00,2359,2015,"(0.889000015258789, 0.6659999847412109)"
70436,RightFoot,DirectFreekick,ShotOnPost,0.049224574118852615,47,2,2,Anton Bober,3045,a,Mordovya,Dinamo Moscow,,2015-07-25 19:30:00,2359,2015,"(0.779000015258789, 0.715)"
70437,RightFoot,SetPiece,ShotOnPost,0.10119210183620453,47,2,2,Vladimir Rykov,3053,a,Mordovya,Dinamo Moscow,Evgeni Lutsenko,2015-07-25 19:30:00,2359,2015,"(0.875999984741211, 0.44099998474121094)"
70452,RightFoot,DirectFreekick,MissedShots,0.0255160890519619,86,2,2,Vladimir Rykov,3053,a,Mordovya,Dinamo Moscow,,2015-07-25 19:30:00,2359,2015,"(0.6919999694824219, 0.7519999694824219)"
70420,Head,FromCorner,BlockedShot,0.059424322098493576,6,2,2,Evgeni Lutsenko,3035,a,Mordovya,Dinamo Moscow,Anton Bober,2015-07-25 19:30:00,2359,2015,"(0.9619999694824218, 0.40599998474121096)"
