,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
70254,RightFoot,OpenPlay,BlockedShot,0.07859586924314499,4,2,2,Jurado,582,h,Spartak Moscow,FC Ufa,Ivelin Popov,2015-07-17 20:00:00,2349,2015,"(0.915, 0.61)"
70285,RightFoot,OpenPlay,BlockedShot,0.01391290407627821,76,2,2,Denis Glushakov,2814,h,Spartak Moscow,FC Ufa,Roman Shirokov,2015-07-17 20:00:00,2349,2015,"(0.7069999694824218, 0.40599998474121096)"
70259,RightFoot,OpenPlay,BlockedShot,0.042143210768699646,13,2,2,Yura Movsisyan,3127,h,Spartak Moscow,FC Ufa,Roman Shirokov,2015-07-17 20:00:00,2349,2015,"(0.8580000305175781, 0.32099998474121094)"
70284,RightFoot,OpenPlay,BlockedShot,0.0639963448047638,70,2,2,Roman Shirokov,2891,h,Spartak Moscow,FC Ufa,Evgeni Makeev,2015-07-17 20:00:00,2349,2015,"(0.88, 0.34400001525878904)"
70278,RightFoot,OpenPlay,MissedShots,0.020792309194803238,52,2,2,Roman Shirokov,2891,h,Spartak Moscow,FC Ufa,Dmitri Kombarov,2015-07-17 20:00:00,2349,2015,"(0.735, 0.524000015258789)"
70255,RightFoot,OpenPlay,BlockedShot,0.08467985689640045,4,2,2,Roman Shirokov,2891,h,Spartak Moscow,FC Ufa,,2015-07-17 20:00:00,2349,2015,"(0.8640000152587891, 0.5359999847412109)"
70286,LeftFoot,DirectFreekick,BlockedShot,0.04244629666209221,77,2,2,Dmitri Kombarov,2821,h,Spartak Moscow,FC Ufa,,2015-07-17 20:00:00,2349,2015,"(0.7290000152587891, 0.3840000152587891)"
70256,RightFoot,OpenPlay,SavedShot,0.3744776248931885,6,2,2,Quincy Promes,2815,h,Spartak Moscow,FC Ufa,,2015-07-17 20:00:00,2349,2015,"(0.93, 0.3940000152587891)"
70260,RightFoot,OpenPlay,BlockedShot,0.02312113158404827,13,2,2,Quincy Promes,2815,h,Spartak Moscow,FC Ufa,Ivelin Popov,2015-07-17 20:00:00,2349,2015,"(0.754000015258789, 0.45799999237060546)"
70281,RightFoot,OpenPlay,SavedShot,0.12901513278484344,60,2,2,Quincy Promes,2815,h,Spartak Moscow,FC Ufa,Denis Glushakov,2015-07-17 20:00:00,2349,2015,"(0.8209999847412109, 0.52)"
70280,RightFoot,OpenPlay,SavedShot,0.01831851340830326,59,2,2,Denis Glushakov,2814,h,Spartak Moscow,FC Ufa,Ivelin Popov,2015-07-17 20:00:00,2349,2015,"(0.8019999694824219, 0.26899999618530274)"
70294,Head,OpenPlay,MissedShots,0.0584915466606617,89,2,2,Zé Luís,2818,h,Spartak Moscow,FC Ufa,Dmitri Kombarov,2015-07-17 20:00:00,2349,2015,"(0.8859999847412109, 0.49)"
70290,LeftFoot,OpenPlay,MissedShots,0.11254353821277618,82,2,2,Zé Luís,2818,h,Spartak Moscow,FC Ufa,Denis Glushakov,2015-07-17 20:00:00,2349,2015,"(0.8330000305175781, 0.5529999923706055)"
70287,RightFoot,OpenPlay,SavedShot,0.5752363204956055,78,2,2,Zé Luís,2818,h,Spartak Moscow,FC Ufa,Quincy Promes,2015-07-17 20:00:00,2349,2015,"(0.9519999694824218, 0.509000015258789)"
70288,RightFoot,FromCorner,Goal,0.1139373630285263,78,2,2,Zé Luís,2818,h,Spartak Moscow,FC Ufa,Dmitri Kombarov,2015-07-17 20:00:00,2349,2015,"(0.9269999694824219, 0.5320000076293945)"
70277,RightFoot,OpenPlay,BlockedShot,0.026298698037862778,50,2,2,Ivelin Popov,2817,h,Spartak Moscow,FC Ufa,Salvatore Bocchetti,2015-07-17 20:00:00,2349,2015,"(0.7719999694824219, 0.5929999923706055)"
70257,LeftFoot,SetPiece,MissedShots,0.012986264191567898,8,2,2,Denis Glushakov,2814,h,Spartak Moscow,FC Ufa,,2015-07-17 20:00:00,2349,2015,"(0.754000015258789, 0.625)"
70261,Head,OpenPlay,MissedShots,0.00909755751490593,17,2,2,Serdar Tasci,2650,h,Spartak Moscow,FC Ufa,Roman Shirokov,2015-07-17 20:00:00,2349,2015,"(0.8959999847412109, 0.65)"
70262,RightFoot,FromCorner,MissedShots,0.02876269817352295,17,2,2,Jurado,582,h,Spartak Moscow,FC Ufa,Roman Shirokov,2015-07-17 20:00:00,2349,2015,"(0.8090000152587891, 0.635)"
70267,RightFoot,FromCorner,MissedShots,0.013776072300970554,32,2,2,Jurado,582,h,Spartak Moscow,FC Ufa,,2015-07-17 20:00:00,2349,2015,"(0.7630000305175781, 0.639000015258789)"
70269,RightFoot,OpenPlay,ShotOnPost,0.02155870385468006,36,2,2,Jurado,582,h,Spartak Moscow,FC Ufa,Dmitri Kombarov,2015-07-17 20:00:00,2349,2015,"(0.8080000305175781, 0.7530000305175781)"
70270,RightFoot,OpenPlay,BlockedShot,0.056324537843465805,38,2,2,Jurado,582,h,Spartak Moscow,FC Ufa,,2015-07-17 20:00:00,2349,2015,"(0.8880000305175781, 0.66)"
70273,RightFoot,OpenPlay,MissedShots,0.006891587749123573,42,2,2,Jurado,582,h,Spartak Moscow,FC Ufa,Serdar Tasci,2015-07-17 20:00:00,2349,2015,"(0.6980000305175781, 0.27100000381469724)"
70275,RightFoot,OpenPlay,SavedShot,0.03394506499171257,45,2,2,Jurado,582,h,Spartak Moscow,FC Ufa,Dmitri Kombarov,2015-07-17 20:00:00,2349,2015,"(0.7769999694824219, 0.500999984741211)"
70293,RightFoot,OpenPlay,MissedShots,0.018999388441443443,88,2,2,Denis Davydov,3130,h,Spartak Moscow,FC Ufa,Quincy Promes,2015-07-17 20:00:00,2349,2015,"(0.7909999847412109, 0.6909999847412109)"
70264,RightFoot,FromCorner,Goal,0.9339673519134521,23,2,2,Serdar Tasci,2650,h,Spartak Moscow,FC Ufa,,2015-07-17 20:00:00,2349,2015,"(0.9790000152587891, 0.509000015258789)"
70292,RightFoot,OpenPlay,MissedShots,0.03095913492143154,84,2,2,Denis Davydov,3130,h,Spartak Moscow,FC Ufa,Jano Ananidze,2015-07-17 20:00:00,2349,2015,"(0.7819999694824219, 0.41200000762939454)"
70289,RightFoot,OpenPlay,MissedShots,0.023268915712833405,81,2,2,Denis Davydov,3130,h,Spartak Moscow,FC Ufa,,2015-07-17 20:00:00,2349,2015,"(0.830999984741211, 0.45)"
70291,RightFoot,OpenPlay,SavedShot,0.051535699516534805,84,2,2,Denis Davydov,3130,h,Spartak Moscow,FC Ufa,Quincy Promes,2015-07-17 20:00:00,2349,2015,"(0.8580000305175781, 0.68)"
70271,RightFoot,FromCorner,MissedShots,0.03256102278828621,40,2,2,Ivelin Popov,2817,h,Spartak Moscow,FC Ufa,,2015-07-17 20:00:00,2349,2015,"(0.8080000305175781, 0.4979999923706055)"
70268,RightFoot,FromCorner,BlockedShot,0.02322934940457344,35,2,2,Ivelin Popov,2817,h,Spartak Moscow,FC Ufa,,2015-07-17 20:00:00,2349,2015,"(0.9269999694824219, 0.2520000076293945)"
70263,Head,FromCorner,SavedShot,0.3868168592453003,23,2,2,Ivelin Popov,2817,h,Spartak Moscow,FC Ufa,Roman Shirokov,2015-07-17 20:00:00,2349,2015,"(0.9630000305175781, 0.5629999923706055)"
