,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
2356,Ural,Kuban Krasnodar,2.27953,0.43496,2,0,a,2015-07-20 21:00:00
2361,Ural,Zenit St. Petersburg,1.25307,2.33464,1,4,h,2015-07-26 14:30:00
2370,Ural,Mordovya,1.56182,0.389458,1,1,a,2015-08-02 18:00:00
2374,Ural,Lokomotiv Moscow,0.718559,2.56424,1,3,h,2015-08-08 18:00:00
2386,Ural,Dinamo Moscow,1.03033,0.662058,0,1,a,2015-08-16 18:00:00
2392,Ural,Anzhi Makhachkala,0.778051,1.9344,1,1,a,2015-08-22 21:30:00
2397,Ural,FK Akhmat,1.92437,1.60035,3,3,h,2015-08-28 18:00:00
2411,Ural,FC Ufa,0.490608,0.428044,1,0,a,2015-09-14 17:00:00
2419,Ural,FC Krasnodar,1.52104,0.860796,3,1,h,2015-09-21 17:30:00
2426,Ural,Rubin Kazan,0.90848,0.987041,2,1,a,2015-09-27 20:00:00
2429,Ural,Krylya Sovetov Samara,0.743482,1.1132,1,1,h,2015-10-02 18:00:00
2437,Ural,CSKA Moscow,0.790266,1.88966,2,3,a,2015-10-17 15:00:00
2446,Ural,Amkar,2.2082,0.86786,3,1,h,2015-10-24 13:00:00
2458,Ural,Spartak Moscow,1.49378,0.713115,1,0,a,2015-11-01 20:30:00
2462,Ural,FC Rostov,0.720972,0.534924,1,2,h,2015-11-07 15:00:00
2471,Ural,Zenit St. Petersburg,0.134135,1.02059,0,3,a,2015-11-21 17:30:00
2477,Ural,Mordovya,2.48511,0.665628,3,1,h,2015-11-27 18:00:00
2491,Ural,Lokomotiv Moscow,0.953159,2.64183,2,2,a,2015-12-04 20:00:00
2499,Ural,Dinamo Moscow,0.635579,1.33651,1,1,h,2016-03-07 15:30:00
2502,Ural,Anzhi Makhachkala,1.27263,0.701237,4,2,h,2016-03-12 15:30:00
2512,Ural,FK Akhmat,0.857111,2.46872,1,1,a,2016-03-19 18:00:00
2517,Ural,FC Ufa,0.769197,0.272525,1,0,h,2016-04-02 13:00:00
2530,Ural,FC Krasnodar,0.956799,3.36367,0,6,a,2016-04-10 18:00:00
2540,Ural,Rubin Kazan,1.04248,0.714663,0,1,h,2016-04-18 18:00:00
2541,Ural,Krylya Sovetov Samara,0.42544,0.952298,1,1,a,2016-04-23 15:30:00
2549,Ural,CSKA Moscow,0.0558242,2.93974,0,3,h,2016-04-28 18:00:00
2563,Ural,Amkar,0.663243,0.689845,1,1,a,2016-05-08 15:30:00
2570,Ural,Spartak Moscow,0.38505,0.919286,0,1,h,2016-05-12 18:00:00
2579,Ural,FC Rostov,0.0871678,1.32146,0,1,a,2016-05-16 20:30:00
2586,Ural,Kuban Krasnodar,1.67679,0.911888,2,0,h,2016-05-21 14:30:00
