,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
2352,Zenit St. Petersburg,Dinamo Moscow,2.40228,0.836301,2,1,h,2015-07-19 14:30:00
2361,Zenit St. Petersburg,Ural,2.33464,1.25307,4,1,a,2015-07-26 14:30:00
2367,Zenit St. Petersburg,FK Akhmat,3.28239,0.477496,3,0,h,2015-08-01 18:00:00
2377,Zenit St. Petersburg,FC Ufa,2.85495,0.353812,1,0,a,2015-08-09 17:00:00
2383,Zenit St. Petersburg,FC Krasnodar,0.56666,0.719358,0,2,h,2015-08-15 17:30:00
2395,Zenit St. Petersburg,Rubin Kazan,1.60971,0.773428,3,1,a,2015-08-24 20:00:00
2400,Zenit St. Petersburg,Krylya Sovetov Samara,1.83406,1.15201,1,3,h,2015-08-29 18:00:00
2405,Zenit St. Petersburg,CSKA Moscow,1.24357,1.66696,2,2,a,2015-09-12 15:00:00
2417,Zenit St. Petersburg,Amkar,2.18703,0.820751,1,1,h,2015-09-20 18:00:00
2423,Zenit St. Petersburg,Spartak Moscow,1.7383,1.00222,2,2,a,2015-09-26 20:00:00
2431,Zenit St. Petersburg,FC Rostov,1.46158,0.184727,3,0,h,2015-10-03 18:00:00
2439,Zenit St. Petersburg,Kuban Krasnodar,1.75192,1.40546,2,2,a,2015-10-17 17:30:00
2448,Zenit St. Petersburg,Anzhi Makhachkala,3.33146,1.06016,5,1,h,2015-10-24 18:00:00
2454,Zenit St. Petersburg,Mordovya,1.68455,0.314909,0,0,h,2015-10-31 18:00:00
2468,Zenit St. Petersburg,Lokomotiv Moscow,1.18029,0.690045,0,2,a,2015-11-08 20:30:00
2471,Zenit St. Petersburg,Ural,1.02059,0.134135,3,0,h,2015-11-21 17:30:00
2480,Zenit St. Petersburg,FK Akhmat,1.08147,2.73194,1,4,a,2015-11-28 18:30:00
2487,Zenit St. Petersburg,FC Ufa,3.40755,0.428548,1,1,h,2015-12-03 20:00:00
2495,Zenit St. Petersburg,FC Krasnodar,0.603571,0.842128,0,0,a,2016-03-05 20:30:00
2507,Zenit St. Petersburg,Rubin Kazan,2.57608,0.903799,4,2,h,2016-03-13 20:30:00
2514,Zenit St. Petersburg,Krylya Sovetov Samara,1.34043,0.588111,2,0,a,2016-03-20 15:30:00
2522,Zenit St. Petersburg,CSKA Moscow,1.46398,0.294711,2,0,h,2016-04-03 20:30:00
2527,Zenit St. Petersburg,Amkar,1.81325,0.748996,2,0,a,2016-04-09 15:30:00
2536,Zenit St. Petersburg,Spartak Moscow,2.72125,1.76943,5,2,h,2016-04-16 20:30:00
2548,Zenit St. Petersburg,FC Rostov,0.927168,0.956474,0,3,a,2016-04-24 20:30:00
2550,Zenit St. Petersburg,Kuban Krasnodar,2.69676,0.147224,4,1,h,2016-04-28 20:30:00
2560,Zenit St. Petersburg,Anzhi Makhachkala,0.721491,0.178789,1,0,a,2016-05-07 18:00:00
2568,Zenit St. Petersburg,Mordovya,2.6887,0.420312,3,0,a,2016-05-11 20:30:00
2575,Zenit St. Petersburg,Lokomotiv Moscow,1.31479,1.04631,1,1,h,2016-05-15 20:00:00
2587,Zenit St. Petersburg,Dinamo Moscow,3.4542,0.367119,3,0,a,2016-05-21 14:30:00
