,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
2594,FK Akhmat,Krylya Sovetov Samara,1.38884,0.290146,1,0,h,2016-07-31 21:30:00
2603,FK Akhmat,FC Krasnodar,0.381362,1.78248,0,4,a,2016-08-08 20:30:00
2611,FK Akhmat,Lokomotiv Moscow,1.13773,0.356966,1,1,h,2016-08-14 21:30:00
2614,FK Akhmat,FC Ufa,0.964337,0.45471,3,1,a,2016-08-20 15:30:00
2626,FK Akhmat,FC Rostov,1.36067,0.204316,2,1,h,2016-08-28 20:15:00
2632,FK Akhmat,CSKA Moscow,0.29312,1.69365,0,3,a,2016-09-10 21:30:00
2640,FK Akhmat,Amkar,0.221119,1.16198,1,3,h,2016-09-17 20:00:00
2648,FK Akhmat,Arsenal Tula,0.673232,0.795447,0,0,a,2016-09-25 15:30:00
2656,FK Akhmat,FC Orenburg,1.76292,1.36727,2,1,h,2016-10-01 20:30:00
2668,FK Akhmat,Anzhi Makhachkala,1.26264,0.649103,0,0,a,2016-10-17 20:30:00
2673,FK Akhmat,Rubin Kazan,1.29023,0.556855,3,1,h,2016-10-22 20:30:00
2963,FK Akhmat,Ural,2.50834,0.911258,4,1,a,2016-10-30 13:00:00
2722,FK Akhmat,Zenit St. Petersburg,1.69368,1.37192,2,1,h,2016-11-06 18:00:00
2732,FK Akhmat,Tom Tomsk,0.293462,0.0181321,0,0,h,2016-11-21 20:00:00
2737,FK Akhmat,Spartak Moscow,0.702234,0.240366,0,1,h,2016-11-26 19:00:00
3269,FK Akhmat,FC Krasnodar,1.07989,0.231879,2,1,h,2016-12-01 19:00:00
3275,FK Akhmat,Lokomotiv Moscow,0.202616,0.225896,0,2,a,2016-12-04 17:00:00
4299,FK Akhmat,FC Ufa,2.24973,0.599879,0,1,h,2017-03-05 16:00:00
4308,FK Akhmat,FC Rostov,0.252103,0.676372,0,0,a,2017-03-12 16:00:00
4315,FK Akhmat,CSKA Moscow,0.428655,1.35328,0,1,h,2017-03-19 13:30:00
4320,FK Akhmat,Amkar,0.211151,1.15826,1,1,a,2017-04-02 11:30:00
4331,FK Akhmat,Arsenal Tula,1.67888,1.03088,3,1,h,2017-04-08 14:30:00
4339,FK Akhmat,FC Orenburg,0.0889536,1.20697,1,2,a,2017-04-16 10:30:00
4346,FK Akhmat,Anzhi Makhachkala,0.355267,0.878967,0,1,h,2017-04-22 17:00:00
4353,FK Akhmat,Rubin Kazan,1.98245,0.501925,1,0,a,2017-04-26 17:30:00
4359,FK Akhmat,Ural,1.9137,0.448968,5,2,h,2017-04-29 17:00:00
4373,FK Akhmat,Zenit St. Petersburg,0.9026,0.555323,1,0,a,2017-05-07 17:00:00
4381,FK Akhmat,Tom Tomsk,1.51114,0.509832,2,1,a,2017-05-14 10:00:00
4383,FK Akhmat,Spartak Moscow,0.61298,0.941401,0,3,a,2017-05-17 17:30:00
4397,FK Akhmat,Krylya Sovetov Samara,0.920999,1.89653,3,1,a,2017-05-21 13:00:00
