,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
2594,Krylya Sovetov Samara,FK Akhmat,0.290146,1.38884,0,1,a,2016-07-31 21:30:00
2604,Krylya Sovetov Samara,Spartak Moscow,0.212558,2.29214,0,1,a,2016-08-08 20:30:00
2607,Krylya Sovetov Samara,FC Krasnodar,0.729801,0.665069,1,1,h,2016-08-13 19:00:00
2619,Krylya Sovetov Samara,Lokomotiv Moscow,1.03253,1.52731,0,0,a,2016-08-21 21:30:00
2621,Krylya Sovetov Samara,FC Ufa,0.302113,0.901865,0,1,h,2016-08-26 19:30:00
2629,Krylya Sovetov Samara,FC Rostov,0.767088,0.692426,1,2,a,2016-09-09 21:00:00
2642,Krylya Sovetov Samara,CSKA Moscow,0.708567,1.04672,1,2,h,2016-09-18 18:15:00
2651,Krylya Sovetov Samara,Amkar,0.279956,0.229011,0,0,a,2016-09-26 18:00:00
2654,Krylya Sovetov Samara,Anzhi Makhachkala,0.628813,0.447609,2,1,h,2016-10-01 15:30:00
2663,Krylya Sovetov Samara,Rubin Kazan,1.40501,2.11246,0,3,a,2016-10-15 18:00:00
2669,Krylya Sovetov Samara,Arsenal Tula,1.42806,1.54396,1,1,h,2016-10-21 19:00:00
2967,Krylya Sovetov Samara,FC Orenburg,0.415716,0.697814,0,1,a,2016-10-31 18:00:00
2719,Krylya Sovetov Samara,Ural,1.84756,1.06537,2,2,h,2016-11-05 17:00:00
2731,Krylya Sovetov Samara,Zenit St. Petersburg,1.56252,1.52349,1,3,a,2016-11-20 20:30:00
2738,Krylya Sovetov Samara,Tom Tomsk,1.71672,0.463719,3,0,h,2016-11-27 15:00:00
3270,Krylya Sovetov Samara,Spartak Moscow,2.37564,0.700589,4,0,h,2016-12-01 19:00:00
3278,Krylya Sovetov Samara,FC Krasnodar,0.857209,0.869653,1,1,a,2016-12-05 20:00:00
4300,Krylya Sovetov Samara,Lokomotiv Moscow,0.522494,2.01964,0,3,h,2017-03-05 11:00:00
4309,Krylya Sovetov Samara,FC Ufa,1.05117,1.1811,0,1,a,2017-03-11 08:30:00
4316,Krylya Sovetov Samara,FC Rostov,0.376038,1.62849,0,0,h,2017-03-19 11:00:00
4321,Krylya Sovetov Samara,CSKA Moscow,1.31299,0.737388,1,2,a,2017-04-02 14:30:00
4332,Krylya Sovetov Samara,Amkar,1.21524,1.21436,2,2,h,2017-04-08 12:00:00
4338,Krylya Sovetov Samara,Anzhi Makhachkala,0.518749,1.82005,3,1,a,2017-04-15 15:00:00
4345,Krylya Sovetov Samara,Rubin Kazan,1.09446,0.740408,0,0,h,2017-04-23 12:30:00
4355,Krylya Sovetov Samara,Arsenal Tula,0.515285,1.04889,0,2,a,2017-04-26 17:30:00
4364,Krylya Sovetov Samara,FC Orenburg,2.38528,0.7835,1,1,h,2017-05-01 13:30:00
4374,Krylya Sovetov Samara,Ural,1.80699,0.938406,3,1,a,2017-05-08 12:30:00
4375,Krylya Sovetov Samara,Zenit St. Petersburg,1.44192,1.46161,1,3,h,2017-05-13 14:00:00
4387,Krylya Sovetov Samara,Tom Tomsk,3.34093,0.241549,2,0,a,2017-05-17 13:00:00
4397,Krylya Sovetov Samara,FK Akhmat,1.89653,0.920999,1,3,h,2017-05-21 13:00:00
