,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
121882,LeftFoot,SetPiece,BlockedShot,0.03973624110221863,5,0,0,Samu García,2300,h,Rubin Kazan,Amkar,Mijo Caktas,2016-08-01 20:30:00,2595,2016,"(0.904000015258789, 0.2610000038146973)"
121896,RightFoot,DirectFreekick,SavedShot,0.04257335886359215,71,0,0,Gökdeniz Karadeniz,2971,h,Rubin Kazan,Amkar,,2016-08-01 20:30:00,2595,2016,"(0.7240000152587891, 0.5870000076293945)"
121897,RightFoot,OpenPlay,BlockedShot,0.059457652270793915,73,0,0,Jonathas,2480,h,Rubin Kazan,Amkar,Magomed Ozdoev,2016-08-01 20:30:00,2595,2016,"(0.8569999694824219, 0.5120000076293946)"
121894,Head,FromCorner,MissedShots,0.02176702208817005,64,0,0,Jonathas,2480,h,Rubin Kazan,Amkar,Mijo Caktas,2016-08-01 20:30:00,2595,2016,"(0.955, 0.5929999923706055)"
121893,Head,OpenPlay,MissedShots,0.0251994077116251,60,0,0,Jonathas,2480,h,Rubin Kazan,Amkar,Gökdeniz Karadeniz,2016-08-01 20:30:00,2595,2016,"(0.895, 0.575999984741211)"
121892,RightFoot,OpenPlay,BlockedShot,0.06451855599880219,55,0,0,Jonathas,2480,h,Rubin Kazan,Amkar,Elmir Nabiullin,2016-08-01 20:30:00,2595,2016,"(0.85, 0.6430000305175781)"
121888,Head,OpenPlay,MissedShots,0.10855532437562943,31,0,0,Ilzat Akhmetov,2978,h,Rubin Kazan,Amkar,Vitaly Ustinov,2016-08-01 20:30:00,2595,2016,"(0.91, 0.5270000076293946)"
121889,LeftFoot,OpenPlay,BlockedShot,0.03466644883155823,40,0,0,Ilzat Akhmetov,2978,h,Rubin Kazan,Amkar,,2016-08-01 20:30:00,2595,2016,"(0.8240000152587891, 0.33299999237060546)"
122103,RightFoot,OpenPlay,BlockedShot,0.047207292169332504,54,0,1,Magomed Ozdoev,2968,a,Rubin Kazan,Arsenal Tula,Marko Devic,2016-08-06 20:30:00,2598,2016,"(0.8430000305175781, 0.3820000076293945)"
122093,RightFoot,OpenPlay,MissedShots,0.07914628088474274,26,0,1,Samu García,2300,a,Rubin Kazan,Arsenal Tula,Rubén Rochina,2016-08-06 20:30:00,2598,2016,"(0.9130000305175782, 0.40200000762939453)"
122108,Head,OpenPlay,MissedShots,0.006634267512708902,93,0,1,Gökdeniz Karadeniz,2971,a,Rubin Kazan,Arsenal Tula,Magomed Ozdoev,2016-08-06 20:30:00,2598,2016,"(0.960999984741211, 0.715)"
122107,Head,FromCorner,MissedShots,0.010659522376954556,63,0,1,Samu García,2300,a,Rubin Kazan,Arsenal Tula,Mijo Caktas,2016-08-06 20:30:00,2598,2016,"(0.8859999847412109, 0.36900001525878906)"
122095,RightFoot,OpenPlay,MissedShots,0.09031727910041809,30,0,1,Jonathas,2480,a,Rubin Kazan,Arsenal Tula,Elmir Nabiullin,2016-08-06 20:30:00,2598,2016,"(0.909000015258789, 0.565)"
122106,RightFoot,OpenPlay,BlockedShot,0.4821370542049408,63,0,1,Jonathas,2480,a,Rubin Kazan,Arsenal Tula,,2016-08-06 20:30:00,2598,2016,"(0.9259999847412109, 0.5590000152587891)"
122105,RightFoot,OpenPlay,SavedShot,0.02173573523759842,62,0,1,Marko Devic,2972,a,Rubin Kazan,Arsenal Tula,,2016-08-06 20:30:00,2598,2016,"(0.7859999847412109, 0.6459999847412109)"
122094,LeftFoot,OpenPlay,SavedShot,0.030107567086815834,27,0,1,Rubén Rochina,2079,a,Rubin Kazan,Arsenal Tula,Samu García,2016-08-06 20:30:00,2598,2016,"(0.7819999694824219, 0.40799999237060547)"
122256,LeftFoot,OpenPlay,BlockedShot,0.012552483938634396,74,1,1,Emil Bergström,2965,h,Rubin Kazan,Spartak Moscow,Magomed Ozdoev,2016-08-13 21:30:00,2608,2016,"(0.735999984741211, 0.705)"
122260,Head,OpenPlay,MissedShots,0.1525915116071701,87,1,1,Maksim Kanunnikov,2969,h,Rubin Kazan,Spartak Moscow,Denis Tkachuk,2016-08-13 21:30:00,2608,2016,"(0.970999984741211, 0.46099998474121096)"
122250,Head,OpenPlay,Goal,0.0586569644510746,45,1,1,Marko Devic,2972,h,Rubin Kazan,Spartak Moscow,Moritz Bauer,2016-08-13 21:30:00,2608,2016,"(0.899000015258789, 0.44799999237060545)"
122259,LeftFoot,OpenPlay,MissedShots,0.09463687241077423,83,1,1,Marko Devic,2972,h,Rubin Kazan,Spartak Moscow,Samu García,2016-08-13 21:30:00,2608,2016,"(0.8859999847412109, 0.4929999923706055)"
