,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
2596,Tom Tomsk,FC Krasnodar,0.158377,1.98579,0,3,a,2016-08-01 20:30:00
2601,Tom Tomsk,Lokomotiv Moscow,0.499815,2.63734,2,2,a,2016-08-07 20:00:00
2609,Tom Tomsk,FC Ufa,0.523871,0.444804,1,0,h,2016-08-14 16:30:00
2616,Tom Tomsk,FC Rostov,0.824801,1.50381,0,3,a,2016-08-20 22:30:00
2623,Tom Tomsk,CSKA Moscow,0.410996,0.641557,0,1,h,2016-08-27 16:30:00
2630,Tom Tomsk,Amkar,0.487281,0.319588,0,1,a,2016-09-10 16:30:00
2638,Tom Tomsk,Arsenal Tula,0.413294,0.358811,1,0,h,2016-09-17 15:00:00
2652,Tom Tomsk,Rubin Kazan,0.732446,1.36894,1,2,a,2016-09-26 20:30:00
2653,Tom Tomsk,Ural,1.0706,0.725315,1,1,h,2016-10-01 13:00:00
2666,Tom Tomsk,FC Orenburg,1.35381,2.57427,1,3,a,2016-10-16 17:30:00
2670,Tom Tomsk,Anzhi Makhachkala,0.759527,0.896404,0,3,h,2016-10-22 13:00:00
2965,Tom Tomsk,Zenit St. Petersburg,0.517489,1.21085,0,1,a,2016-10-30 18:00:00
2717,Tom Tomsk,Spartak Moscow,0.281579,0.759305,0,1,h,2016-11-05 12:00:00
2732,Tom Tomsk,FK Akhmat,0.0181321,0.293462,0,0,a,2016-11-21 20:00:00
2738,Tom Tomsk,Krylya Sovetov Samara,0.463719,1.71672,0,3,a,2016-11-27 15:00:00
3271,Tom Tomsk,Lokomotiv Moscow,0.501302,1.85693,1,6,h,2016-12-01 20:30:00
3276,Tom Tomsk,FC Ufa,0.465382,0.885629,0,1,a,2016-12-05 14:00:00
4298,Tom Tomsk,FC Rostov,0.0556783,1.17955,0,6,h,2017-03-03 16:00:00
4307,Tom Tomsk,CSKA Moscow,0.150432,2.06429,0,4,a,2017-03-11 11:00:00
4314,Tom Tomsk,Amkar,0.212051,0.488486,1,0,h,2017-03-18 08:30:00
4319,Tom Tomsk,Arsenal Tula,0.150324,0.876863,0,3,a,2017-04-01 15:30:00
4330,Tom Tomsk,Rubin Kazan,0.973182,3.50517,2,2,h,2017-04-10 13:00:00
4336,Tom Tomsk,Ural,0.237197,1.1317,0,1,a,2017-04-16 13:00:00
4347,Tom Tomsk,FC Orenburg,0.300429,1.9734,1,2,h,2017-04-23 10:00:00
4354,Tom Tomsk,Anzhi Makhachkala,1.29389,4.09545,3,3,a,2017-04-27 17:30:00
4360,Tom Tomsk,Zenit St. Petersburg,0.142083,1.62729,0,2,h,2017-05-01 11:00:00
4367,Tom Tomsk,Spartak Moscow,0.406117,1.98632,0,1,a,2017-05-06 17:00:00
4381,Tom Tomsk,FK Akhmat,0.509832,1.51114,1,2,h,2017-05-14 10:00:00
4387,Tom Tomsk,Krylya Sovetov Samara,0.241549,3.34093,0,2,h,2017-05-17 13:00:00
4391,Tom Tomsk,FC Krasnodar,0.909306,3.54603,1,5,h,2017-05-21 13:00:00
