,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
122547,RightFoot,OpenPlay,MissedShots,0.01243480946868658,87,0,3,Eric Bicfalvi,5483,a,Tom Tomsk,FC Krasnodar,Valeriu Ciuperca,2016-08-01 20:30:00,2596,2016,"(0.720999984741211, 0.49400001525878906)"
122533,Head,OpenPlay,SavedShot,0.03681376576423645,53,0,3,Aleksey Pugin,4542,a,Tom Tomsk,FC Krasnodar,Kirill Kombarov,2016-08-01 20:30:00,2596,2016,"(0.8780000305175781, 0.4520000076293945)"
122541,RightFoot,OpenPlay,MissedShots,0.015398170799016953,70,0,3,Aleksey Pugin,4542,a,Tom Tomsk,FC Krasnodar,Maksim Bordachev,2016-08-01 20:30:00,2596,2016,"(0.745999984741211, 0.615)"
122544,RightFoot,OpenPlay,SavedShot,0.012703810818493366,80,0,3,Eric Bicfalvi,5483,a,Tom Tomsk,FC Krasnodar,Sergey Samodin,2016-08-01 20:30:00,2596,2016,"(0.755, 0.40599998474121096)"
122538,RightFoot,OpenPlay,MissedShots,0.007731653284281492,61,0,3,Artem Popov,5393,a,Tom Tomsk,FC Krasnodar,Valeriu Ciuperca,2016-08-01 20:30:00,2596,2016,"(0.774000015258789, 0.15600000381469725)"
122539,RightFoot,OpenPlay,MissedShots,0.0421234630048275,64,0,3,Valeriu Ciuperca,5394,a,Tom Tomsk,FC Krasnodar,Aleksey Pugin,2016-08-01 20:30:00,2596,2016,"(0.7780000305175782, 0.48200000762939454)"
122532,LeftFoot,OpenPlay,MissedShots,0.022220946848392487,46,0,3,Valeriu Ciuperca,5394,a,Tom Tomsk,FC Krasnodar,Aleksey Pugin,2016-08-01 20:30:00,2596,2016,"(0.7719999694824219, 0.5840000152587891)"
122523,RightFoot,OpenPlay,MissedShots,0.008950857445597649,8,0,3,Sergey Samodin,3037,a,Tom Tomsk,FC Krasnodar,Aleksey Pugin,2016-08-01 20:30:00,2596,2016,"(0.7240000152587891, 0.7180000305175781)"
122202,RightFoot,DirectFreekick,SavedShot,0.0364161841571331,28,2,2,Eric Bicfalvi,5483,a,Tom Tomsk,Lokomotiv Moscow,,2016-08-07 20:00:00,2601,2016,"(0.745999984741211, 0.725999984741211)"
122210,Head,OpenPlay,SavedShot,0.02261236682534218,65,2,2,Eric Bicfalvi,5483,a,Tom Tomsk,Lokomotiv Moscow,Maksim Tishkin,2016-08-07 20:00:00,2601,2016,"(0.865, 0.5320000076293945)"
