,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
125300,Head,OpenPlay,MissedShots,0.03605182468891144,36,2,0,Roman Pavlyuchenko,2734,h,Ural,FC Ufa,Aleksandr Dantsev,2016-07-31 16:30:00,2592,2016,"(0.8719999694824219, 0.44299999237060544)"
125309,Head,OpenPlay,SavedShot,0.5280774235725403,75,2,0,Dmitri Korobov,2801,h,Ural,FC Ufa,Roman Emelyanov,2016-07-31 16:30:00,2592,2016,"(0.9459999847412109, 0.49900001525878906)"
125314,LeftFoot,DirectFreekick,MissedShots,0.035783376544713974,90,2,0,Giorgi Chanturia,5412,h,Ural,FC Ufa,,2016-07-31 16:30:00,2592,2016,"(0.7080000305175781, 0.605)"
125308,Head,OpenPlay,MissedShots,0.09802725166082382,75,2,0,Roman Emelyanov,2791,h,Ural,FC Ufa,Aleksandr Dantsev,2016-07-31 16:30:00,2592,2016,"(0.9309999847412109, 0.42700000762939455)"
125295,RightFoot,OpenPlay,Goal,0.06824573874473572,4,2,0,Roman Emelyanov,2791,h,Ural,FC Ufa,Chisamba Lungu,2016-07-31 16:30:00,2592,2016,"(0.835, 0.47)"
125310,LeftFoot,SetPiece,BlockedShot,0.0564766451716423,76,2,0,Radovan Pankov,5416,h,Ural,FC Ufa,Roman Pavlyuchenko,2016-07-31 16:30:00,2592,2016,"(0.8590000152587891, 0.504000015258789)"
125303,LeftFoot,OpenPlay,MissedShots,0.11467910557985306,47,2,0,Chisamba Lungu,2795,h,Ural,FC Ufa,Denys Kulakov,2016-07-31 16:30:00,2592,2016,"(0.9219999694824219, 0.37400001525878906)"
125301,RightFoot,OpenPlay,Goal,0.11885986477136612,42,2,0,Roman Pavlyuchenko,2734,h,Ural,FC Ufa,Denys Kulakov,2016-07-31 16:30:00,2592,2016,"(0.894000015258789, 0.4159999847412109)"
125305,RightFoot,FromCorner,SavedShot,0.06037823483347893,70,2,0,Roman Pavlyuchenko,2734,h,Ural,FC Ufa,Chisamba Lungu,2016-07-31 16:30:00,2592,2016,"(0.915, 0.4129999923706055)"
125302,LeftFoot,OpenPlay,MissedShots,0.009774054400622845,45,2,0,Roman Pavlyuchenko,2734,h,Ural,FC Ufa,Chisamba Lungu,2016-07-31 16:30:00,2592,2016,"(0.600999984741211, 0.9269999694824219)"
125443,LeftFoot,OpenPlay,SavedShot,0.022084610536694527,10,0,0,Chisamba Lungu,2795,a,Ural,FC Rostov,Pablo Fontanello,2016-08-07 22:30:00,2602,2016,"(0.840999984741211, 0.25)"
125451,RightFoot,OpenPlay,BlockedShot,0.1382027119398117,80,0,0,Roman Pavlyuchenko,2734,a,Ural,FC Rostov,Denys Kulakov,2016-08-07 22:30:00,2602,2016,"(0.9259999847412109, 0.4279999923706055)"
125449,Head,OpenPlay,SavedShot,0.04453050717711449,60,0,0,Dmitri Korobov,2801,a,Ural,FC Rostov,Aleksandr Novikov,2016-08-07 22:30:00,2602,2016,"(0.9019999694824219, 0.5420000076293945)"
125444,RightFoot,OpenPlay,MissedShots,0.07563649117946625,18,0,0,Dmitri Korobov,2801,a,Ural,FC Rostov,Chisamba Lungu,2016-08-07 22:30:00,2602,2016,"(0.9680000305175781, 0.3370000076293945)"
125452,Head,OpenPlay,MissedShots,0.04730461165308952,84,0,0,Aleksandr Stavpets,2800,a,Ural,FC Rostov,Aleksandr Dantsev,2016-08-07 22:30:00,2602,2016,"(0.91, 0.5990000152587891)"
125447,LeftFoot,OpenPlay,BlockedShot,0.014942021109163761,46,0,0,Artem Fiedler,2793,a,Ural,FC Rostov,,2016-08-07 22:30:00,2602,2016,"(0.7430000305175781, 0.6090000152587891)"
125453,RightFoot,OpenPlay,SavedShot,0.015004743821918964,84,0,0,Denys Kulakov,2789,a,Ural,FC Rostov,Aleksandr Novikov,2016-08-07 22:30:00,2602,2016,"(0.764000015258789, 0.22799999237060548)"
124556,LeftFoot,OpenPlay,SavedShot,0.06578762829303741,41,0,1,Roman Pavlyuchenko,2734,h,Ural,CSKA Moscow,Nikolay Zabolotny,2016-08-13 16:30:00,2606,2016,"(0.8569999694824219, 0.5420000076293945)"
124558,LeftFoot,OpenPlay,SavedShot,0.018979843705892563,47,0,1,Roman Pavlyuchenko,2734,h,Ural,CSKA Moscow,Roman Emelyanov,2016-08-13 16:30:00,2606,2016,"(0.730999984741211, 0.46700000762939453)"
124554,LeftFoot,OpenPlay,MissedShots,0.016170239076018333,31,0,1,Roman Pavlyuchenko,2734,h,Ural,CSKA Moscow,,2016-08-13 16:30:00,2606,2016,"(0.7380000305175781, 0.46900001525878904)"
124566,Head,OpenPlay,MissedShots,0.047556184232234955,81,0,1,Roman Pavlyuchenko,2734,h,Ural,CSKA Moscow,Aleksandr Stavpets,2016-08-13 16:30:00,2606,2016,"(0.889000015258789, 0.555)"
124553,Head,OpenPlay,MissedShots,0.03211439028382301,23,0,1,Roman Pavlyuchenko,2734,h,Ural,CSKA Moscow,Aleksandr Dantsev,2016-08-13 16:30:00,2606,2016,"(0.9030000305175782, 0.425)"
124561,RightFoot,OpenPlay,MissedShots,0.03152084723114967,56,0,1,Roman Emelyanov,2791,h,Ural,CSKA Moscow,Dmitri Korobov,2016-08-13 16:30:00,2606,2016,"(0.7759999847412109, 0.4370000076293945)"
124562,RightFoot,OpenPlay,SavedShot,0.013251041993498802,63,0,1,Chisamba Lungu,2795,h,Ural,CSKA Moscow,Dmitri Korobov,2016-08-13 16:30:00,2606,2016,"(0.745, 0.6719999694824219)"
124549,LeftFoot,OpenPlay,MissedShots,0.019704053178429604,12,0,1,Dmitri Korobov,2801,h,Ural,CSKA Moscow,Denys Kulakov,2016-08-13 16:30:00,2606,2016,"(0.7519999694824219, 0.37900001525878907)"
124891,LeftFoot,OpenPlay,MissedShots,0.0902729257941246,76,0,1,Roman Pavlyuchenko,2734,a,Ural,Amkar,Chisamba Lungu,2016-08-21 16:30:00,2617,2016,"(0.8730000305175781, 0.525)"
