,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
6470,Amkar,FK Akhmat,0.15904,1.44262,0,1,a,2017-07-16 19:30:00
6473,Amkar,Anzhi Makhachkala,0.421445,1.42786,0,1,a,2017-07-21 17:30:00
6489,Amkar,FC Rostov,0.228147,1.03484,0,1,h,2017-07-30 13:00:00
6495,Amkar,Dinamo Moscow,0.631298,0.627498,0,3,a,2017-08-05 15:30:00
6502,Amkar,FC Ufa,1.64976,0.164788,0,0,h,2017-08-08 15:30:00
6515,Amkar,FC Krasnodar,1.40838,0.718666,1,1,a,2017-08-13 18:00:00
6521,Amkar,Zenit St. Petersburg,0.628388,1.24726,0,1,h,2017-08-20 13:00:00
6526,Amkar,Arsenal Tula,0.291087,0.981957,1,0,a,2017-08-26 13:00:00
6538,Amkar,CSKA Moscow,0.451705,0.966823,0,1,h,2017-09-08 15:30:00
6542,Amkar,Lokomotiv Moscow,0.224735,0.641286,1,0,a,2017-09-18 17:30:00
6551,Amkar,SKA-Khabarovsk,1.25935,0.287675,3,0,h,2017-09-25 15:00:00
6560,Amkar,Rubin Kazan,0.159569,0.631091,1,0,a,2017-09-30 14:30:00
6569,Amkar,Tosno,0.731276,0.344686,0,0,h,2017-10-16 15:30:00
6578,Amkar,Spartak Moscow,0.562139,1.61081,0,0,a,2017-10-21 17:00:00
6587,Amkar,Ural,1.15469,0.685533,1,1,h,2017-10-29 08:30:00
6595,Amkar,Anzhi Makhachkala,0.736363,1.23712,1,2,h,2017-11-05 11:00:00
6603,Amkar,FC Rostov,1.22642,1.31114,0,0,a,2017-11-19 13:30:00
6605,Amkar,Dinamo Moscow,1.36308,1.06456,2,1,h,2017-11-24 14:30:00
6619,Amkar,FC Ufa,0.267153,1.64851,0,3,a,2017-12-03 11:00:00
6626,Amkar,FC Krasnodar,1.10165,0.898264,1,3,h,2017-12-10 11:00:00
6630,Amkar,Zenit St. Petersburg,0.115535,0.639251,0,0,a,2018-03-03 13:30:00
6642,Amkar,Arsenal Tula,0.952971,2.9819,0,2,h,2018-03-09 14:30:00
6654,Amkar,Lokomotiv Moscow,1.73977,1.23768,2,1,h,2018-03-31 00:00:00
6663,Amkar,SKA-Khabarovsk,2.16628,1.00471,2,0,a,2018-04-07 08:00:00
6672,Amkar,Rubin Kazan,0.704429,2.37795,0,3,h,2018-04-14 08:30:00
6649,Amkar,CSKA Moscow,0.188642,1.50014,0,3,a,2018-04-18 16:30:00
6681,Amkar,Tosno,2.25201,0.293867,2,0,a,2018-04-22 13:30:00
6687,Amkar,Spartak Moscow,0.436243,1.75539,0,2,h,2018-04-29 11:00:00
6699,Amkar,Ural,0.553509,1.44972,2,0,a,2018-05-06 12:00:00
6707,Amkar,FK Akhmat,0.596494,0.218801,0,0,h,2018-05-13 12:00:00
