,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
154419,LeftFoot,OpenPlay,MissedShots,0.013026553206145763,64,0,1,Kantemir Berkhamov,5374,a,Arsenal Tula,Lokomotiv Moscow,Federico Rasic,2017-07-18 17:30:00,6472,2017,"(0.710999984741211, 0.33099998474121095)"
154413,LeftFoot,SetPiece,MissedShots,0.06646902114152908,35,0,1,Kantemir Berkhamov,5374,a,Arsenal Tula,Lokomotiv Moscow,,2017-07-18 17:30:00,6472,2017,"(0.950999984741211, 0.3579999923706055)"
154424,Head,SetPiece,MissedShots,0.36791619658470154,90,0,1,Goran Causic,5092,a,Arsenal Tula,Lokomotiv Moscow,Kirill Kombarov,2017-07-18 17:30:00,6472,2017,"(0.92, 0.509000015258789)"
154415,RightFoot,OpenPlay,MissedShots,0.3086498975753784,52,0,1,Kirill Kombarov,3128,a,Arsenal Tula,Lokomotiv Moscow,Igor Gorbatenko,2017-07-18 17:30:00,6472,2017,"(0.8859999847412109, 0.3840000152587891)"
154412,RightFoot,DirectFreekick,BlockedShot,0.15330040454864502,28,0,1,Kirill Kombarov,3128,a,Arsenal Tula,Lokomotiv Moscow,,2017-07-18 17:30:00,6472,2017,"(0.8190000152587891, 0.5640000152587891)"
154421,RightFoot,OpenPlay,MissedShots,0.025017891079187393,84,0,1,Igor Shevchenko,4552,a,Arsenal Tula,Lokomotiv Moscow,Igor Gorbatenko,2017-07-18 17:30:00,6472,2017,"(0.8180000305175781, 0.7090000152587891)"
154408,RightFoot,OpenPlay,MissedShots,0.014327206648886204,8,0,1,Alexandru Bourceanu,5369,a,Arsenal Tula,Lokomotiv Moscow,Igor Shevchenko,2017-07-18 17:30:00,6472,2017,"(0.7630000305175781, 0.6969999694824218)"
154425,LeftFoot,OpenPlay,BlockedShot,0.028973987326025963,91,0,1,Anri Khagush,4596,a,Arsenal Tula,Lokomotiv Moscow,Stoppila Sunzu,2017-07-18 17:30:00,6472,2017,"(0.875, 0.25)"
154422,RightFoot,OpenPlay,SavedShot,0.4197034239768982,85,0,1,Anri Khagush,4596,a,Arsenal Tula,Lokomotiv Moscow,,2017-07-18 17:30:00,6472,2017,"(0.9519999694824218, 0.40200000762939453)"
154420,LeftFoot,OpenPlay,MissedShots,0.0332014299929142,72,0,1,Anri Khagush,4596,a,Arsenal Tula,Lokomotiv Moscow,Igor Shevchenko,2017-07-18 17:30:00,6472,2017,"(0.8219999694824218, 0.38299999237060545)"
154603,LeftFoot,OpenPlay,MissedShots,0.015141717158257961,34,1,0,Kantemir Berkhamov,5374,h,Arsenal Tula,SKA-Khabarovsk,Stoppila Sunzu,2017-07-24 17:30:00,6484,2017,"(0.6659999847412109, 0.33599998474121096)"
154610,RightFoot,OpenPlay,BlockedShot,0.09925287216901779,61,1,0,Goran Causic,5092,h,Arsenal Tula,SKA-Khabarovsk,Luka Djordjevic,2017-07-24 17:30:00,6484,2017,"(0.8569999694824219, 0.4779999923706055)"
154604,RightFoot,OpenPlay,SavedShot,0.33139851689338684,38,1,0,Federico Rasic,5371,h,Arsenal Tula,SKA-Khabarovsk,,2017-07-24 17:30:00,6484,2017,"(0.909000015258789, 0.6419999694824219)"
154596,RightFoot,OpenPlay,MissedShots,0.020683828741312027,5,1,0,Igor Shevchenko,4552,h,Arsenal Tula,SKA-Khabarovsk,Goran Causic,2017-07-24 17:30:00,6484,2017,"(0.7759999847412109, 0.6819999694824219)"
154607,RightFoot,OpenPlay,SavedShot,0.5674620866775513,52,1,0,Igor Shevchenko,4552,h,Arsenal Tula,SKA-Khabarovsk,Luka Djordjevic,2017-07-24 17:30:00,6484,2017,"(0.9640000152587891, 0.4570000076293945)"
154605,Head,SetPiece,MissedShots,0.03824222460389137,40,1,0,Maksim Belyaev,4631,h,Arsenal Tula,SKA-Khabarovsk,Sergey Tkachev,2017-07-24 17:30:00,6484,2017,"(0.879000015258789, 0.555)"
154609,RightFoot,OpenPlay,MissedShots,0.04087643325328827,58,1,0,Igor Shevchenko,4552,h,Arsenal Tula,SKA-Khabarovsk,Sergey Tkachev,2017-07-24 17:30:00,6484,2017,"(0.9130000305175782, 0.6880000305175781)"
154601,LeftFoot,DirectFreekick,MissedShots,0.045393235981464386,31,1,0,Sergey Tkachev,2880,h,Arsenal Tula,SKA-Khabarovsk,,2017-07-24 17:30:00,6484,2017,"(0.7369999694824219, 0.37900001525878907)"
154599,LeftFoot,OpenPlay,MissedShots,0.029413733631372452,22,1,0,Sergey Tkachev,2880,h,Arsenal Tula,SKA-Khabarovsk,Goran Causic,2017-07-24 17:30:00,6484,2017,"(0.7880000305175782, 0.6819999694824219)"
154598,LeftFoot,OpenPlay,SavedShot,0.011779376305639744,18,1,0,Sergey Tkachev,2880,h,Arsenal Tula,SKA-Khabarovsk,,2017-07-24 17:30:00,6484,2017,"(0.6840000152587891, 0.27100000381469724)"
154597,LeftFoot,DirectFreekick,Goal,0.027355987578630447,17,1,0,Sergey Tkachev,2880,h,Arsenal Tula,SKA-Khabarovsk,,2017-07-24 17:30:00,6484,2017,"(0.6830000305175781, 0.675)"
154614,RightFoot,OpenPlay,BlockedShot,0.04279281944036484,80,1,0,Igor Shevchenko,4552,h,Arsenal Tula,SKA-Khabarovsk,Goran Causic,2017-07-24 17:30:00,6484,2017,"(0.8569999694824219, 0.725999984741211)"
154616,RightFoot,OpenPlay,MissedShots,0.02225552126765251,85,1,0,Luka Djordjevic,3813,h,Arsenal Tula,SKA-Khabarovsk,Alexandru Bourceanu,2017-07-24 17:30:00,6484,2017,"(0.7219999694824218, 0.545)"
154613,LeftFoot,OpenPlay,BlockedShot,0.021898454055190086,79,1,0,Igor Gorbatenko,3151,h,Arsenal Tula,SKA-Khabarovsk,Kantemir Berkhamov,2017-07-24 17:30:00,6484,2017,"(0.789000015258789, 0.23700000762939452)"
154617,LeftFoot,OpenPlay,SavedShot,0.018536796793341637,89,1,0,Igor Gorbatenko,3151,h,Arsenal Tula,SKA-Khabarovsk,Igor Shevchenko,2017-07-24 17:30:00,6484,2017,"(0.715, 0.4490000152587891)"
154800,RightFoot,OpenPlay,MissedShots,0.01574493944644928,24,1,2,Igor Shevchenko,4552,a,Arsenal Tula,Rubin Kazan,Mihail Aleksandrov,2017-07-29 15:30:00,6487,2017,"(0.725999984741211, 0.7080000305175781)"
154813,RightFoot,OpenPlay,MissedShots,0.02043335512280464,67,1,2,Igor Shevchenko,4552,a,Arsenal Tula,Rubin Kazan,Sergey Tkachev,2017-07-29 15:30:00,6487,2017,"(0.865, 0.754000015258789)"
154815,Head,FromCorner,MissedShots,0.056291356682777405,82,1,2,Goran Causic,5092,a,Arsenal Tula,Rubin Kazan,Sergey Tkachev,2017-07-29 15:30:00,6487,2017,"(0.9019999694824219, 0.53)"
154804,RightFoot,OpenPlay,ShotOnPost,0.44307324290275574,33,1,2,Goran Causic,5092,a,Arsenal Tula,Rubin Kazan,Sergey Tkachev,2017-07-29 15:30:00,6487,2017,"(0.9290000152587891, 0.4329999923706055)"
154817,RightFoot,OpenPlay,BlockedShot,0.022747501730918884,90,1,2,Aslanbek Sikoev,5938,a,Arsenal Tula,Rubin Kazan,,2017-07-29 15:30:00,6487,2017,"(0.7519999694824219, 0.495)"
154818,Head,OpenPlay,SavedShot,0.025848889723420143,91,1,2,Aslanbek Sikoev,5938,a,Arsenal Tula,Rubin Kazan,Alexandru Bourceanu,2017-07-29 15:30:00,6487,2017,"(0.8669999694824219, 0.5159999847412109)"
154816,Head,SetPiece,MissedShots,0.03252314403653145,86,1,2,Kirill Kombarov,3128,a,Arsenal Tula,Rubin Kazan,Igor Shevchenko,2017-07-29 15:30:00,6487,2017,"(0.889000015258789, 0.5179999923706055)"
154803,RightFoot,OpenPlay,MissedShots,0.008366337046027184,31,1,2,Luka Djordjevic,3813,a,Arsenal Tula,Rubin Kazan,Kantemir Berkhamov,2017-07-29 15:30:00,6487,2017,"(0.5929999923706055, 0.47900001525878905)"
154809,LeftFoot,DirectFreekick,BlockedShot,0.041122376918792725,51,1,2,Sergey Tkachev,2880,a,Arsenal Tula,Rubin Kazan,,2017-07-29 15:30:00,6487,2017,"(0.715, 0.5359999847412109)"
154806,RightFoot,OpenPlay,Goal,0.08812908828258514,33,1,2,Igor Shevchenko,4552,a,Arsenal Tula,Rubin Kazan,Kirill Kombarov,2017-07-29 15:30:00,6487,2017,"(0.9169999694824219, 0.6)"
154805,RightFoot,OpenPlay,BlockedShot,0.11101070791482925,33,1,2,Igor Shevchenko,4552,a,Arsenal Tula,Rubin Kazan,,2017-07-29 15:30:00,6487,2017,"(0.8969999694824219, 0.544000015258789)"
155047,Head,FromCorner,MissedShots,0.013669727370142937,6,1,2,Kantemir Berkhamov,5374,h,Arsenal Tula,Tosno,Sergey Tkachev,2017-08-06 13:00:00,6497,2017,"(0.9330000305175781, 0.3579999923706055)"
155055,RightFoot,OpenPlay,MissedShots,0.06311842054128647,37,1,2,Goran Causic,5092,h,Arsenal Tula,Tosno,Stoppila Sunzu,2017-08-06 13:00:00,6497,2017,"(0.8690000152587891, 0.6480000305175782)"
155056,LeftFoot,OpenPlay,Goal,0.02965647168457508,39,1,2,Kantemir Berkhamov,5374,h,Arsenal Tula,Tosno,,2017-08-06 13:00:00,6497,2017,"(0.775, 0.4540000152587891)"
155068,Head,OpenPlay,MissedShots,0.04069900140166283,86,1,2,Aslanbek Sikoev,5938,h,Arsenal Tula,Tosno,Alexandru Bourceanu,2017-08-06 13:00:00,6497,2017,"(0.8930000305175781, 0.5790000152587891)"
155066,LeftFoot,OpenPlay,BlockedShot,0.013156527653336525,81,1,2,Kantemir Berkhamov,5374,h,Arsenal Tula,Tosno,Alexandru Bourceanu,2017-08-06 13:00:00,6497,2017,"(0.695, 0.5059999847412109)"
155054,LeftFoot,DirectFreekick,MissedShots,0.04469398781657219,33,1,2,Sergey Tkachev,2880,h,Arsenal Tula,Tosno,,2017-08-06 13:00:00,6497,2017,"(0.759000015258789, 0.6959999847412109)"
155048,RightFoot,OpenPlay,BlockedShot,0.021670309826731682,13,1,2,Luka Djordjevic,3813,h,Arsenal Tula,Tosno,Sergey Tkachev,2017-08-06 13:00:00,6497,2017,"(0.765, 0.6419999694824219)"
155065,RightFoot,Penalty,SavedShot,0.7542753219604492,68,1,2,Luka Djordjevic,3813,h,Arsenal Tula,Tosno,,2017-08-06 13:00:00,6497,2017,"(0.885, 0.5)"
155046,OtherBodyPart,FromCorner,MissedShots,0.078717440366745,3,1,2,Maksim Belyaev,4631,h,Arsenal Tula,Tosno,Sergey Tkachev,2017-08-06 13:00:00,6497,2017,"(0.9409999847412109, 0.4420000076293945)"
155061,LeftFoot,DirectFreekick,MissedShots,0.036266472190618515,51,1,2,Kantemir Berkhamov,5374,h,Arsenal Tula,Tosno,,2017-08-06 13:00:00,6497,2017,"(0.7380000305175781, 0.29200000762939454)"
155053,RightFoot,OpenPlay,BlockedShot,0.008858063258230686,31,1,2,Maksim Belyaev,4631,h,Arsenal Tula,Tosno,Goran Causic,2017-08-06 13:00:00,6497,2017,"(0.6519999694824219, 0.6020000076293945)"
155051,RightFoot,OpenPlay,MissedShots,0.011723202653229237,28,1,2,Igor Shevchenko,4552,h,Arsenal Tula,Tosno,Goran Causic,2017-08-06 13:00:00,6497,2017,"(0.7030000305175781, 0.5970000076293945)"
155067,LeftFoot,OpenPlay,SavedShot,0.0990205705165863,82,1,2,Aslanbek Sikoev,5938,h,Arsenal Tula,Tosno,Ilya Maksimov,2017-08-06 13:00:00,6497,2017,"(0.92, 0.6419999694824219)"
155070,LeftFoot,DirectFreekick,BlockedShot,0.05337388440966606,91,1,2,Kantemir Berkhamov,5374,h,Arsenal Tula,Tosno,,2017-08-06 13:00:00,6497,2017,"(0.7480000305175781, 0.5990000152587891)"
155465,RightFoot,OpenPlay,BlockedShot,0.07725479453802109,13,0,2,Luka Djordjevic,3813,a,Arsenal Tula,Spartak Moscow,Igor Shevchenko,2017-08-09 17:30:00,6504,2017,"(0.8680000305175781, 0.37)"
155477,Head,OpenPlay,MissedShots,0.04305912181735039,68,0,2,Aleksandr Denisov,5379,a,Arsenal Tula,Spartak Moscow,Igor Gorbatenko,2017-08-09 17:30:00,6504,2017,"(0.9030000305175782, 0.415)"
155472,RightFoot,OpenPlay,BlockedShot,0.041185978800058365,43,0,2,Ilya Maksimov,2945,a,Arsenal Tula,Spartak Moscow,,2017-08-09 17:30:00,6504,2017,"(0.8490000152587891, 0.345)"
155475,LeftFoot,DirectFreekick,SavedShot,0.03005366027355194,49,0,2,Sergey Tkachev,2880,a,Arsenal Tula,Spartak Moscow,,2017-08-09 17:30:00,6504,2017,"(0.725, 0.25299999237060544)"
