,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
154486,LeftFoot,OpenPlay,MissedShots,0.017442461103200912,32,1,0,Aleksandr Sukhov,2899,a,FC Ufa,Tosno,Ivan Paurevic,2017-07-15 15:30:00,6466,2017,"(0.7369999694824219, 0.4159999847412109)"
154481,LeftFoot,OpenPlay,SavedShot,0.12127196043729782,20,1,0,Ivan Oblyakov,5442,a,FC Ufa,Tosno,Sly,2017-07-15 15:30:00,6466,2017,"(0.884000015258789, 0.5509999847412109)"
154495,LeftFoot,OpenPlay,SavedShot,0.012092800810933113,60,1,0,Ivan Oblyakov,5442,a,FC Ufa,Tosno,,2017-07-15 15:30:00,6466,2017,"(0.695, 0.4329999923706055)"
154496,LeftFoot,OpenPlay,Goal,0.5007810592651367,64,1,0,Dmitri Sysuev,2908,a,FC Ufa,Tosno,Sly,2017-07-15 15:30:00,6466,2017,"(0.9569999694824218, 0.575)"
154483,RightFoot,OpenPlay,BlockedShot,0.0111842704936862,25,1,0,Sly,2907,a,FC Ufa,Tosno,Dmitry Zhivoglyadov,2017-07-15 15:30:00,6466,2017,"(0.725999984741211, 0.6909999847412109)"
154492,LeftFoot,OpenPlay,BlockedShot,0.05964530259370804,51,1,0,Aleksandr Sukhov,2899,a,FC Ufa,Tosno,Ivan Oblyakov,2017-07-15 15:30:00,6466,2017,"(0.8690000152587891, 0.33)"
154679,LeftFoot,OpenPlay,MissedShots,0.014204222708940506,31,0,0,Aleksandr Sukhov,2899,h,FC Ufa,Spartak Moscow,Ivan Oblyakov,2017-07-23 13:00:00,6477,2017,"(0.7290000152587891, 0.28899999618530275)"
154693,RightFoot,OpenPlay,MissedShots,0.12458892911672592,72,0,0,Ivan Paurevic,2903,h,FC Ufa,Spartak Moscow,Ivan Oblyakov,2017-07-23 13:00:00,6477,2017,"(0.905, 0.6430000305175781)"
154694,RightFoot,OpenPlay,BlockedShot,0.01148073561489582,73,0,0,Catalin Carp,5441,h,FC Ufa,Spartak Moscow,Ivan Oblyakov,2017-07-23 13:00:00,6477,2017,"(0.7019999694824218, 0.40299999237060546)"
154682,RightFoot,OpenPlay,BlockedShot,0.048329081386327744,45,0,0,Ivan Paurevic,2903,h,FC Ufa,Spartak Moscow,Kehinde Fatai,2017-07-23 13:00:00,6477,2017,"(0.8059999847412109, 0.51)"
154683,RightFoot,OpenPlay,BlockedShot,0.023044459521770477,46,0,0,Sly,2907,h,FC Ufa,Spartak Moscow,Kehinde Fatai,2017-07-23 13:00:00,6477,2017,"(0.8209999847412109, 0.7419999694824219)"
