,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
154416,LeftFoot,OpenPlay,SavedShot,0.08501525968313217,54,1,0,Aleksandr Kolomejtsev,2892,h,Lokomotiv Moscow,Arsenal Tula,Aleksey Miranchuk,2017-07-18 17:30:00,6472,2017,"(0.85, 0.5129999923706055)"
154423,LeftFoot,OpenPlay,BlockedShot,0.02045498602092266,88,1,0,Aleksey Miranchuk,2711,h,Lokomotiv Moscow,Arsenal Tula,Ari,2017-07-18 17:30:00,6472,2017,"(0.735999984741211, 0.46900001525878904)"
154418,RightFoot,SetPiece,Goal,0.08262243121862411,56,1,0,Saba Kverkvelia,2964,h,Lokomotiv Moscow,Arsenal Tula,,2017-07-18 17:30:00,6472,2017,"(0.8909999847412109, 0.5509999847412109)"
154407,RightFoot,OpenPlay,MissedShots,0.12072525173425674,7,1,0,Aleksey Miranchuk,2711,h,Lokomotiv Moscow,Arsenal Tula,Ari,2017-07-18 17:30:00,6472,2017,"(0.885, 0.5309999847412109)"
154417,Head,OpenPlay,MissedShots,0.09693336486816406,55,1,0,Jefferson Farfán,4299,h,Lokomotiv Moscow,Arsenal Tula,Anton Miranchuk,2017-07-18 17:30:00,6472,2017,"(0.9180000305175782, 0.5420000076293945)"
154414,LeftFoot,OpenPlay,MissedShots,0.02128046192228794,44,1,0,Manuel Fernandes,2708,h,Lokomotiv Moscow,Arsenal Tula,Nemanja Pejcinovic,2017-07-18 17:30:00,6472,2017,"(0.749000015258789, 0.580999984741211)"
154409,LeftFoot,FromCorner,MissedShots,0.012410145252943039,10,1,0,Vladislav Ignatjev,2894,h,Lokomotiv Moscow,Arsenal Tula,,2017-07-18 17:30:00,6472,2017,"(0.6990000152587891, 0.5829999923706055)"
154410,Head,OpenPlay,SavedShot,0.06755469739437103,11,1,0,Ari,2930,h,Lokomotiv Moscow,Arsenal Tula,Vladislav Ignatjev,2017-07-18 17:30:00,6472,2017,"(0.895, 0.45099998474121095)"
154411,RightFoot,OpenPlay,SavedShot,0.2884279489517212,25,1,0,Ari,2930,h,Lokomotiv Moscow,Arsenal Tula,Saba Kverkvelia,2017-07-18 17:30:00,6472,2017,"(0.904000015258789, 0.5970000076293945)"
154568,Head,FromCorner,Goal,0.13080023229122162,22,3,1,Jefferson Farfán,4299,a,Lokomotiv Moscow,CSKA Moscow,Manuel Fernandes,2017-07-21 17:30:00,6474,2017,"(0.975999984741211, 0.555)"
154589,LeftFoot,OpenPlay,MissedShots,0.11439747363328934,89,3,1,Aleksey Miranchuk,2711,a,Lokomotiv Moscow,CSKA Moscow,Manuel Fernandes,2017-07-21 17:30:00,6474,2017,"(0.884000015258789, 0.5929999923706055)"
154561,RightFoot,OpenPlay,MissedShots,0.022881805896759033,5,3,1,Igor Denisov,2749,a,Lokomotiv Moscow,CSKA Moscow,Ari,2017-07-21 17:30:00,6474,2017,"(0.769000015258789, 0.5279999923706055)"
154579,LeftFoot,OpenPlay,SavedShot,0.028465740382671356,63,3,1,Aleksey Miranchuk,2711,a,Lokomotiv Moscow,CSKA Moscow,,2017-07-21 17:30:00,6474,2017,"(0.8080000305175781, 0.6140000152587891)"
154577,RightFoot,OpenPlay,MissedShots,0.026285996660590172,61,3,1,Ari,2930,a,Lokomotiv Moscow,CSKA Moscow,Aleksey Miranchuk,2017-07-21 17:30:00,6474,2017,"(0.7759999847412109, 0.37)"
154562,RightFoot,OpenPlay,MissedShots,0.015338493511080742,9,3,1,Dmitriy Tarasov,2718,a,Lokomotiv Moscow,CSKA Moscow,Ari,2017-07-21 17:30:00,6474,2017,"(0.7419999694824219, 0.3940000152587891)"
