,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
154428,LeftFoot,OpenPlay,SavedShot,0.016745764762163162,10,0,2,Ruslan Koryan,5918,h,SKA-Khabarovsk,Zenit St. Petersburg,Aleksandr Cherevko,2017-07-16 09:00:00,6468,2017,"(0.725999984741211, 0.575999984741211)"
154433,RightFoot,OpenPlay,MissedShots,0.018819842487573624,18,0,2,Denis Dedechko,5917,h,SKA-Khabarovsk,Zenit St. Petersburg,Dmytro Grishko,2017-07-16 09:00:00,6468,2017,"(0.7619999694824219, 0.395)"
154427,RightFoot,FromCorner,MissedShots,0.04501848667860031,9,0,2,Maksim Kazankov,5916,h,SKA-Khabarovsk,Zenit St. Petersburg,,2017-07-16 09:00:00,6468,2017,"(0.83, 0.47200000762939454)"
154441,RightFoot,OpenPlay,SavedShot,0.011823674663901329,36,0,2,Evgeni Balyaykin,5390,h,SKA-Khabarovsk,Zenit St. Petersburg,Maksim Kazankov,2017-07-16 09:00:00,6468,2017,"(0.6880000305175781, 0.57)"
154447,LeftFoot,OpenPlay,MissedShots,0.02091304026544094,61,0,2,Denis Dedechko,5917,h,SKA-Khabarovsk,Zenit St. Petersburg,,2017-07-16 09:00:00,6468,2017,"(0.7319999694824219, 0.44799999237060545)"
154454,RightFoot,OpenPlay,BlockedShot,0.009680199436843395,86,0,2,Vladislav Nikiforov,5915,h,SKA-Khabarovsk,Zenit St. Petersburg,,2017-07-16 09:00:00,6468,2017,"(0.7859999847412109, 0.735999984741211)"
154445,LeftFoot,SetPiece,MissedShots,0.010977759957313538,53,0,2,Vladislav Nikiforov,5915,h,SKA-Khabarovsk,Zenit St. Petersburg,,2017-07-16 09:00:00,6468,2017,"(0.7030000305175781, 0.5640000152587891)"
154426,RightFoot,DirectFreekick,SavedShot,0.02456897310912609,5,0,2,Ruslan Koryan,5918,h,SKA-Khabarovsk,Zenit St. Petersburg,,2017-07-16 09:00:00,6468,2017,"(0.7219999694824218, 0.8390000152587891)"
154438,RightFoot,DirectFreekick,MissedShots,0.030932830646634102,30,0,2,Ruslan Koryan,5918,h,SKA-Khabarovsk,Zenit St. Petersburg,,2017-07-16 09:00:00,6468,2017,"(0.6809999847412109, 0.47900001525878905)"
154455,LeftFoot,FromCorner,BlockedShot,0.03900705277919769,88,0,2,Ruslan Koryan,5918,h,SKA-Khabarovsk,Zenit St. Petersburg,Vitali Fedotov,2017-07-16 09:00:00,6468,2017,"(0.9019999694824219, 0.36)"
154436,LeftFoot,FromCorner,MissedShots,0.015876207500696182,26,0,2,Vladislav Nikiforov,5915,h,SKA-Khabarovsk,Zenit St. Petersburg,,2017-07-16 09:00:00,6468,2017,"(0.8, 0.7169999694824218)"
154450,RightFoot,OpenPlay,ShotOnPost,0.06161169335246086,68,0,2,Juan Eduardo Lescano,5919,h,SKA-Khabarovsk,Zenit St. Petersburg,Aleksandr Cherevko,2017-07-16 09:00:00,6468,2017,"(0.9169999694824219, 0.34200000762939453)"
154449,RightFoot,OpenPlay,BlockedShot,0.06091884523630142,67,0,2,Maksim Kazankov,5916,h,SKA-Khabarovsk,Zenit St. Petersburg,Aleksandr Putsko,2017-07-16 09:00:00,6468,2017,"(0.8969999694824219, 0.34799999237060547)"
154444,Head,SetPiece,SavedShot,0.32410117983818054,53,0,2,Ismail Ediyev,5913,h,SKA-Khabarovsk,Zenit St. Petersburg,Evgeni Balyaykin,2017-07-16 09:00:00,6468,2017,"(0.9030000305175782, 0.5329999923706055)"
154600,RightFoot,FromCorner,BlockedShot,0.013729924336075783,28,0,1,Aleksandr Cherevko,5912,a,SKA-Khabarovsk,Arsenal Tula,,2017-07-24 17:30:00,6484,2017,"(0.730999984741211, 0.3840000152587891)"
154606,RightFoot,FromCorner,MissedShots,0.12343781441450119,44,0,1,Evgeni Balyaykin,5390,a,SKA-Khabarovsk,Arsenal Tula,Ismail Ediyev,2017-07-24 17:30:00,6484,2017,"(0.9180000305175782, 0.475)"
