,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
6466,Tosno,FC Ufa,0.893547,0.722418,0,1,h,2017-07-15 15:30:00
6476,Tosno,FC Krasnodar,0.365131,1.34268,0,2,a,2017-07-22 18:00:00
6491,Tosno,Zenit St. Petersburg,0.466301,1.29915,0,1,h,2017-07-30 18:00:00
6497,Tosno,Arsenal Tula,1.42324,1.2689,2,1,a,2017-08-06 13:00:00
6507,Tosno,CSKA Moscow,0.426888,2.92209,1,2,h,2017-08-09 18:00:00
6513,Tosno,Lokomotiv Moscow,0.763116,0.627448,2,0,a,2017-08-13 15:30:00
6517,Tosno,SKA-Khabarovsk,0.783145,0.135992,0,0,h,2017-08-18 17:30:00
6527,Tosno,Rubin Kazan,0.705549,0.21177,0,1,a,2017-08-26 15:30:00
6534,Tosno,Anzhi Makhachkala,0.906305,0.708093,2,2,h,2017-09-09 12:00:00
6545,Tosno,Spartak Moscow,0.903318,0.968586,2,2,h,2017-09-17 11:00:00
6553,Tosno,Ural,0.749178,2.22342,1,3,a,2017-09-24 12:00:00
6561,Tosno,FK Akhmat,0.604428,0.215573,1,0,h,2017-09-30 12:00:00
6569,Tosno,Amkar,0.344686,0.731276,0,0,a,2017-10-16 15:30:00
6575,Tosno,FC Rostov,1.02821,1.12793,1,1,h,2017-10-21 12:00:00
6585,Tosno,Dinamo Moscow,0.552177,1.59944,1,0,a,2017-10-29 11:00:00
6596,Tosno,FC Krasnodar,1.27369,1.38913,1,3,h,2017-11-04 13:30:00
6599,Tosno,Zenit St. Petersburg,0.29077,2.15872,0,5,a,2017-11-19 16:00:00
6612,Tosno,Arsenal Tula,2.21804,1.57318,3,2,h,2017-11-25 13:30:00
6615,Tosno,CSKA Moscow,0.0835915,3.12878,0,6,a,2017-12-01 16:30:00
6623,Tosno,Lokomotiv Moscow,1.30907,1.78786,1,3,h,2017-12-11 16:30:00
6634,Tosno,SKA-Khabarovsk,0.511257,0.352222,1,0,a,2018-03-04 08:00:00
6640,Tosno,Rubin Kazan,0.953314,0.46886,0,1,h,2018-03-10 16:00:00
6645,Tosno,Anzhi Makhachkala,0.320438,0.444259,0,2,a,2018-03-17 16:00:00
6657,Tosno,Spartak Moscow,1.0495,1.7662,1,2,a,2018-03-31 00:00:00
6665,Tosno,Ural,1.84175,0.791799,2,2,h,2018-04-08 11:00:00
6673,Tosno,FK Akhmat,0.134367,1.07609,0,1,a,2018-04-13 16:30:00
6681,Tosno,Amkar,0.293867,2.25201,0,2,h,2018-04-22 13:30:00
6688,Tosno,FC Rostov,0.124283,1.19166,0,2,a,2018-04-29 16:00:00
6697,Tosno,Dinamo Moscow,0.576021,0.592756,1,2,h,2018-05-05 12:00:00
6705,Tosno,FC Ufa,0.278703,3.69406,0,5,a,2018-05-13 12:00:00
