,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
154500,Head,SetPiece,MissedShots,0.12243203818798065,92,0,1,Rustem Mukhametshin,4550,h,Tosno,FC Ufa,Vagiz Galiulin,2017-07-15 15:30:00,6466,2017,"(0.9259999847412109, 0.47900001525878905)"
154488,Head,OpenPlay,MissedShots,0.049377575516700745,40,0,1,Evgeni Markov,5900,h,Tosno,FC Ufa,Anton Zabolotny,2017-07-15 15:30:00,6466,2017,"(0.925, 0.425)"
154502,Head,OpenPlay,MissedShots,0.020533815026283264,93,0,1,Anton Zabolotny,5899,h,Tosno,FC Ufa,Nuno Rocha,2017-07-15 15:30:00,6466,2017,"(0.8680000305175781, 0.610999984741211)"
154491,Head,OpenPlay,MissedShots,0.4378127455711365,45,0,1,Anton Zabolotny,5899,h,Tosno,FC Ufa,Evgeniy Chernov,2017-07-15 15:30:00,6466,2017,"(0.9369999694824219, 0.48200000762939454)"
154490,RightFoot,OpenPlay,SavedShot,0.009913928806781769,43,0,1,Anton Zabolotny,5899,h,Tosno,FC Ufa,,2017-07-15 15:30:00,6466,2017,"(0.69, 0.43599998474121093)"
154489,RightFoot,OpenPlay,SavedShot,0.04382520541548729,41,0,1,Anton Zabolotny,5899,h,Tosno,FC Ufa,George Melkadze,2017-07-15 15:30:00,6466,2017,"(0.8590000152587891, 0.6809999847412109)"
154498,RightFoot,OpenPlay,MissedShots,0.01712709106504917,75,0,1,Aleksandr Karnitski,5898,h,Tosno,FC Ufa,,2017-07-15 15:30:00,6466,2017,"(0.755, 0.38299999237060545)"
154487,RightFoot,OpenPlay,SavedShot,0.019816972315311432,40,0,1,Evgeni Markov,5900,h,Tosno,FC Ufa,Aleksandr Karnitski,2017-07-15 15:30:00,6466,2017,"(0.769000015258789, 0.685)"
154484,RightFoot,FromCorner,MissedShots,0.016402466222643852,28,0,1,Aleksandr Karnitski,5898,h,Tosno,FC Ufa,,2017-07-15 15:30:00,6466,2017,"(0.8009999847412109, 0.7080000305175781)"
154493,RightFoot,OpenPlay,MissedShots,0.014786222018301487,54,0,1,Aleksandr Karnitski,5898,h,Tosno,FC Ufa,,2017-07-15 15:30:00,6466,2017,"(0.7709999847412109, 0.285)"
154501,RightFoot,OpenPlay,BlockedShot,0.03482611104846001,93,0,1,Evgeniy Chernov,5469,h,Tosno,FC Ufa,Vagiz Galiulin,2017-07-15 15:30:00,6466,2017,"(0.8680000305175781, 0.7140000152587891)"
154485,LeftFoot,OpenPlay,BlockedShot,0.010775200091302395,30,0,1,Evgeniy Chernov,5469,h,Tosno,FC Ufa,Vagiz Galiulin,2017-07-15 15:30:00,6466,2017,"(0.705999984741211, 0.7019999694824218)"
154497,LeftFoot,OpenPlay,BlockedShot,0.060538455843925476,69,0,1,Mladen Kascelan,4564,h,Tosno,FC Ufa,,2017-07-15 15:30:00,6466,2017,"(0.8819999694824219, 0.610999984741211)"
154482,RightFoot,OpenPlay,MissedShots,0.01041455939412117,23,0,1,Mladen Kascelan,4564,h,Tosno,FC Ufa,George Melkadze,2017-07-15 15:30:00,6466,2017,"(0.7030000305175781, 0.675)"
154499,RightFoot,FromCorner,BlockedShot,0.015762368217110634,84,0,1,George Melkadze,2822,h,Tosno,FC Ufa,Vagiz Galiulin,2017-07-15 15:30:00,6466,2017,"(0.7880000305175782, 0.7440000152587891)"
154494,RightFoot,OpenPlay,BlockedShot,0.009340684860944748,55,0,1,Vagiz Galiulin,3117,h,Tosno,FC Ufa,,2017-07-15 15:30:00,6466,2017,"(0.7669999694824219, 0.8240000152587891)"
154639,RightFoot,OpenPlay,MissedShots,0.013737473636865616,8,0,2,Vagiz Galiulin,3117,a,Tosno,FC Krasnodar,Mladen Kascelan,2017-07-22 18:00:00,6476,2017,"(0.735999984741211, 0.8030000305175782)"
154637,LeftFoot,OpenPlay,MissedShots,0.032157380133867264,4,0,2,Evgeniy Chernov,5469,a,Tosno,FC Krasnodar,,2017-07-22 18:00:00,6476,2017,"(0.8619999694824219, 0.7240000152587891)"
154658,RightFoot,OpenPlay,MissedShots,0.007865503430366516,72,0,2,Aleksandr Karnitski,5898,a,Tosno,FC Krasnodar,Evgeni Markov,2017-07-22 18:00:00,6476,2017,"(0.68, 0.5029999923706054)"
154641,RightFoot,OpenPlay,SavedShot,0.08568067103624344,11,0,2,Anton Zabolotny,5899,a,Tosno,FC Krasnodar,Nuno Rocha,2017-07-22 18:00:00,6476,2017,"(0.8380000305175781, 0.4640000152587891)"
154666,RightFoot,DirectFreekick,MissedShots,0.039181165397167206,87,0,2,Evgeni Markov,5900,a,Tosno,FC Krasnodar,,2017-07-22 18:00:00,6476,2017,"(0.7090000152587891, 0.509000015258789)"
154662,LeftFoot,OpenPlay,MissedShots,0.024262946099042892,80,0,2,Anton Zabolotny,5899,a,Tosno,FC Krasnodar,Ilnur Alshin,2017-07-22 18:00:00,6476,2017,"(0.774000015258789, 0.38799999237060545)"
154636,RightFoot,OpenPlay,BlockedShot,0.03333954140543938,3,0,2,George Melkadze,2822,a,Tosno,FC Krasnodar,Anton Zabolotny,2017-07-22 18:00:00,6476,2017,"(0.7869999694824219, 0.5970000076293945)"
154638,LeftFoot,OpenPlay,BlockedShot,0.050786446779966354,7,0,2,George Melkadze,2822,a,Tosno,FC Krasnodar,,2017-07-22 18:00:00,6476,2017,"(0.8369999694824218, 0.63)"
154644,Head,OpenPlay,MissedShots,0.07812034338712692,18,0,2,George Melkadze,2822,a,Tosno,FC Krasnodar,Evgeniy Chernov,2017-07-22 18:00:00,6476,2017,"(0.899000015258789, 0.4759999847412109)"
154828,LeftFoot,SetPiece,MissedShots,0.014286174438893795,44,0,1,Yan Kazaev,5905,h,Tosno,Zenit St. Petersburg,,2017-07-30 18:00:00,6491,2017,"(0.7469999694824219, 0.53)"
154839,RightFoot,OpenPlay,MissedShots,0.05556654557585716,77,0,1,Anton Zabolotny,5899,h,Tosno,Zenit St. Petersburg,,2017-07-30 18:00:00,6491,2017,"(0.9790000152587891, 0.6359999847412109)"
154831,Head,FromCorner,MissedShots,0.05713377520442009,59,0,1,Rade Dugalic,5897,h,Tosno,Zenit St. Petersburg,Evgeniy Chernov,2017-07-30 18:00:00,6491,2017,"(0.899000015258789, 0.5059999847412109)"
154823,RightFoot,OpenPlay,MissedShots,0.01338971871882677,12,0,1,Nuno Rocha,5901,h,Tosno,Zenit St. Petersburg,Vagiz Galiulin,2017-07-30 18:00:00,6491,2017,"(0.735999984741211, 0.27)"
154827,Head,FromCorner,MissedShots,0.060536522418260574,38,0,1,Vitali Shakhov,5896,h,Tosno,Zenit St. Petersburg,Vagiz Galiulin,2017-07-30 18:00:00,6491,2017,"(0.9069999694824219, 0.45799999237060546)"
154820,RightFoot,DirectFreekick,BlockedShot,0.06743795424699783,4,0,1,Vagiz Galiulin,3117,h,Tosno,Zenit St. Petersburg,,2017-07-30 18:00:00,6491,2017,"(0.7609999847412109, 0.5509999847412109)"
154826,Head,SetPiece,MissedShots,0.018833398818969727,35,0,1,Vitali Shakhov,5896,h,Tosno,Zenit St. Petersburg,Evgeniy Chernov,2017-07-30 18:00:00,6491,2017,"(0.894000015258789, 0.6229999923706054)"
154824,RightFoot,OpenPlay,SavedShot,0.008904531598091125,17,0,1,Yan Kazaev,5905,h,Tosno,Zenit St. Petersburg,Evgeniy Chernov,2017-07-30 18:00:00,6491,2017,"(0.7090000152587891, 0.7780000305175782)"
154825,Head,SetPiece,MissedShots,0.11405209451913834,32,0,1,Nuno Rocha,5901,h,Tosno,Zenit St. Petersburg,Vagiz Galiulin,2017-07-30 18:00:00,6491,2017,"(0.9340000152587891, 0.5690000152587891)"
