,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
219112,RightFoot,OpenPlay,BlockedShot,0.016154740005731583,82,1,0,Paul Anton,6575,a,Anzhi Makhachkala,Ural,,2018-07-28 16:30:00,8945,2018,"(0.775, 0.6969999694824218)"
219113,LeftFoot,OpenPlay,Goal,0.021617338061332703,82,1,0,Paul Anton,6575,a,Anzhi Makhachkala,Ural,Guram Tetrashvili,2018-07-28 16:30:00,8945,2018,"(0.764000015258789, 0.639000015258789)"
219097,LeftFoot,OpenPlay,MissedShots,0.017411453649401665,6,1,0,Amir Mokhammad,6771,a,Anzhi Makhachkala,Ural,Vladislav Kulik,2018-07-28 16:30:00,8945,2018,"(0.7869999694824219, 0.7969999694824219)"
219761,RightFoot,FromCorner,MissedShots,0.016593847423791885,84,0,3,Paul Anton,6575,a,Anzhi Makhachkala,FC Ufa,,2018-08-06 17:30:00,8960,2018,"(0.7519999694824219, 0.5359999847412109)"
219757,RightFoot,OpenPlay,MissedShots,0.01165874395519495,65,0,3,Paul Anton,6575,a,Anzhi Makhachkala,FC Ufa,Roland Gigolaev,2018-08-06 17:30:00,8960,2018,"(0.7219999694824218, 0.7869999694824219)"
219756,RightFoot,OpenPlay,BlockedShot,0.009876442141830921,61,0,3,Paul Anton,6575,a,Anzhi Makhachkala,FC Ufa,Vladislav Kulik,2018-08-06 17:30:00,8960,2018,"(0.6830000305175781, 0.22799999237060548)"
219758,LeftFoot,FromCorner,MissedShots,0.013843481428921223,75,0,3,Roland Gigolaev,2835,a,Anzhi Makhachkala,FC Ufa,,2018-08-06 17:30:00,8960,2018,"(0.9319999694824219, 0.14)"
219763,RightFoot,OpenPlay,SavedShot,0.014646105468273163,88,0,3,Rabiu Mohammed,3079,a,Anzhi Makhachkala,FC Ufa,,2018-08-06 17:30:00,8960,2018,"(0.755, 0.42900001525878906)"
219470,RightFoot,OpenPlay,BlockedShot,0.012379640713334084,60,0,1,Konstantin Savichev,5541,a,Anzhi Makhachkala,Spartak Moscow,,2018-08-11 19:00:00,8963,2018,"(0.7180000305175781, 0.4)"
219464,RightFoot,OpenPlay,MissedShots,0.009700081311166286,30,0,1,Konstantin Savichev,5541,a,Anzhi Makhachkala,Spartak Moscow,,2018-08-11 19:00:00,8963,2018,"(0.7480000305175781, 0.20899999618530274)"
219712,LeftFoot,Penalty,SavedShot,0.7542753219604492,40,1,3,Ivan Markelov,5530,h,Anzhi Makhachkala,FC Orenburg,,2018-08-17 19:30:00,8969,2018,"(0.885, 0.5)"
219710,RightFoot,DirectFreekick,BlockedShot,0.028056031093001366,31,1,3,Vladislav Kulik,3108,h,Anzhi Makhachkala,FC Orenburg,,2018-08-17 19:30:00,8969,2018,"(0.725999984741211, 0.779000015258789)"
219726,LeftFoot,OpenPlay,SavedShot,0.006975184660404921,91,1,3,Gael Ondoua,6814,h,Anzhi Makhachkala,FC Orenburg,Vladislav Kulik,2018-08-17 19:30:00,8969,2018,"(0.6619999694824219, 0.5029999923706054)"
219706,LeftFoot,FromCorner,Goal,0.09723806381225586,11,1,3,Ivan Novoseltsev,2768,h,Anzhi Makhachkala,FC Orenburg,Ivan Markelov,2018-08-17 19:30:00,8969,2018,"(0.915, 0.500999984741211)"
222895,RightFoot,OpenPlay,BlockedShot,0.01543424092233181,81,1,2,Vladislav Kulik,3108,a,Anzhi Makhachkala,Lokomotiv Moscow,Roland Gigolaev,2018-08-26 19:00:00,8983,2018,"(0.730999984741211, 0.555)"
222891,RightFoot,OpenPlay,SavedShot,0.012126557528972626,56,1,2,Roland Gigolaev,2835,a,Anzhi Makhachkala,Lokomotiv Moscow,Vladislav Kulik,2018-08-26 19:00:00,8983,2018,"(0.6819999694824219, 0.519000015258789)"
222887,RightFoot,FromCorner,MissedShots,0.015615839511156082,33,1,2,Konstantin Savichev,5541,a,Anzhi Makhachkala,Lokomotiv Moscow,,2018-08-26 19:00:00,8983,2018,"(0.7519999694824219, 0.40099998474121096)"
222898,Head,OpenPlay,MissedShots,0.032620031386613846,89,1,2,Amir Mokhammad,6771,a,Anzhi Makhachkala,Lokomotiv Moscow,Gael Ondoua,2018-08-26 19:00:00,8983,2018,"(0.894000015258789, 0.47900001525878905)"
222896,RightFoot,OpenPlay,BlockedShot,0.018831806257367134,86,1,2,Apti Ahyadov,2870,a,Anzhi Makhachkala,Lokomotiv Moscow,Gael Ondoua,2018-08-26 19:00:00,8983,2018,"(0.745, 0.40400001525878904)"
222883,RightFoot,OpenPlay,SavedShot,0.013936655595898628,18,1,2,Ivan Novoseltsev,2768,a,Anzhi Makhachkala,Lokomotiv Moscow,Igor Chaykovsky,2018-08-26 19:00:00,8983,2018,"(0.755, 0.45099998474121095)"
222899,RightFoot,Penalty,Goal,0.7542753219604492,92,1,2,Vladislav Kulik,3108,a,Anzhi Makhachkala,Lokomotiv Moscow,,2018-08-26 19:00:00,8983,2018,"(0.885, 0.5)"
222921,LeftFoot,OpenPlay,MissedShots,0.025345567613840103,44,0,1,Amir Mokhammad,6771,a,Anzhi Makhachkala,Krylya Sovetov Samara,Vladislav Kulik,2018-09-01 11:00:00,8986,2018,"(0.8009999847412109, 0.3029999923706055)"
222913,Head,SetPiece,MissedShots,0.10161557048559189,26,0,1,Andrés Ponce,1811,a,Anzhi Makhachkala,Krylya Sovetov Samara,Roland Gigolaev,2018-09-01 11:00:00,8986,2018,"(0.9309999847412109, 0.4279999923706055)"
222916,LeftFoot,FromCorner,MissedShots,0.020230550318956375,32,0,1,Roland Gigolaev,2835,a,Anzhi Makhachkala,Krylya Sovetov Samara,,2018-09-01 11:00:00,8986,2018,"(0.7959999847412109, 0.6430000305175781)"
222926,RightFoot,OpenPlay,SavedShot,0.017694715410470963,55,0,1,Igor Chaykovsky,6304,a,Anzhi Makhachkala,Krylya Sovetov Samara,Gael Ondoua,2018-09-01 11:00:00,8986,2018,"(0.764000015258789, 0.3120000076293945)"
222907,Head,SetPiece,MissedShots,0.008934015408158302,18,0,1,Jhon Chancellor,6578,a,Anzhi Makhachkala,Krylya Sovetov Samara,Roland Gigolaev,2018-09-01 11:00:00,8986,2018,"(0.855, 0.43599998474121093)"
222902,Head,FromCorner,SavedShot,0.030817534774541855,5,0,1,Dmitri Belorukov,3019,a,Anzhi Makhachkala,Krylya Sovetov Samara,Vladislav Kulik,2018-09-01 11:00:00,8986,2018,"(0.914000015258789, 0.47)"
222937,LeftFoot,OpenPlay,MissedShots,0.019667906686663628,83,0,1,Gael Ondoua,6814,a,Anzhi Makhachkala,Krylya Sovetov Samara,Ivan Markelov,2018-09-01 11:00:00,8986,2018,"(0.7609999847412109, 0.4)"
222929,RightFoot,DirectFreekick,MissedShots,0.038112837821245193,63,0,1,Vladislav Kulik,3108,a,Anzhi Makhachkala,Krylya Sovetov Samara,,2018-09-01 11:00:00,8986,2018,"(0.725, 0.649000015258789)"
222915,LeftFoot,OpenPlay,BlockedShot,0.04890487343072891,32,0,1,Andrés Ponce,1811,a,Anzhi Makhachkala,Krylya Sovetov Samara,Konstantin Savichev,2018-09-01 11:00:00,8986,2018,"(0.8419999694824218, 0.34599998474121096)"
222920,RightFoot,OpenPlay,SavedShot,0.009662685915827751,43,0,1,Andrés Ponce,1811,a,Anzhi Makhachkala,Krylya Sovetov Samara,,2018-09-01 11:00:00,8986,2018,"(0.7240000152587891, 0.7180000305175781)"
222928,RightFoot,OpenPlay,MissedShots,0.01825559139251709,59,0,1,Andrés Ponce,1811,a,Anzhi Makhachkala,Krylya Sovetov Samara,Vladislav Kulik,2018-09-01 11:00:00,8986,2018,"(0.750999984741211, 0.6840000152587891)"
222933,Head,OpenPlay,MissedShots,0.07699306309223175,73,0,1,Andrés Ponce,1811,a,Anzhi Makhachkala,Krylya Sovetov Samara,Roland Gigolaev,2018-09-01 11:00:00,8986,2018,"(0.8969999694824219, 0.4759999847412109)"
222938,RightFoot,OpenPlay,SavedShot,0.017409548163414,84,0,1,Konstantin Savichev,5541,a,Anzhi Makhachkala,Krylya Sovetov Samara,Andrés Ponce,2018-09-01 11:00:00,8986,2018,"(0.7469999694824219, 0.4490000152587891)"
222932,RightFoot,OpenPlay,BlockedShot,0.03661305084824562,72,0,1,Ivan Markelov,5530,a,Anzhi Makhachkala,Krylya Sovetov Samara,Igor Chaykovsky,2018-09-01 11:00:00,8986,2018,"(0.8180000305175781, 0.37400001525878906)"
222930,LeftFoot,OpenPlay,SavedShot,0.011933265253901482,70,0,1,Andrés Ponce,1811,a,Anzhi Makhachkala,Krylya Sovetov Samara,Gael Ondoua,2018-09-01 11:00:00,8986,2018,"(0.6990000152587891, 0.4129999923706055)"
226958,RightFoot,OpenPlay,SavedShot,0.006701180711388588,2,0,4,Dmitri Belorukov,3019,h,Anzhi Makhachkala,FC Krasnodar,,2018-09-16 13:30:00,8993,2018,"(0.5279999923706055, 0.6430000305175781)"
226980,LeftFoot,OpenPlay,SavedShot,0.06389330327510834,79,0,4,Dostonbek Khamdamov,6635,h,Anzhi Makhachkala,FC Krasnodar,Konstantin Savichev,2018-09-16 13:30:00,8993,2018,"(0.815, 0.39)"
226974,LeftFoot,OpenPlay,SavedShot,0.015403389930725098,70,0,4,Dostonbek Khamdamov,6635,h,Anzhi Makhachkala,FC Krasnodar,Konstantin Savichev,2018-09-16 13:30:00,8993,2018,"(0.7369999694824219, 0.4209999847412109)"
226972,LeftFoot,OpenPlay,MissedShots,0.06977791339159012,67,0,4,Dostonbek Khamdamov,6635,h,Anzhi Makhachkala,FC Krasnodar,Vladislav Kulik,2018-09-16 13:30:00,8993,2018,"(0.8130000305175781, 0.5070000076293946)"
226967,LeftFoot,OpenPlay,SavedShot,0.030729861930012703,47,0,4,Dostonbek Khamdamov,6635,h,Anzhi Makhachkala,FC Krasnodar,Adlan Katsaev,2018-09-16 13:30:00,8993,2018,"(0.7809999847412109, 0.6079999923706054)"
226976,Head,FromCorner,BlockedShot,0.02025202102959156,71,0,4,Igor Udalyi,6770,h,Anzhi Makhachkala,FC Krasnodar,Dostonbek Khamdamov,2018-09-16 13:30:00,8993,2018,"(0.9019999694824219, 0.6020000076293945)"
226963,RightFoot,OpenPlay,SavedShot,0.060212958604097366,20,0,4,Adlan Katsaev,4559,h,Anzhi Makhachkala,FC Krasnodar,Vladislav Kulik,2018-09-16 13:30:00,8993,2018,"(0.8180000305175781, 0.5570000076293945)"
226982,RightFoot,OpenPlay,MissedShots,0.02538132853806019,86,0,4,Konstantin Savichev,5541,h,Anzhi Makhachkala,FC Krasnodar,,2018-09-16 13:30:00,8993,2018,"(0.845, 0.3220000076293945)"
226986,RightFoot,OpenPlay,SavedShot,0.03511371836066246,92,0,4,Konstantin Savichev,5541,h,Anzhi Makhachkala,FC Krasnodar,Apti Ahyadov,2018-09-16 13:30:00,8993,2018,"(0.9419999694824219, 0.3160000038146973)"
226975,RightFoot,OpenPlay,BlockedShot,0.0461973138153553,70,0,4,Pavel Dolgov,3069,h,Anzhi Makhachkala,FC Krasnodar,,2018-09-16 13:30:00,8993,2018,"(0.9290000152587891, 0.355)"
226968,LeftFoot,OpenPlay,MissedShots,0.08461782336235046,49,0,4,Gael Ondoua,6814,h,Anzhi Makhachkala,FC Krasnodar,Adlan Katsaev,2018-09-16 13:30:00,8993,2018,"(0.919000015258789, 0.67)"
226984,LeftFoot,OpenPlay,SavedShot,0.04441080614924431,90,0,4,Ivan Markelov,5530,h,Anzhi Makhachkala,FC Krasnodar,Apti Ahyadov,2018-09-16 13:30:00,8993,2018,"(0.7959999847412109, 0.43)"
227178,RightFoot,OpenPlay,Goal,0.06741349399089813,48,1,0,Andrés Ponce,1811,a,Anzhi Makhachkala,Dinamo Moscow,Vladislav Kulik,2018-09-22 11:00:00,9008,2018,"(0.865999984741211, 0.6270000076293946)"
227167,RightFoot,SetPiece,SavedShot,0.07609210908412933,13,1,0,Andrés Ponce,1811,a,Anzhi Makhachkala,Dinamo Moscow,Vladislav Kulik,2018-09-22 11:00:00,9008,2018,"(0.9069999694824219, 0.625)"
227190,LeftFoot,OpenPlay,SavedShot,0.04778646305203438,91,1,0,Andrés Ponce,1811,a,Anzhi Makhachkala,Dinamo Moscow,Dostonbek Khamdamov,2018-09-22 11:00:00,9008,2018,"(0.769000015258789, 0.6309999847412109)"
227172,LeftFoot,OpenPlay,MissedShots,0.041547879576683044,26,1,0,Roland Gigolaev,2835,a,Anzhi Makhachkala,Dinamo Moscow,Vladislav Kulik,2018-09-22 11:00:00,9008,2018,"(0.88, 0.7180000305175781)"
230794,RightFoot,Penalty,Goal,0.7542753219604492,82,2,1,Vladislav Kulik,3108,h,Anzhi Makhachkala,Zenit St. Petersburg,,2018-09-30 11:00:00,9010,2018,"(0.885, 0.5)"
230776,LeftFoot,OpenPlay,SavedShot,0.018079468980431557,2,2,1,Andrés Ponce,1811,h,Anzhi Makhachkala,Zenit St. Petersburg,Pavel Dolgov,2018-09-30 11:00:00,9010,2018,"(0.765, 0.625)"
230792,RightFoot,OpenPlay,Goal,0.04043136164546013,70,2,1,Andrés Ponce,1811,h,Anzhi Makhachkala,Zenit St. Petersburg,Apti Ahyadov,2018-09-30 11:00:00,9010,2018,"(0.9119999694824219, 0.6969999694824218)"
230789,LeftFoot,OpenPlay,BlockedShot,0.09914404153823853,51,2,1,Pavel Dolgov,3069,h,Anzhi Makhachkala,Zenit St. Petersburg,Andrés Ponce,2018-09-30 11:00:00,9010,2018,"(0.889000015258789, 0.42400001525878905)"
230779,RightFoot,OpenPlay,MissedShots,0.014674839563667774,23,2,1,Rabiu Mohammed,3079,h,Anzhi Makhachkala,Zenit St. Petersburg,,2018-09-30 11:00:00,9010,2018,"(0.720999984741211, 0.3840000152587891)"
230785,LeftFoot,OpenPlay,BlockedShot,0.009245526976883411,45,2,1,Roland Gigolaev,2835,h,Anzhi Makhachkala,Zenit St. Petersburg,Pavel Dolgov,2018-09-30 11:00:00,9010,2018,"(0.700999984741211, 0.69)"
231000,RightFoot,OpenPlay,ShotOnPost,0.02791338413953781,62,0,0,Vladislav Kulik,3108,a,Anzhi Makhachkala,FK Akhmat,Konstantin Savichev,2018-10-07 11:00:00,9023,2018,"(0.8, 0.5070000076293946)"
230989,RightFoot,OpenPlay,SavedShot,0.07151377946138382,21,0,0,Andrés Ponce,1811,a,Anzhi Makhachkala,FK Akhmat,Konstantin Savichev,2018-10-07 11:00:00,9023,2018,"(0.9269999694824219, 0.31799999237060544)"
231005,RightFoot,DirectFreekick,BlockedShot,0.03729976341128349,80,0,0,Vladislav Kulik,3108,a,Anzhi Makhachkala,FK Akhmat,,2018-10-07 11:00:00,9023,2018,"(0.7040000152587891, 0.52)"
231003,RightFoot,OpenPlay,MissedShots,0.31391477584838867,73,0,0,Apti Ahyadov,2870,a,Anzhi Makhachkala,FK Akhmat,Andrés Ponce,2018-10-07 11:00:00,9023,2018,"(0.87, 0.49700000762939456)"
230990,LeftFoot,OpenPlay,SavedShot,0.07701320946216583,21,0,0,Ivan Novoseltsev,2768,a,Anzhi Makhachkala,FK Akhmat,,2018-10-07 11:00:00,9023,2018,"(0.9, 0.3940000152587891)"
238111,RightFoot,OpenPlay,MissedShots,0.017910635098814964,52,0,2,Roland Gigolaev,2835,h,Anzhi Makhachkala,CSKA Moscow,,2018-10-19 15:00:00,9031,2018,"(0.904000015258789, 0.8140000152587891)"
238108,RightFoot,OpenPlay,SavedShot,0.018430378288030624,43,0,2,Pavel Dolgov,3069,h,Anzhi Makhachkala,CSKA Moscow,Igor Udalyi,2018-10-19 15:00:00,9031,2018,"(0.7440000152587891, 0.40099998474121096)"
238116,RightFoot,OpenPlay,SavedShot,0.056495774537324905,93,0,2,Apti Ahyadov,2870,h,Anzhi Makhachkala,CSKA Moscow,Guram Tetrashvili,2018-10-19 15:00:00,9031,2018,"(0.8640000152587891, 0.545)"
238115,RightFoot,OpenPlay,ShotOnPost,0.08479047566652298,91,0,2,Andrés Ponce,1811,h,Anzhi Makhachkala,CSKA Moscow,Vladislav Kulik,2018-10-19 15:00:00,9031,2018,"(0.865999984741211, 0.5879999923706055)"
