,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
8952,CSKA Moscow,Krylya Sovetov Samara,1.39546,0.358334,0,0,a,2018-07-31 19:00:00
8958,CSKA Moscow,FC Rostov,0.825341,0.461691,0,1,h,2018-08-05 19:00:00
8962,CSKA Moscow,FC Yenisey Krasnoyarsk,1.06383,0.843862,1,1,a,2018-08-11 16:30:00
8970,CSKA Moscow,Arsenal Tula,1.98044,0.226771,3,0,h,2018-08-18 16:30:00
8979,CSKA Moscow,Rubin Kazan,0.749459,1.28939,1,1,a,2018-08-25 16:30:00
8987,CSKA Moscow,Ural,2.814,1.40163,4,0,h,2018-09-01 13:30:00
8997,CSKA Moscow,FC Ufa,1.34593,0.46627,3,0,a,2018-09-15 13:30:00
9006,CSKA Moscow,Spartak Moscow,0.823241,0.797273,1,1,h,2018-09-23 16:00:00
9012,CSKA Moscow,FC Orenburg,1.91319,0.727684,1,0,a,2018-09-28 14:30:00
9022,CSKA Moscow,Lokomotiv Moscow,0.600398,1.02269,0,1,h,2018-10-07 16:00:00
9031,CSKA Moscow,Anzhi Makhachkala,1.38446,0.257891,2,0,a,2018-10-19 15:00:00
9039,CSKA Moscow,FC Krasnodar,0.823676,1.77336,1,2,h,2018-10-28 15:00:00
9047,CSKA Moscow,Dinamo Moscow,1.6277,0.631578,0,0,a,2018-11-03 13:30:00
9053,CSKA Moscow,Zenit St. Petersburg,1.54533,0.572141,2,0,h,2018-11-11 16:00:00
9064,CSKA Moscow,FK Akhmat,1.04504,0.459652,2,0,a,2018-11-23 15:00:00
9066,CSKA Moscow,FC Rostov,1.53374,0.542283,0,0,a,2018-12-02 13:30:00
9075,CSKA Moscow,FC Yenisey Krasnoyarsk,2.16867,1.42109,2,1,h,2018-12-08 12:00:00
9083,CSKA Moscow,Arsenal Tula,0.488326,1.26872,0,2,a,2019-03-02 11:00:00
9091,CSKA Moscow,Rubin Kazan,2.92347,0.455363,3,0,h,2019-03-09 13:30:00
9100,CSKA Moscow,Ural,0.963853,0.443751,1,0,a,2019-03-16 11:00:00
9108,CSKA Moscow,FC Ufa,1.75456,0.85711,2,2,h,2019-03-31 13:30:00
9117,CSKA Moscow,Spartak Moscow,2.3397,1.08112,2,0,a,2019-04-06 17:00:00
9125,CSKA Moscow,FC Orenburg,1.57161,1.33191,2,3,h,2019-04-13 12:00:00
9134,CSKA Moscow,Lokomotiv Moscow,0.725716,1.27918,1,1,a,2019-04-20 17:00:00
9140,CSKA Moscow,Anzhi Makhachkala,2.0741,0.534659,2,0,h,2019-04-24 17:30:00
9151,CSKA Moscow,FC Krasnodar,0.785998,1.5333,0,2,a,2019-04-28 17:00:00
9159,CSKA Moscow,Dinamo Moscow,0.898059,1.43623,2,2,h,2019-05-05 14:30:00
9168,CSKA Moscow,Zenit St. Petersburg,0.748435,1.19504,1,3,a,2019-05-12 17:00:00
9176,CSKA Moscow,FK Akhmat,1.32767,0.505942,1,0,h,2019-05-18 13:30:00
9177,CSKA Moscow,Krylya Sovetov Samara,4.33419,0.736405,6,0,h,2019-05-26 11:00:00
