,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
8950,FC Krasnodar,Rubin Kazan,0.775284,1.59642,1,2,a,2018-07-29 19:00:00
8954,FC Krasnodar,Ural,0.974015,1.25048,2,1,a,2018-08-04 14:00:00
8968,FC Krasnodar,FC Ufa,0.69905,0.703006,1,0,a,2018-08-13 17:30:00
8971,FC Krasnodar,Spartak Moscow,1.0754,0.339471,0,1,h,2018-08-18 19:00:00
8981,FC Krasnodar,FC Orenburg,2.10526,2.27389,1,1,a,2018-08-26 14:00:00
8988,FC Krasnodar,Lokomotiv Moscow,1.30048,1.57872,2,1,h,2018-09-01 16:00:00
8993,FC Krasnodar,Anzhi Makhachkala,1.82009,0.50198,4,0,a,2018-09-16 13:30:00
9001,FC Krasnodar,Krylya Sovetov Samara,0.675708,0.408,3,0,a,2018-09-24 15:30:00
9009,FC Krasnodar,Dinamo Moscow,0.950003,0.379643,3,0,h,2018-09-30 13:30:00
9024,FC Krasnodar,Zenit St. Petersburg,1.73801,2.25734,1,2,a,2018-10-07 13:30:00
9030,FC Krasnodar,FK Akhmat,0.620788,1.43717,0,1,h,2018-10-21 16:00:00
9039,FC Krasnodar,CSKA Moscow,1.77336,0.823676,2,1,a,2018-10-28 15:00:00
9042,FC Krasnodar,FC Rostov,2.06931,1.58528,2,2,h,2018-11-04 13:30:00
9163,FC Krasnodar,FC Yenisey Krasnoyarsk,1.47586,0.0885916,3,0,h,2018-11-11 13:00:00
9060,FC Krasnodar,Arsenal Tula,2.01736,0.88537,3,0,h,2018-11-25 13:30:00
9071,FC Krasnodar,Ural,1.83354,0.752842,2,0,h,2018-12-02 11:00:00
9079,FC Krasnodar,FC Ufa,1.68232,0.446641,1,1,h,2018-12-09 13:30:00
9087,FC Krasnodar,Spartak Moscow,0.912565,0.943381,1,1,a,2019-03-03 16:00:00
9095,FC Krasnodar,FC Orenburg,2.33119,0.622718,2,2,h,2019-03-11 16:30:00
9104,FC Krasnodar,Lokomotiv Moscow,0.34657,2.13072,0,1,a,2019-03-17 13:30:00
9112,FC Krasnodar,Anzhi Makhachkala,5.16488,0.0821372,5,0,h,2019-03-31 16:00:00
9113,FC Krasnodar,Krylya Sovetov Samara,1.90321,1.01567,1,0,h,2019-04-06 14:30:00
9128,FC Krasnodar,Dinamo Moscow,2.05317,0.540879,1,1,a,2019-04-14 12:00:00
9136,FC Krasnodar,Zenit St. Petersburg,2.10379,2.44452,2,3,h,2019-04-20 19:00:00
9141,FC Krasnodar,FK Akhmat,1.15101,0.930041,1,1,a,2019-04-24 17:00:00
9151,FC Krasnodar,CSKA Moscow,1.5333,0.785998,2,0,h,2019-04-28 17:00:00
9154,FC Krasnodar,FC Rostov,2.15485,0.502951,1,1,a,2019-05-05 17:00:00
9056,FC Krasnodar,FC Yenisey Krasnoyarsk,4.17557,0.753447,4,0,a,2019-05-11 12:00:00
9172,FC Krasnodar,Arsenal Tula,2.1135,0.719909,3,0,a,2019-05-19 13:30:00
9181,FC Krasnodar,Rubin Kazan,1.80584,0.351711,1,0,h,2019-05-26 11:00:00
