,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
8948,FC Yenisey Krasnoyarsk,Zenit St. Petersburg,0.2504,1.21626,0,2,h,2018-07-29 14:00:00
8959,FC Yenisey Krasnoyarsk,FK Akhmat,0.761499,1.87773,0,1,a,2018-08-05 21:30:00
8962,FC Yenisey Krasnoyarsk,CSKA Moscow,0.843862,1.06383,1,1,h,2018-08-11 16:30:00
8975,FC Yenisey Krasnoyarsk,FC Rostov,0.600401,2.07961,0,4,a,2018-08-19 21:30:00
8984,FC Yenisey Krasnoyarsk,Krylya Sovetov Samara,2.67243,0.389572,1,0,h,2018-08-27 17:30:00
8989,FC Yenisey Krasnoyarsk,Arsenal Tula,0.219556,0.354815,0,0,h,2018-09-02 11:00:00
8996,FC Yenisey Krasnoyarsk,Rubin Kazan,0.406202,1.16286,0,1,a,2018-09-15 11:00:00
9004,FC Yenisey Krasnoyarsk,Ural,1.34967,0.382784,1,2,h,2018-09-22 08:30:00
9014,FC Yenisey Krasnoyarsk,FC Ufa,0.210637,1.45755,1,2,a,2018-09-29 13:30:00
9019,FC Yenisey Krasnoyarsk,Spartak Moscow,1.61194,1.71339,2,3,h,2018-10-07 08:30:00
9027,FC Yenisey Krasnoyarsk,FC Orenburg,0.990084,0.896855,0,0,a,2018-10-20 08:30:00
9035,FC Yenisey Krasnoyarsk,Lokomotiv Moscow,1.4174,1.13195,0,3,h,2018-10-28 10:00:00
9043,FC Yenisey Krasnoyarsk,Anzhi Makhachkala,1.03159,1.72972,1,2,a,2018-11-05 16:00:00
9163,FC Yenisey Krasnoyarsk,FC Krasnodar,0.0885916,1.47586,0,3,a,2018-11-11 13:00:00
9059,FC Yenisey Krasnoyarsk,Dinamo Moscow,0.925541,1.60905,2,1,a,2018-11-24 11:00:00
9067,FC Yenisey Krasnoyarsk,FK Akhmat,1.82952,0.121566,1,1,h,2018-12-01 11:00:00
9075,FC Yenisey Krasnoyarsk,CSKA Moscow,1.42109,2.16867,1,2,a,2018-12-08 12:00:00
9082,FC Yenisey Krasnoyarsk,FC Rostov,0.204402,0.719445,1,1,h,2019-03-03 11:00:00
9089,FC Yenisey Krasnoyarsk,Krylya Sovetov Samara,0.204488,4.36731,0,4,a,2019-03-09 11:00:00
9099,FC Yenisey Krasnoyarsk,Arsenal Tula,1.50763,0.528607,0,2,a,2019-03-16 16:00:00
9107,FC Yenisey Krasnoyarsk,Rubin Kazan,0.965795,0.346635,1,1,h,2019-03-30 08:30:00
9115,FC Yenisey Krasnoyarsk,Ural,2.31363,2.33115,2,3,a,2019-04-07 12:00:00
9123,FC Yenisey Krasnoyarsk,FC Ufa,0.70598,1.86771,0,0,h,2019-04-13 09:30:00
9131,FC Yenisey Krasnoyarsk,Spartak Moscow,0.174987,1.47233,0,2,a,2019-04-21 17:00:00
9137,FC Yenisey Krasnoyarsk,FC Orenburg,1.61862,0.629421,2,1,h,2019-04-25 14:00:00
9147,FC Yenisey Krasnoyarsk,Lokomotiv Moscow,1.24675,1.42064,1,2,a,2019-04-28 12:00:00
9155,FC Yenisey Krasnoyarsk,Anzhi Makhachkala,1.46955,1.08058,3,1,h,2019-05-03 12:00:00
9056,FC Yenisey Krasnoyarsk,FC Krasnodar,0.753447,4.17557,0,4,h,2019-05-11 12:00:00
9171,FC Yenisey Krasnoyarsk,Dinamo Moscow,1.06877,2.75632,2,2,h,2019-05-19 11:00:00
9179,FC Yenisey Krasnoyarsk,Zenit St. Petersburg,0.750824,2.97459,1,4,a,2019-05-26 11:00:00
