,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
219034,RightFoot,OpenPlay,MissedShots,0.08226775377988815,63,0,2,Pavel Komolov,2838,h,FC Yenisey Krasnoyarsk,Zenit St. Petersburg,Petar Zanev,2018-07-29 14:00:00,8948,2018,"(0.8580000305175781, 0.6)"
219033,LeftFoot,OpenPlay,BlockedShot,0.01985159143805504,62,0,2,Valeri Kichin,6784,h,FC Yenisey Krasnoyarsk,Zenit St. Petersburg,Fegor Ogude,2018-07-29 14:00:00,8948,2018,"(0.775, 0.6759999847412109)"
219020,RightFoot,OpenPlay,MissedShots,0.02426171489059925,1,0,2,Pavel Komolov,2838,h,FC Yenisey Krasnoyarsk,Zenit St. Petersburg,Alexandr Zotov,2018-07-29 14:00:00,8948,2018,"(0.7909999847412109, 0.67)"
219028,RightFoot,OpenPlay,SavedShot,0.009975104592740536,35,0,2,Artur Sarkisov,6785,h,FC Yenisey Krasnoyarsk,Zenit St. Petersburg,Fegor Ogude,2018-07-29 14:00:00,8948,2018,"(0.644000015258789, 0.47400001525878904)"
219032,RightFoot,OpenPlay,MissedShots,0.017393967136740685,52,0,2,Darko Bodul,5383,h,FC Yenisey Krasnoyarsk,Zenit St. Petersburg,Pavel Komolov,2018-07-29 14:00:00,8948,2018,"(0.725, 0.5459999847412109)"
219044,LeftFoot,OpenPlay,MissedShots,0.09665032476186752,93,0,2,Marko Obradovic,6787,h,FC Yenisey Krasnoyarsk,Zenit St. Petersburg,Petar Zanev,2018-07-29 14:00:00,8948,2018,"(0.8530000305175781, 0.48900001525878906)"
219218,LeftFoot,OpenPlay,BlockedShot,0.03348170965909958,3,0,1,Artur Sarkisov,6785,a,FC Yenisey Krasnoyarsk,FK Akhmat,Pavel Komolov,2018-08-05 21:30:00,8959,2018,"(0.889000015258789, 0.649000015258789)"
219226,RightFoot,OpenPlay,MissedShots,0.0130558917298913,26,0,1,Fegor Ogude,2836,a,FC Yenisey Krasnoyarsk,FK Akhmat,Dmitriy Yatchenko,2018-08-05 21:30:00,8959,2018,"(0.7219999694824218, 0.38299999237060545)"
219219,LeftFoot,OpenPlay,MissedShots,0.02173490636050701,4,0,1,Petar Zanev,2873,a,FC Yenisey Krasnoyarsk,FK Akhmat,,2018-08-05 21:30:00,8959,2018,"(0.9769999694824218, 0.67)"
219225,RightFoot,OpenPlay,MissedShots,0.3691850006580353,22,0,1,Artur Sarkisov,6785,a,FC Yenisey Krasnoyarsk,FK Akhmat,Petar Zanev,2018-08-05 21:30:00,8959,2018,"(0.9419999694824219, 0.5720000076293945)"
