,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
11023,Arsenal Tula,Dinamo Moscow,1.50584,0.973431,1,1,h,2019-07-12 17:00:00
11032,Arsenal Tula,Krylya Sovetov Samara,1.24534,1.16054,3,2,a,2019-07-20 13:30:00
11044,Arsenal Tula,FC Rostov,1.1473,1.26099,2,3,h,2019-07-28 13:30:00
11051,Arsenal Tula,FC Tambov,1.0036,0.594033,1,0,a,2019-08-04 14:30:00
11058,Arsenal Tula,FC Ufa,1.0268,0.608228,1,0,h,2019-08-11 12:00:00
11067,Arsenal Tula,Rubin Kazan,0.970755,0.981768,0,1,a,2019-08-18 12:00:00
11077,Arsenal Tula,FC Orenburg,0.488713,1.19685,2,1,h,2019-08-25 19:30:00
11085,Arsenal Tula,CSKA Moscow,0.617681,2.09138,1,2,h,2019-09-01 14:30:00
11090,Arsenal Tula,Zenit St. Petersburg,0.760863,3.47259,1,3,a,2019-09-13 17:00:00
11098,Arsenal Tula,Ural,1.18479,1.21788,1,1,h,2019-09-22 13:30:00
11109,Arsenal Tula,FC Krasnodar,1.80387,1.96206,0,2,a,2019-09-29 16:00:00
11118,Arsenal Tula,Lokomotiv Moscow,0.29411,2.15352,1,2,a,2019-10-06 12:00:00
11120,Arsenal Tula,PFC Sochi,3.40361,0.451437,1,1,h,2019-10-20 14:30:00
11131,Arsenal Tula,FK Akhmat,1.2775,1.28853,1,1,a,2019-10-26 14:30:00
11139,Arsenal Tula,Spartak Moscow,0.434157,2.2369,1,0,a,2019-11-04 16:00:00
11146,Arsenal Tula,Zenit St. Petersburg,0.827823,2.602,0,1,h,2019-11-10 11:00:00
11156,Arsenal Tula,FC Krasnodar,1.36765,1.32573,1,2,h,2019-11-24 13:30:00
11162,Arsenal Tula,CSKA Moscow,0.976737,0.735856,1,0,a,2019-12-02 16:30:00
11169,Arsenal Tula,Lokomotiv Moscow,1.33624,1.11084,4,0,h,2019-12-06 16:30:00
11181,Arsenal Tula,PFC Sochi,0.954411,2.14174,2,1,a,2020-03-01 16:00:00
11188,Arsenal Tula,FC Orenburg,0.651909,1.79145,0,2,a,2020-03-07 11:00:00
11197,Arsenal Tula,Rubin Kazan,0.827851,0.577886,0,1,h,2020-03-14 16:00:00
11203,Arsenal Tula,Spartak Moscow,1.58279,0.800618,2,3,h,2020-06-20 13:30:00
11209,Arsenal Tula,FC Rostov,0.845268,1.55332,1,2,a,2020-06-27 17:00:00
11220,Arsenal Tula,FK Akhmat,0.83979,1.13396,1,3,h,2020-07-01 14:30:00
11225,Arsenal Tula,Dinamo Moscow,1.0745,1.66403,1,0,a,2020-07-04 13:30:00
11236,Arsenal Tula,Krylya Sovetov Samara,0.608355,1.38719,2,4,h,2020-07-07 17:30:00
11245,Arsenal Tula,FC Tambov,1.36033,0.884702,2,1,h,2020-07-11 13:00:00
11254,Arsenal Tula,Ural,0.933857,0.410532,3,1,a,2020-07-15 13:00:00
11261,Arsenal Tula,FC Ufa,0.657883,0.69679,0,0,a,2020-07-22 16:00:00
