,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
307200,LeftFoot,OpenPlay,MissedShots,0.03757935389876366,54,0,2,Nikola Vlasic,6276,a,CSKA Moscow,Krylya Sovetov Samara,Ilzat Akhmetov,2019-07-14 13:30:00,11027,2019,"(0.8880000305175781, 0.27399999618530274)"
307194,RightFoot,OpenPlay,MissedShots,0.07906372845172882,12,0,2,Arnór Sigurdsson,7136,a,CSKA Moscow,Krylya Sovetov Samara,Mario Fernandes,2019-07-14 13:30:00,11027,2019,"(0.840999984741211, 0.4329999923706055)"
307189,RightFoot,OpenPlay,BlockedShot,0.02001352794468403,9,0,2,Arnór Sigurdsson,7136,a,CSKA Moscow,Krylya Sovetov Samara,Ivan Oblyakov,2019-07-14 13:30:00,11027,2019,"(0.745, 0.585)"
307191,RightFoot,OpenPlay,BlockedShot,0.05842684954404831,11,0,2,Ilzat Akhmetov,2978,a,CSKA Moscow,Krylya Sovetov Samara,Fedor Chalov,2019-07-14 13:30:00,11027,2019,"(0.9269999694824219, 0.30100000381469727)"
307214,RightFoot,OpenPlay,BlockedShot,0.03238691762089729,92,0,2,Fedor Chalov,5454,a,CSKA Moscow,Krylya Sovetov Samara,Nikola Vlasic,2019-07-14 13:30:00,11027,2019,"(0.8059999847412109, 0.345)"
307198,Head,OpenPlay,MissedShots,0.014269523322582245,41,0,2,Fedor Chalov,5454,a,CSKA Moscow,Krylya Sovetov Samara,Arnór Sigurdsson,2019-07-14 13:30:00,11027,2019,"(0.8569999694824219, 0.575)"
307193,RightFoot,OpenPlay,BlockedShot,0.018333613872528076,12,0,2,Nikola Vlasic,6276,a,CSKA Moscow,Krylya Sovetov Samara,,2019-07-14 13:30:00,11027,2019,"(0.7930000305175782, 0.3320000076293945)"
307212,RightFoot,OpenPlay,BlockedShot,0.026572877541184425,73,0,2,Nikola Vlasic,6276,a,CSKA Moscow,Krylya Sovetov Samara,,2019-07-14 13:30:00,11027,2019,"(0.815, 0.6229999923706054)"
307216,LeftFoot,OpenPlay,BlockedShot,0.057685233652591705,94,0,2,Jaka Bijol,6807,a,CSKA Moscow,Krylya Sovetov Samara,,2019-07-14 13:30:00,11027,2019,"(0.8369999694824218, 0.43099998474121093)"
307192,RightFoot,OpenPlay,BlockedShot,0.04475235566496849,12,0,2,Ivan Oblyakov,5442,a,CSKA Moscow,Krylya Sovetov Samara,Fedor Chalov,2019-07-14 13:30:00,11027,2019,"(0.8109999847412109, 0.40400001525878904)"
307203,RightFoot,OpenPlay,MissedShots,0.012431015260517597,59,0,2,Kristijan Bistrovic,6585,a,CSKA Moscow,Krylya Sovetov Samara,Mario Fernandes,2019-07-14 13:30:00,11027,2019,"(0.749000015258789, 0.3529999923706055)"
307213,LeftFoot,DirectFreekick,SavedShot,0.04984825477004051,81,0,2,Ivan Oblyakov,5442,a,CSKA Moscow,Krylya Sovetov Samara,,2019-07-14 13:30:00,11027,2019,"(0.78, 0.7140000152587891)"
307215,Head,FromCorner,MissedShots,0.06516294926404953,93,0,2,Jaka Bijol,6807,a,CSKA Moscow,Krylya Sovetov Samara,Ivan Oblyakov,2019-07-14 13:30:00,11027,2019,"(0.9440000152587891, 0.5359999847412109)"
307207,LeftFoot,OpenPlay,BlockedShot,0.09291397780179977,69,0,2,Jaka Bijol,6807,a,CSKA Moscow,Krylya Sovetov Samara,Mario Fernandes,2019-07-14 13:30:00,11027,2019,"(0.8519999694824218, 0.455)"
307208,Head,OpenPlay,MissedShots,0.09582329541444778,69,0,2,Jaka Bijol,6807,a,CSKA Moscow,Krylya Sovetov Samara,Hördur Bjorgvin Magnusson,2019-07-14 13:30:00,11027,2019,"(0.9319999694824219, 0.5029999923706054)"
307206,RightFoot,OpenPlay,MissedShots,0.061201173812150955,67,0,2,Jaka Bijol,6807,a,CSKA Moscow,Krylya Sovetov Samara,Nikola Vlasic,2019-07-14 13:30:00,11027,2019,"(0.8780000305175781, 0.485)"
307205,LeftFoot,OpenPlay,BlockedShot,0.08478782325983047,65,0,2,Jaka Bijol,6807,a,CSKA Moscow,Krylya Sovetov Samara,Mario Fernandes,2019-07-14 13:30:00,11027,2019,"(0.855999984741211, 0.4)"
