,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
11026,FC Orenburg,FC Rostov,0.704867,0.768719,1,2,a,2019-07-13 18:30:00
11033,FC Orenburg,CSKA Moscow,0.784283,1.51248,1,2,a,2019-07-20 16:00:00
11043,FC Orenburg,Zenit St. Petersburg,1.95859,2.05033,0,2,h,2019-07-28 11:00:00
11054,FC Orenburg,FK Akhmat,0.372463,0.53833,1,2,a,2019-08-05 18:00:00
11055,FC Orenburg,FC Tambov,1.96059,1.03687,2,2,h,2019-08-10 12:00:00
11063,FC Orenburg,PFC Sochi,0.956093,1.15442,1,1,h,2019-08-16 16:00:00
11077,FC Orenburg,Arsenal Tula,1.19685,0.488713,1,2,a,2019-08-25 19:30:00
11080,FC Orenburg,FC Ufa,1.82723,1.21165,2,1,a,2019-08-31 09:30:00
11094,FC Orenburg,Rubin Kazan,3.47435,1.07242,2,1,h,2019-09-15 11:00:00
11100,FC Orenburg,Lokomotiv Moscow,1.96201,2.89128,2,3,h,2019-09-22 08:30:00
11107,FC Orenburg,Spartak Moscow,0.695329,1.73011,2,1,a,2019-09-29 13:30:00
11115,FC Orenburg,Dinamo Moscow,1.81528,0.723304,2,0,h,2019-10-05 12:00:00
11122,FC Orenburg,Krylya Sovetov Samara,1.28956,0.694933,0,1,h,2019-10-20 09:30:00
11134,FC Orenburg,FC Krasnodar,1.32224,1.33765,1,1,a,2019-10-27 16:00:00
11142,FC Orenburg,Ural,1.34513,1.59627,2,1,a,2019-11-04 11:00:00
11147,FC Orenburg,FC Ufa,0.729144,0.302892,0,0,h,2019-11-10 08:30:00
11158,FC Orenburg,FK Akhmat,1.87186,1.19646,1,2,h,2019-11-23 08:30:00
11167,FC Orenburg,FC Tambov,0.981781,0.989263,0,3,a,2019-12-07 11:00:00
11182,FC Orenburg,Krylya Sovetov Samara,1.27373,1.63845,1,1,a,2020-02-28 15:30:00
11188,FC Orenburg,Arsenal Tula,1.79145,0.651909,2,0,h,2020-03-07 11:00:00
11160,FC Orenburg,PFC Sochi,1.72201,1.73741,1,5,a,2020-03-11 16:30:00
11198,FC Orenburg,Spartak Moscow,1.38111,1.15891,1,3,h,2020-03-14 11:00:00
11201,FC Orenburg,Lokomotiv Moscow,0.352485,2.43047,0,1,a,2020-06-21 14:30:00
11214,FC Orenburg,FC Krasnodar,0.0,0.0,0,3,h,2020-06-27 11:00:00
11222,FC Orenburg,Ural,0.0,0.0,0,3,h,2020-07-01 12:00:00
11227,FC Orenburg,Rubin Kazan,0.605487,1.76561,0,1,a,2020-07-05 15:30:00
11238,FC Orenburg,CSKA Moscow,1.08128,2.39025,0,4,h,2020-07-08 15:00:00
11246,FC Orenburg,FC Rostov,0.188052,0.348464,0,0,h,2020-07-12 15:30:00
11247,FC Orenburg,Zenit St. Petersburg,0.949121,2.34559,1,4,a,2020-07-15 17:30:00
11258,FC Orenburg,Dinamo Moscow,0.515923,1.40664,1,0,a,2020-07-22 16:00:00
