,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
307175,RightFoot,OpenPlay,BlockedShot,0.04185409098863602,33,1,2,Ricardo Alves,7150,a,FC Orenburg,FC Rostov,,2019-07-13 18:30:00,11026,2019,"(0.805, 0.500999984741211)"
307166,LeftFoot,OpenPlay,BlockedShot,0.02349103055894375,0,1,2,Djorde Despotovic,7121,a,FC Orenburg,FC Rostov,Andrey Malykh,2019-07-13 18:30:00,11026,2019,"(0.7580000305175781, 0.39799999237060546)"
307182,Head,OpenPlay,Goal,0.07560428977012634,48,1,2,Djorde Despotovic,7121,a,FC Orenburg,FC Rostov,Andrey Malykh,2019-07-13 18:30:00,11026,2019,"(0.899000015258789, 0.524000015258789)"
307186,LeftFoot,DirectFreekick,MissedShots,0.04521380737423897,84,1,2,Djorde Despotovic,7121,a,FC Orenburg,FC Rostov,,2019-07-13 18:30:00,11026,2019,"(0.730999984741211, 0.40700000762939453)"
307188,Head,OpenPlay,BlockedShot,0.04279845207929611,93,1,2,Djorde Despotovic,7121,a,FC Orenburg,FC Rostov,Danijel Miskic,2019-07-13 18:30:00,11026,2019,"(0.9119999694824219, 0.51)"
307172,Head,SetPiece,MissedShots,0.3712413012981415,26,1,2,Vitali Shakhov,5896,a,FC Orenburg,FC Rostov,,2019-07-13 18:30:00,11026,2019,"(0.9230000305175782, 0.5479999923706055)"
307174,RightFoot,OpenPlay,BlockedShot,0.030086727812886238,32,1,2,Nikita Malyarov,6779,a,FC Orenburg,FC Rostov,,2019-07-13 18:30:00,11026,2019,"(0.8090000152587891, 0.34)"
307173,Head,SetPiece,MissedShots,0.008568726480007172,30,1,2,Vadim Afonin,5427,a,FC Orenburg,FC Rostov,Nikita Malyarov,2019-07-13 18:30:00,11026,2019,"(0.915, 0.34200000762939453)"
307167,RightFoot,OpenPlay,MissedShots,0.033102791756391525,1,1,2,Sergey Terekhov,5940,a,FC Orenburg,FC Rostov,Vitali Shakhov,2019-07-13 18:30:00,11026,2019,"(0.8580000305175781, 0.69)"
307183,RightFoot,OpenPlay,MissedShots,0.016518646851181984,54,1,2,Danijel Miskic,6890,a,FC Orenburg,FC Rostov,Saveli Kozlov,2019-07-13 18:30:00,11026,2019,"(0.7219999694824218, 0.45)"
307176,RightFoot,OpenPlay,MissedShots,0.016387449577450752,33,1,2,Danijel Miskic,6890,a,FC Orenburg,FC Rostov,Ricardo Alves,2019-07-13 18:30:00,11026,2019,"(0.754000015258789, 0.6780000305175782)"
307372,LeftFoot,FromCorner,BlockedShot,0.013834909535944462,39,1,2,Andrey Malykh,5423,a,FC Orenburg,CSKA Moscow,,2019-07-20 16:00:00,11033,2019,"(0.7630000305175781, 0.36700000762939455)"
307384,RightFoot,OpenPlay,MissedShots,0.02547673135995865,70,1,2,Andrey Malykh,5423,a,FC Orenburg,CSKA Moscow,Danijel Miskic,2019-07-20 16:00:00,11033,2019,"(0.799000015258789, 0.32799999237060545)"
307374,RightFoot,FromCorner,BlockedShot,0.12856271862983704,39,1,2,Nikita Malyarov,6779,a,FC Orenburg,CSKA Moscow,,2019-07-20 16:00:00,11033,2019,"(0.92, 0.4590000152587891)"
307373,LeftFoot,FromCorner,BlockedShot,0.04913487657904625,39,1,2,Djorde Despotovic,7121,a,FC Orenburg,CSKA Moscow,,2019-07-20 16:00:00,11033,2019,"(0.915, 0.435)"
307391,RightFoot,OpenPlay,SavedShot,0.4655626714229584,92,1,2,Djorde Despotovic,7121,a,FC Orenburg,CSKA Moscow,Andrey Malykh,2019-07-20 16:00:00,11033,2019,"(0.93, 0.4779999923706055)"
307375,RightFoot,FromCorner,Goal,0.11821258813142776,39,1,2,Nikita Malyarov,6779,a,FC Orenburg,CSKA Moscow,,2019-07-20 16:00:00,11033,2019,"(0.9130000305175782, 0.45099998474121095)"
307370,LeftFoot,OpenPlay,MissedShots,0.01007485669106245,34,1,2,Ricardo Alves,7150,a,FC Orenburg,CSKA Moscow,,2019-07-20 16:00:00,11033,2019,"(0.73, 0.35400001525878905)"
307692,RightFoot,OpenPlay,SavedShot,0.016322270035743713,75,0,2,Danijel Miskic,6890,h,FC Orenburg,Zenit St. Petersburg,Georgi Zotov,2019-07-28 11:00:00,11043,2019,"(0.795, 0.32799999237060545)"
307687,RightFoot,OpenPlay,BlockedShot,0.020736834034323692,58,0,2,Danijel Miskic,6890,h,FC Orenburg,Zenit St. Petersburg,Ricardo Alves,2019-07-28 11:00:00,11043,2019,"(0.7609999847412109, 0.4129999923706055)"
307694,RightFoot,OpenPlay,MissedShots,0.031468383967876434,78,0,2,Djorde Despotovic,7121,h,FC Orenburg,Zenit St. Petersburg,Artem Galadzhan,2019-07-28 11:00:00,11043,2019,"(0.7680000305175781, 0.56)"
307688,LeftFoot,OpenPlay,MissedShots,0.027385391294956207,65,0,2,Djorde Despotovic,7121,h,FC Orenburg,Zenit St. Petersburg,,2019-07-28 11:00:00,11043,2019,"(0.7919999694824219, 0.62)"
307677,RightFoot,OpenPlay,SavedShot,0.021901315078139305,39,0,2,Danijel Miskic,6890,h,FC Orenburg,Zenit St. Petersburg,Andrea Chukanov,2019-07-28 11:00:00,11043,2019,"(0.7680000305175781, 0.34900001525878904)"
307670,RightFoot,OpenPlay,BlockedShot,0.023676715791225433,23,0,2,Danijel Miskic,6890,h,FC Orenburg,Zenit St. Petersburg,,2019-07-28 11:00:00,11043,2019,"(0.76, 0.4520000076293945)"
307668,Head,OpenPlay,SavedShot,0.6091786623001099,4,0,2,Djorde Despotovic,7121,h,FC Orenburg,Zenit St. Petersburg,,2019-07-28 11:00:00,11043,2019,"(0.9719999694824218, 0.525)"
307671,RightFoot,OpenPlay,SavedShot,0.048278070986270905,30,0,2,Andrea Chukanov,6777,h,FC Orenburg,Zenit St. Petersburg,,2019-07-28 11:00:00,11043,2019,"(0.935, 0.31799999237060544)"
307691,RightFoot,OpenPlay,BlockedShot,0.3537658751010895,74,0,2,Vitali Shakhov,5896,h,FC Orenburg,Zenit St. Petersburg,Artem Galadzhan,2019-07-28 11:00:00,11043,2019,"(0.9280000305175782, 0.5670000076293945)"
307693,Head,SetPiece,MissedShots,0.1290668398141861,77,0,2,Vitali Shakhov,5896,h,FC Orenburg,Zenit St. Petersburg,Ricardo Alves,2019-07-28 11:00:00,11043,2019,"(0.9219999694824219, 0.49400001525878906)"
307673,RightFoot,OpenPlay,BlockedShot,0.03168649598956108,31,0,2,Andrea Chukanov,6777,h,FC Orenburg,Zenit St. Petersburg,Artem Kulishev,2019-07-28 11:00:00,11043,2019,"(0.8219999694824218, 0.375)"
307672,LeftFoot,OpenPlay,MissedShots,0.023715339601039886,30,0,2,Sergey Terekhov,5940,h,FC Orenburg,Zenit St. Petersburg,,2019-07-28 11:00:00,11043,2019,"(0.87, 0.6079999923706054)"
307676,LeftFoot,OpenPlay,ShotOnPost,0.024833066388964653,38,0,2,Sergey Terekhov,5940,h,FC Orenburg,Zenit St. Petersburg,Andrey Malykh,2019-07-28 11:00:00,11043,2019,"(0.8080000305175781, 0.705)"
