,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
307185,LeftFoot,OpenPlay,BlockedShot,0.014265605248510838,77,2,1,Evgeniy Chernov,5469,h,FC Rostov,FC Orenburg,Eldor Shomurodov,2019-07-13 18:30:00,11026,2019,"(0.789000015258789, 0.6409999847412109)"
307179,LeftFoot,OpenPlay,BlockedShot,0.032399483025074005,43,2,1,Khoren Bayramyan,3162,h,FC Rostov,FC Orenburg,,2019-07-13 18:30:00,11026,2019,"(0.7630000305175781, 0.4640000152587891)"
307170,Head,OpenPlay,Goal,0.20722544193267822,10,2,1,Eldor Shomurodov,5954,h,FC Rostov,FC Orenburg,Aleksey Ionov,2019-07-13 18:30:00,11026,2019,"(0.8780000305175781, 0.49700000762939456)"
307184,Head,FromCorner,BlockedShot,0.016851823776960373,74,2,1,Dmitriy Chistyakov,7638,h,FC Rostov,FC Orenburg,Evgeniy Chernov,2019-07-13 18:30:00,11026,2019,"(0.8630000305175781, 0.4909999847412109)"
307177,Head,SetPiece,MissedShots,0.08876454830169678,38,2,1,Dmitriy Chistyakov,7638,h,FC Rostov,FC Orenburg,Evgeniy Chernov,2019-07-13 18:30:00,11026,2019,"(0.9009999847412109, 0.53)"
307187,Head,OpenPlay,MissedShots,0.027922065928578377,86,2,1,Björn Sigurdarson,6599,h,FC Rostov,FC Orenburg,Roman Eremenko,2019-07-13 18:30:00,11026,2019,"(0.8580000305175781, 0.504000015258789)"
307181,RightFoot,OpenPlay,SavedShot,0.09840191155672073,47,2,1,Eldor Shomurodov,5954,h,FC Rostov,FC Orenburg,Khoren Bayramyan,2019-07-13 18:30:00,11026,2019,"(0.8340000152587891, 0.5570000076293945)"
307178,LeftFoot,OpenPlay,Goal,0.041185762733221054,41,2,1,Aleksey Ionov,2751,h,FC Rostov,FC Orenburg,,2019-07-13 18:30:00,11026,2019,"(0.8040000152587891, 0.34200000762939453)"
307168,RightFoot,OpenPlay,SavedShot,0.07365340739488602,4,2,1,Aleksey Ionov,2751,h,FC Rostov,FC Orenburg,Mathias Normann,2019-07-13 18:30:00,11026,2019,"(0.9119999694824219, 0.35700000762939454)"
307169,Head,OpenPlay,MissedShots,0.12394363433122635,9,2,1,Eldor Shomurodov,5954,h,FC Rostov,FC Orenburg,Roman Eremenko,2019-07-13 18:30:00,11026,2019,"(0.9180000305175782, 0.5329999923706055)"
307180,RightFoot,OpenPlay,MissedShots,0.013419575057923794,44,2,1,Mathias Normann,7470,h,FC Rostov,FC Orenburg,Roman Eremenko,2019-07-13 18:30:00,11026,2019,"(0.7019999694824218, 0.3659999847412109)"
307171,RightFoot,OpenPlay,MissedShots,0.03068600408732891,23,2,1,Mathias Normann,7470,h,FC Rostov,FC Orenburg,,2019-07-13 18:30:00,11026,2019,"(0.7169999694824218, 0.4129999923706055)"
307420,Head,FromCorner,SavedShot,0.03705940023064613,85,2,2,Dmitriy Chistyakov,7638,h,FC Rostov,Spartak Moscow,Evgeniy Chernov,2019-07-20 18:30:00,11034,2019,"(0.9159999847412109, 0.5129999923706055)"
307418,RightFoot,OpenPlay,SavedShot,0.06775098294019699,82,2,2,Aleksandr Zuev,2826,h,FC Rostov,Spartak Moscow,Aleksandr Saplinov,2019-07-20 18:30:00,11034,2019,"(0.965, 0.33)"
