,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
307226,LeftFoot,OpenPlay,SavedShot,0.05588716268539429,41,1,2,Valeriu Ciuperca,5394,a,FC Tambov,Zenit St. Petersburg,Anton Kilin,2019-07-14 16:00:00,11028,2019,"(0.825, 0.629000015258789)"
307221,RightFoot,DirectFreekick,SavedShot,0.018464811146259308,25,1,2,Soslan Takasov,4614,a,FC Tambov,Zenit St. Petersburg,,2019-07-14 16:00:00,11028,2019,"(0.5329999923706055, 0.7630000305175781)"
307219,RightFoot,OpenPlay,MissedShots,0.03605862334370613,13,1,2,Khasan Mamtov,5894,a,FC Tambov,Zenit St. Petersburg,Guram Tetrashvili,2019-07-14 16:00:00,11028,2019,"(0.855999984741211, 0.28700000762939454)"
307220,LeftFoot,OpenPlay,BlockedShot,0.04638146609067917,24,1,2,Khasan Mamtov,5894,a,FC Tambov,Zenit St. Petersburg,Khyzyr Appaev,2019-07-14 16:00:00,11028,2019,"(0.8640000152587891, 0.6790000152587891)"
307232,RightFoot,DirectFreekick,MissedShots,0.032313019037246704,55,1,2,Soslan Takasov,4614,a,FC Tambov,Zenit St. Petersburg,,2019-07-14 16:00:00,11028,2019,"(0.6969999694824218, 0.615999984741211)"
307225,LeftFoot,OpenPlay,ShotOnPost,0.11951977014541626,40,1,2,Khyzyr Appaev,5513,a,FC Tambov,Zenit St. Petersburg,Khasan Mamtov,2019-07-14 16:00:00,11028,2019,"(0.8930000305175781, 0.67)"
307234,LeftFoot,OpenPlay,Goal,0.0076924338936805725,70,1,2,Benito,7664,a,FC Tambov,Zenit St. Petersburg,Pavel Karasev,2019-07-14 16:00:00,11028,2019,"(0.7280000305175781, 0.3529999923706055)"
307475,RightFoot,OpenPlay,BlockedShot,0.018900519236922264,83,1,2,Pavel Karasev,5890,a,FC Tambov,Lokomotiv Moscow,Guram Tetrashvili,2019-07-21 13:30:00,11036,2019,"(0.779000015258789, 0.285)"
307468,RightFoot,OpenPlay,MissedShots,0.018965423107147217,49,1,2,Valeriu Ciuperca,5394,a,FC Tambov,Lokomotiv Moscow,Danil Klenkin,2019-07-21 13:30:00,11036,2019,"(0.765, 0.3039999961853027)"
307469,RightFoot,OpenPlay,MissedShots,0.013066289946436882,63,1,2,Soslan Takasov,4614,a,FC Tambov,Lokomotiv Moscow,Guram Tetrashvili,2019-07-21 13:30:00,11036,2019,"(0.805, 0.7030000305175781)"
307476,RightFoot,DirectFreekick,MissedShots,0.04315304383635521,86,1,2,Soslan Takasov,4614,a,FC Tambov,Lokomotiv Moscow,,2019-07-21 13:30:00,11036,2019,"(0.764000015258789, 0.7169999694824218)"
307466,RightFoot,FromCorner,MissedShots,0.029815351590514183,45,1,2,Khyzyr Appaev,5513,a,FC Tambov,Lokomotiv Moscow,,2019-07-21 13:30:00,11036,2019,"(0.9669999694824218, 0.285)"
307467,RightFoot,OpenPlay,BlockedShot,0.03022662363946438,49,1,2,Danil Klenkin,6803,a,FC Tambov,Lokomotiv Moscow,Valeriu Ciuperca,2019-07-21 13:30:00,11036,2019,"(0.789000015258789, 0.3940000152587891)"
307470,LeftFoot,OpenPlay,SavedShot,0.07115739583969116,64,1,2,Benito,7664,a,FC Tambov,Lokomotiv Moscow,Valeriu Ciuperca,2019-07-21 13:30:00,11036,2019,"(0.8630000305175781, 0.605999984741211)"
307471,LeftFoot,OpenPlay,MissedShots,0.016190359368920326,75,1,2,Guram Tetrashvili,5443,a,FC Tambov,Lokomotiv Moscow,Khyzyr Appaev,2019-07-21 13:30:00,11036,2019,"(0.7930000305175782, 0.37900001525878907)"
307456,RightFoot,OpenPlay,Goal,0.5270507335662842,5,1,2,Mikhail Kostyukov,5385,a,FC Tambov,Lokomotiv Moscow,Khyzyr Appaev,2019-07-21 13:30:00,11036,2019,"(0.955999984741211, 0.43099998474121093)"
307599,RightFoot,OpenPlay,MissedShots,0.5036472678184509,3,2,0,Mikhail Kostyukov,5385,h,FC Tambov,Spartak Moscow,,2019-07-27 13:30:00,11041,2019,"(0.9459999847412109, 0.435)"
307613,RightFoot,OpenPlay,MissedShots,0.018246563151478767,46,2,0,Khyzyr Appaev,5513,h,FC Tambov,Spartak Moscow,,2019-07-27 13:30:00,11041,2019,"(0.7269999694824218, 0.4159999847412109)"
307618,Head,FromCorner,Goal,0.3908984065055847,68,2,0,Soslan Takasov,4614,h,FC Tambov,Spartak Moscow,Pavel Karasev,2019-07-27 13:30:00,11041,2019,"(0.9369999694824219, 0.49900001525878906)"
307609,RightFoot,OpenPlay,BlockedShot,0.09198696911334991,31,2,0,Mikhail Kostyukov,5385,h,FC Tambov,Spartak Moscow,Khyzyr Appaev,2019-07-27 13:30:00,11041,2019,"(0.8569999694824219, 0.5929999923706055)"
307608,RightFoot,SetPiece,Goal,0.47689592838287354,28,2,0,Cedric Gogoua,7672,h,FC Tambov,Spartak Moscow,Mikhail Kostyukov,2019-07-27 13:30:00,11041,2019,"(0.9419999694824219, 0.42700000762939455)"
307607,LeftFoot,OpenPlay,SavedShot,0.06113351508975029,25,2,0,Khyzyr Appaev,5513,h,FC Tambov,Spartak Moscow,Valeriu Ciuperca,2019-07-27 13:30:00,11041,2019,"(0.8969999694824219, 0.6809999847412109)"
307629,RightFoot,OpenPlay,SavedShot,0.030481673777103424,94,2,0,Guram Tetrashvili,5443,h,FC Tambov,Spartak Moscow,Khyzyr Appaev,2019-07-27 13:30:00,11041,2019,"(0.8230000305175781, 0.2520000076293945)"
307624,LeftFoot,OpenPlay,SavedShot,0.13178174197673798,79,2,0,Ivan Markelov,5530,h,FC Tambov,Spartak Moscow,,2019-07-27 13:30:00,11041,2019,"(0.9169999694824219, 0.48700000762939455)"
307598,RightFoot,OpenPlay,BlockedShot,0.06885267049074173,3,2,0,Valeriu Ciuperca,5394,h,FC Tambov,Spartak Moscow,,2019-07-27 13:30:00,11041,2019,"(0.8530000305175781, 0.4470000076293945)"
307912,LeftFoot,SetPiece,BlockedShot,0.045699235051870346,50,0,1,Benito,7664,h,FC Tambov,Arsenal Tula,Pavel Karasev,2019-08-04 14:30:00,11051,2019,"(0.840999984741211, 0.3609999847412109)"
307922,LeftFoot,OpenPlay,BlockedShot,0.01734747551381588,88,0,1,Benito,7664,h,FC Tambov,Arsenal Tula,Guram Tetrashvili,2019-08-04 14:30:00,11051,2019,"(0.7619999694824219, 0.3160000038146973)"
307913,LeftFoot,SetPiece,MissedShots,0.038904011249542236,50,0,1,Khyzyr Appaev,5513,h,FC Tambov,Arsenal Tula,,2019-08-04 14:30:00,11051,2019,"(0.8919999694824219, 0.6819999694824219)"
307923,RightFoot,OpenPlay,BlockedShot,0.06133699417114258,89,0,1,Benito,7664,h,FC Tambov,Arsenal Tula,,2019-08-04 14:30:00,11051,2019,"(0.879000015258789, 0.39099998474121095)"
307906,RightFoot,OpenPlay,MissedShots,0.018413733690977097,19,0,1,Valeriu Ciuperca,5394,h,FC Tambov,Arsenal Tula,Khyzyr Appaev,2019-08-04 14:30:00,11051,2019,"(0.7709999847412109, 0.6430000305175781)"
