,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
11024,FC Ufa,Ural,1.65282,1.21141,2,3,a,2019-07-13 13:30:00
11031,FC Ufa,FC Krasnodar,1.12735,1.7705,2,3,h,2019-07-20 11:00:00
11040,FC Ufa,Krylya Sovetov Samara,0.93685,0.947916,2,1,h,2019-07-27 11:00:00
11053,FC Ufa,PFC Sochi,0.314473,0.745677,0,0,a,2019-08-04 19:30:00
11058,FC Ufa,Arsenal Tula,0.608228,1.0268,0,1,a,2019-08-11 12:00:00
11068,FC Ufa,FC Rostov,0.900395,0.809611,2,0,h,2019-08-18 14:30:00
11072,FC Ufa,Zenit St. Petersburg,1.0643,1.54003,1,0,h,2019-08-24 14:30:00
11080,FC Ufa,FC Orenburg,1.21165,1.82723,1,2,h,2019-08-31 09:30:00
11089,FC Ufa,Dinamo Moscow,0.658613,2.34021,0,0,a,2019-09-16 17:00:00
11099,FC Ufa,Spartak Moscow,0.920475,2.44372,1,0,h,2019-09-20 14:30:00
11106,FC Ufa,Rubin Kazan,0.0953737,0.335117,0,0,a,2019-09-29 11:00:00
11113,FC Ufa,FK Akhmat,0.646211,1.40815,0,1,h,2019-10-05 09:30:00
11121,FC Ufa,CSKA Moscow,1.68093,1.20743,1,1,h,2019-10-20 12:00:00
11128,FC Ufa,FC Tambov,0.289181,1.21467,0,3,a,2019-10-26 12:00:00
11137,FC Ufa,Lokomotiv Moscow,1.22456,0.866107,1,1,h,2019-11-02 11:00:00
11147,FC Ufa,FC Orenburg,0.302892,0.729144,0,0,a,2019-11-10 08:30:00
11151,FC Ufa,PFC Sochi,1.14482,1.0075,1,1,h,2019-11-24 08:30:00
11161,FC Ufa,Krylya Sovetov Samara,0.76611,0.746984,1,0,a,2019-11-30 11:00:00
11171,FC Ufa,FK Akhmat,0.767775,0.411263,1,0,a,2019-12-07 16:00:00
11176,FC Ufa,FC Krasnodar,0.273918,2.25148,0,2,a,2020-03-01 13:30:00
11189,FC Ufa,Zenit St. Petersburg,1.0025,1.44574,0,0,a,2020-03-09 16:00:00
11194,FC Ufa,CSKA Moscow,0.393292,1.46735,0,0,a,2020-03-15 13:30:00
11205,FC Ufa,FC Tambov,2.16655,0.538339,2,1,h,2020-06-21 12:00:00
11208,FC Ufa,Spartak Moscow,0.25207,1.00112,0,0,a,2020-06-27 13:30:00
11221,FC Ufa,Rubin Kazan,0.536439,0.475289,0,0,h,2020-07-01 12:00:00
11229,FC Ufa,Ural,0.491241,0.356389,1,1,h,2020-07-05 13:30:00
11233,FC Ufa,FC Rostov,2.51742,1.54108,2,1,a,2020-07-08 17:30:00
11242,FC Ufa,Lokomotiv Moscow,1.19306,1.18442,1,1,a,2020-07-12 13:30:00
11253,FC Ufa,Dinamo Moscow,0.177016,2.23324,0,1,h,2020-07-16 15:00:00
11261,FC Ufa,Arsenal Tula,0.69679,0.657883,0,0,h,2020-07-22 16:00:00
