,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
11025,PFC Sochi,Spartak Moscow,1.80674,0.892691,0,1,a,2019-07-13 16:00:00
11038,PFC Sochi,Zenit St. Petersburg,0.451965,3.49532,0,2,h,2019-07-21 18:30:00
11042,PFC Sochi,FC Krasnodar,0.636108,2.78278,0,3,a,2019-07-27 16:00:00
11053,PFC Sochi,FC Ufa,0.745677,0.314473,0,0,h,2019-08-04 19:30:00
11060,PFC Sochi,CSKA Moscow,0.709087,0.663134,0,0,a,2019-08-11 17:00:00
11063,PFC Sochi,FC Orenburg,1.15442,0.956093,1,1,a,2019-08-16 16:00:00
11078,PFC Sochi,Ural,1.20384,2.44765,1,3,a,2019-08-26 16:00:00
11081,PFC Sochi,Rubin Kazan,3.20643,1.17139,3,0,a,2019-08-31 12:00:00
11087,PFC Sochi,Lokomotiv Moscow,0.696383,1.50506,0,1,h,2019-09-14 16:00:00
11096,PFC Sochi,Dinamo Moscow,1.18294,0.727353,3,2,a,2019-09-22 11:00:00
11103,PFC Sochi,FK Akhmat,1.80726,0.74923,2,0,h,2019-09-30 16:30:00
11111,PFC Sochi,Krylya Sovetov Samara,0.861406,2.46547,0,2,h,2019-10-05 17:00:00
11120,PFC Sochi,Arsenal Tula,0.451437,3.40361,1,1,a,2019-10-20 14:30:00
11127,PFC Sochi,FC Rostov,1.08688,1.53901,0,2,a,2019-10-26 17:00:00
11135,PFC Sochi,FC Tambov,1.20402,1.60876,1,2,h,2019-11-02 13:30:00
11144,PFC Sochi,CSKA Moscow,1.05111,1.45401,2,3,h,2019-11-10 13:30:00
11151,PFC Sochi,FC Ufa,1.0075,1.14482,1,1,a,2019-11-24 08:30:00
11168,PFC Sochi,Rubin Kazan,1.15856,1.04282,1,1,h,2019-12-08 13:30:00
11181,PFC Sochi,Arsenal Tula,2.14174,0.954411,1,2,h,2020-03-01 16:00:00
11190,PFC Sochi,Ural,1.34941,0.19904,2,0,h,2020-03-08 13:30:00
11160,PFC Sochi,FC Orenburg,1.73741,1.72201,5,1,h,2020-03-11 16:30:00
11196,PFC Sochi,FC Krasnodar,1.21994,0.703426,2,0,h,2020-03-15 11:00:00
11202,PFC Sochi,FC Rostov,6.07444,0.106388,10,1,h,2020-06-19 17:00:00
11211,PFC Sochi,FK Akhmat,0.672694,1.91506,1,1,a,2020-06-26 15:00:00
11219,PFC Sochi,Dinamo Moscow,1.08132,1.22408,1,1,h,2020-07-01 17:00:00
11226,PFC Sochi,Lokomotiv Moscow,0.372983,1.54074,0,0,a,2020-07-04 17:30:00
11231,PFC Sochi,Zenit St. Petersburg,1.33435,1.04534,1,2,a,2020-07-08 15:00:00
11244,PFC Sochi,Spartak Moscow,0.0501716,1.07609,1,0,h,2020-07-11 17:30:00
11249,PFC Sochi,FC Tambov,0.0,0.0,0,3,a,2020-07-16 17:30:00
11260,PFC Sochi,Krylya Sovetov Samara,0.0,0.0,0,3,a,2020-07-22 16:00:00
