,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
307140,Head,FromCorner,MissedShots,0.013689649291336536,21,0,1,Nikita Kalugin,5943,a,PFC Sochi,Spartak Moscow,Evgeni Pesegov,2019-07-13 16:00:00,11025,2019,"(0.9640000152587891, 0.6120000076293945)"
307151,RightFoot,SetPiece,MissedShots,0.47154486179351807,56,0,1,Nikita Kalugin,5943,a,PFC Sochi,Spartak Moscow,,2019-07-13 16:00:00,11025,2019,"(0.9269999694824219, 0.5829999923706055)"
307135,LeftFoot,OpenPlay,MissedShots,0.03001336194574833,6,0,1,Elmir Nabiullin,2985,a,PFC Sochi,Spartak Moscow,Timofey Margasov,2019-07-13 16:00:00,11025,2019,"(0.9369999694824219, 0.7030000305175781)"
307153,RightFoot,FromCorner,SavedShot,0.02793675847351551,58,0,1,Elmir Nabiullin,2985,a,PFC Sochi,Spartak Moscow,Evgeni Pesegov,2019-07-13 16:00:00,11025,2019,"(0.875999984741211, 0.7169999694824218)"
307161,LeftFoot,SetPiece,BlockedShot,0.011512421071529388,76,0,1,Elmir Nabiullin,2985,a,PFC Sochi,Spartak Moscow,,2019-07-13 16:00:00,11025,2019,"(0.799000015258789, 0.6719999694824219)"
307159,LeftFoot,OpenPlay,MissedShots,0.015170366503298283,72,0,1,Vladimir Obukhov,7659,a,PFC Sochi,Spartak Moscow,Timofey Margasov,2019-07-13 16:00:00,11025,2019,"(0.705, 0.46799999237060547)"
307144,RightFoot,FromCorner,MissedShots,0.02064751647412777,36,0,1,Nikita Kalugin,5943,a,PFC Sochi,Spartak Moscow,,2019-07-13 16:00:00,11025,2019,"(0.8030000305175782, 0.3529999923706055)"
307139,LeftFoot,OpenPlay,SavedShot,0.017032092437148094,20,0,1,Nikita Burmistrov,2986,a,PFC Sochi,Spartak Moscow,Ivan Miladinovic,2019-07-13 16:00:00,11025,2019,"(0.7419999694824219, 0.3940000152587891)"
307162,RightFoot,OpenPlay,MissedShots,0.010851667262613773,77,0,1,Ibrahim Tsallagov,2990,a,PFC Sochi,Spartak Moscow,,2019-07-13 16:00:00,11025,2019,"(0.7169999694824218, 0.47200000762939454)"
307152,RightFoot,FromCorner,SavedShot,0.46243900060653687,58,0,1,Ivan Miladinovic,7656,a,PFC Sochi,Spartak Moscow,Evgeni Pesegov,2019-07-13 16:00:00,11025,2019,"(0.9519999694824218, 0.55)"
307156,LeftFoot,OpenPlay,MissedShots,0.011367945931851864,63,0,1,Nikita Burmistrov,2986,a,PFC Sochi,Spartak Moscow,,2019-07-13 16:00:00,11025,2019,"(0.7730000305175782, 0.3039999961853027)"
307136,RightFoot,OpenPlay,BlockedShot,0.6160494685173035,6,0,1,Nikita Burmistrov,2986,a,PFC Sochi,Spartak Moscow,Elmir Nabiullin,2019-07-13 16:00:00,11025,2019,"(0.975999984741211, 0.4370000076293945)"
307138,RightFoot,OpenPlay,MissedShots,0.014253601431846619,14,0,1,Ibrahim Tsallagov,2990,a,PFC Sochi,Spartak Moscow,Dmitriy Poloz,2019-07-13 16:00:00,11025,2019,"(0.715, 0.6)"
307165,RightFoot,OpenPlay,MissedShots,0.007797508034855127,93,0,1,Evgeni Pesegov,7657,a,PFC Sochi,Spartak Moscow,Aleksandre Karapetian,2019-07-13 16:00:00,11025,2019,"(0.48700000762939455, 0.4520000076293945)"
