,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
374730,LeftFoot,FromCorner,SavedShot,0.06699050217866898,87,3,0,Maksim Kutovoi,8364,a,FC Krasnodar,FC Ufa,Wanderson,2020-08-09 14:00:00,13999,2020,"(0.8980000305175782, 0.47)"
374703,RightFoot,OpenPlay,BlockedShot,0.053120341151952744,3,3,0,Wanderson,2450,a,FC Krasnodar,FC Ufa,Daniil Utkin,2020-08-09 14:00:00,13999,2020,"(0.8580000305175781, 0.34)"
374710,RightFoot,OpenPlay,SavedShot,0.01121860183775425,30,3,0,Cristian Ramírez,5477,a,FC Krasnodar,FC Ufa,Wanderson,2020-08-09 14:00:00,13999,2020,"(0.759000015258789, 0.7469999694824219)"
374724,LeftFoot,FromCorner,MissedShots,0.011520911939442158,72,3,0,Cristian Ramírez,5477,a,FC Krasnodar,FC Ufa,Igor Smolnikov,2020-08-09 14:00:00,13999,2020,"(0.654000015258789, 0.385)"
374729,LeftFoot,DirectFreekick,MissedShots,0.02987782284617424,80,3,0,Cristian Ramírez,5477,a,FC Krasnodar,FC Ufa,,2020-08-09 14:00:00,13999,2020,"(0.6880000305175781, 0.629000015258789)"
374720,RightFoot,OpenPlay,MissedShots,0.08954377472400665,59,3,0,Wanderson,2450,a,FC Krasnodar,FC Ufa,Daniil Utkin,2020-08-09 14:00:00,13999,2020,"(0.88, 0.34799999237060547)"
374706,RightFoot,OpenPlay,SavedShot,0.008322423323988914,16,3,0,Wanderson,2450,a,FC Krasnodar,FC Ufa,Cristian Ramírez,2020-08-09 14:00:00,13999,2020,"(0.7169999694824218, 0.6959999847412109)"
374712,LeftFoot,OpenPlay,SavedShot,0.03295900672674179,36,3,0,Wanderson,2450,a,FC Krasnodar,FC Ufa,Sergei Petrov,2020-08-09 14:00:00,13999,2020,"(0.7880000305175782, 0.4279999923706055)"
374726,Head,OpenPlay,BlockedShot,0.04449833929538727,73,3,0,Daniil Utkin,7283,a,FC Krasnodar,FC Ufa,Cristian Ramírez,2020-08-09 14:00:00,13999,2020,"(0.905, 0.519000015258789)"
374721,LeftFoot,OpenPlay,BlockedShot,0.019798625260591507,61,3,0,Cristian Ramírez,5477,a,FC Krasnodar,FC Ufa,Kristoffer Olsson,2020-08-09 14:00:00,13999,2020,"(0.7319999694824219, 0.595999984741211)"
374709,LeftFoot,OpenPlay,SavedShot,0.03842393681406975,30,3,0,Daniil Utkin,7283,a,FC Krasnodar,FC Ufa,Sergei Petrov,2020-08-09 14:00:00,13999,2020,"(0.7909999847412109, 0.4370000076293945)"
374705,RightFoot,OpenPlay,MissedShots,0.017136435955762863,9,3,0,Sergei Petrov,2920,a,FC Krasnodar,FC Ufa,,2020-08-09 14:00:00,13999,2020,"(0.7659999847412109, 0.33)"
374723,LeftFoot,OpenPlay,Goal,0.8736298084259033,64,3,0,Marcus Berg,7668,a,FC Krasnodar,FC Ufa,Wanderson,2020-08-09 14:00:00,13999,2020,"(0.9730000305175781, 0.534000015258789)"
374708,LeftFoot,FromCorner,MissedShots,0.04410786181688309,22,3,0,Kaio,7679,a,FC Krasnodar,FC Ufa,Kristoffer Olsson,2020-08-09 14:00:00,13999,2020,"(0.9459999847412109, 0.710999984741211)"
374713,RightFoot,OpenPlay,SavedShot,0.07456263154745102,43,3,0,Marcus Berg,7668,a,FC Krasnodar,FC Ufa,Rémy Cabella,2020-08-09 14:00:00,13999,2020,"(0.825999984741211, 0.52)"
374722,RightFoot,FromCorner,Goal,0.04848833754658699,62,3,0,Rémy Cabella,3390,a,FC Krasnodar,FC Ufa,Kristoffer Olsson,2020-08-09 14:00:00,13999,2020,"(0.870999984741211, 0.6090000152587891)"
374716,RightFoot,OpenPlay,BlockedShot,0.01580500788986683,48,3,0,Kristoffer Olsson,7479,a,FC Krasnodar,FC Ufa,Cristian Ramírez,2020-08-09 14:00:00,13999,2020,"(0.7659999847412109, 0.7090000152587891)"
374704,RightFoot,OpenPlay,SavedShot,0.06970836967229843,7,3,0,Rémy Cabella,3390,a,FC Krasnodar,FC Ufa,Marcus Berg,2020-08-09 14:00:00,13999,2020,"(0.8590000152587891, 0.6480000305175782)"
374728,LeftFoot,OpenPlay,MissedShots,0.08776889741420746,76,3,0,Magomed-Shapi Suleymanov,5926,a,FC Krasnodar,FC Ufa,Kristoffer Olsson,2020-08-09 14:00:00,13999,2020,"(0.8590000152587891, 0.6329999923706054)"
374718,RightFoot,OpenPlay,Goal,0.04776374623179436,52,3,0,Rémy Cabella,3390,a,FC Krasnodar,FC Ufa,Wanderson,2020-08-09 14:00:00,13999,2020,"(0.8480000305175781, 0.4370000076293945)"
374715,Head,OpenPlay,ShotOnPost,0.027606045827269554,48,3,0,Marcus Berg,7668,a,FC Krasnodar,FC Ufa,,2020-08-09 14:00:00,13999,2020,"(0.9069999694824219, 0.624000015258789)"
